Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RLI,47.72,665.00,670.00,655.00,660.00,660.66,"18,451.00",656.10,"12,189,843.50",505,3.90,15.00,0.59,2.29,-0.10,695.32,685.23,818.00,322.00,09_01_2021
RLI,58.03,574.20,578.20,563.50,563.50,568.83,"14,343.00",563.00,"8,158,685.20",210,0.50,14.70,0.09,2.61,-0.95,650.08,667.31,818.00,463.00,11_03_2021
RLI,62.08,574.20,578.20,563.50,563.50,568.83,"14,343.00",563.00,"8,158,685.20",210,0.50,14.70,0.09,2.61,-0.95,650.08,667.31,818.00,463.00,11_05_2021
RLI,62.08,574.20,578.20,563.50,563.50,568.83,"14,343.00",563.00,"8,158,685.20",210,0.50,14.70,0.09,2.61,-0.95,650.08,667.31,818.00,463.00,11_06_2021
RLI,62.08,574.20,578.20,563.50,563.50,568.83,"14,343.00",563.00,"8,158,685.20",210,0.50,14.70,0.09,2.61,-0.95,650.08,667.31,818.00,463.00,11_07_2021
RLI,62.86,563.20,570.00,556.00,562.00,561.71,"6,459.00",563.50,"3,628,107.50",190,-1.50,14.00,-0.27,2.52,0.05,649.05,666.18,818.00,463.00,11_08_2021
RLI,51.55,551.00,556.10,532.40,538.00,545.39,"13,225.00",562.00,"7,212,735.40",233,-24.00,23.70,-4.27,4.45,-1.37,647.86,664.87,818.00,463.00,11_09_2021
RLI,47.73,551.00,556.10,532.40,538.00,545.39,"13,225.00",562.00,"7,212,735.40",233,-24.00,23.70,-4.27,4.45,-1.37,647.86,664.87,818.00,463.00,11_10_2021
RLI,45.68,527.30,548.00,515.00,520.00,521.88,"9,295.00",538.00,"4,850,862.00",256,-18.00,33.00,-3.35,6.41,-0.36,646.48,663.40,818.00,463.00,11_11_2021
RLI,43.22,527.30,548.00,515.00,520.00,521.88,"9,295.00",538.00,"4,850,862.00",256,-18.00,33.00,-3.35,6.41,-0.36,646.48,663.40,818.00,463.00,11_12_2021
RLI,43.22,527.30,548.00,515.00,520.00,521.88,"9,295.00",538.00,"4,850,862.00",256,-18.00,33.00,-3.35,6.41,-0.36,646.48,663.40,818.00,463.00,11_13_2021
