Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RMDC,45.97,"1,560.00","1,625.00","1,542.00","1,550.00","1,564.13","32,252.00","1,550.00","50,446,321.10",210,0.00,83.00,0.00,5.38,-0.91,"1,314.55","1,252.36","1,800.00",839.00,09_01_2021
RMDC,62.70,"1,717.00","1,751.30","1,635.00","1,648.00","1,658.12","32,292.00","1,683.90","53,544,092.60",358,-35.90,116.30,-2.13,7.11,-0.61,"1,448.27","1,347.31","1,800.00",856.00,11_03_2021
RMDC,46.90,"1,717.00","1,751.30","1,635.00","1,648.00","1,658.12","32,292.00","1,683.90","53,544,092.60",358,-35.90,116.30,-2.13,7.11,-0.61,"1,448.27","1,347.31","1,800.00",856.00,11_05_2021
RMDC,46.90,"1,717.00","1,751.30","1,635.00","1,648.00","1,658.12","32,292.00","1,683.90","53,544,092.60",358,-35.90,116.30,-2.13,7.11,-0.61,"1,448.27","1,347.31","1,800.00",856.00,11_06_2021
RMDC,46.90,"1,717.00","1,751.30","1,635.00","1,648.00","1,658.12","32,292.00","1,683.90","53,544,092.60",358,-35.90,116.30,-2.13,7.11,-0.61,"1,448.27","1,347.31","1,800.00",856.00,11_07_2021
RMDC,47.69,"1,650.10","1,660.00","1,585.00","1,600.00","1,611.75","34,036.00","1,648.00","54,857,626.60",376,-48.00,75.00,-2.91,4.73,-0.73,"1,451.97","1,349.81","1,800.00",856.00,11_08_2021
RMDC,49.35,"1,632.00","1,632.00","1,515.00","1,515.00","1,543.43","45,243.00","1,600.00","69,829,184.40",524,-85.00,117.00,-5.31,7.72,-1.88,"1,455.10","1,351.38","1,800.00",856.00,11_09_2021
RMDC,47.24,"1,632.00","1,632.00","1,515.00","1,515.00","1,543.43","45,243.00","1,600.00","69,829,184.40",524,-85.00,117.00,-5.31,7.72,-1.88,"1,455.10","1,351.38","1,800.00",856.00,11_10_2021
RMDC,45.19,"1,486.00","1,525.00","1,460.00","1,476.00","1,489.71","26,762.00","1,515.00","39,867,676.30",316,-39.00,65.00,-2.57,4.45,-0.93,"1,457.79","1,352.94","1,800.00",856.00,11_11_2021
RMDC,43.82,"1,486.00","1,525.00","1,460.00","1,476.00","1,489.71","26,762.00","1,515.00","39,867,676.30",316,-39.00,65.00,-2.57,4.45,-0.93,"1,457.79","1,352.94","1,800.00",856.00,11_12_2021
RMDC,43.82,"1,486.00","1,525.00","1,460.00","1,476.00","1,489.71","26,762.00","1,515.00","39,867,676.30",316,-39.00,65.00,-2.57,4.45,-0.93,"1,457.79","1,352.94","1,800.00",856.00,11_13_2021
RMDC,41.77,"1,460.00","1,500.00","1,446.00","1,480.00","1,476.40","21,425.00","1,476.00","31,631,911.20",191,4.00,54.00,0.27,3.73,0.24,"1,460.21","1,354.68","1,800.00",856.00,11_14_2021
RMDC,40.88,"1,505.00","1,520.00","1,461.00","1,489.80","1,481.33","28,688.00","1,480.00","42,496,498.30",250,9.80,59.00,0.66,4.04,0.57,"1,462.74","1,356.46","1,800.00",856.00,11_15_2021
RMDC,42.79,"1,499.00","1,509.00","1,471.20","1,490.00","1,493.41","38,138.00","1,489.80","56,955,582.20",266,0.20,37.80,0.01,2.57,-0.23,"1,465.33","1,358.47","1,800.00",856.00,11_16_2021
