Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RMF1,53.98,9.78,9.78,9.60,9.61,9.65,"26,600.00",9.60,"256,664.00",30,0.01,0.18,0.10,1.88,-0.41,-,-,10.30,9.25,11_03_2021
RMF1,49.65,9.78,9.78,9.60,9.61,9.65,"26,600.00",9.60,"256,664.00",30,0.01,0.18,0.10,1.88,-0.41,-,-,10.30,9.25,11_05_2021
RMF1,49.65,9.78,9.78,9.60,9.61,9.65,"26,600.00",9.60,"256,664.00",30,0.01,0.18,0.10,1.88,-0.41,-,-,10.30,9.25,11_06_2021
RMF1,49.65,9.78,9.78,9.60,9.61,9.65,"26,600.00",9.60,"256,664.00",30,0.01,0.18,0.10,1.88,-0.41,-,-,10.30,9.25,11_07_2021
RMF1,50.44,9.50,9.70,9.50,9.69,9.69,"12,255.00",9.61,"118,735.50",19,0.08,0.20,0.83,2.11,0.01,-,-,10.30,9.25,11_08_2021
RMF1,49.44,9.70,9.70,9.47,9.50,9.54,"47,500.00",9.69,"453,306.00",39,-0.19,0.23,-1.96,2.43,-0.46,-,-,10.30,9.25,11_09_2021
RMF1,52.13,9.70,9.70,9.47,9.50,9.54,"47,500.00",9.69,"453,306.00",39,-0.19,0.23,-1.96,2.43,-0.46,-,-,10.30,9.25,11_10_2021
RMF1,50.08,9.36,9.60,9.36,9.48,9.45,"10,650.00",9.50,"100,680.70",24,-0.02,0.24,-0.21,2.56,0.28,-,-,10.30,9.25,11_11_2021
RMF1,43.88,9.36,9.60,9.36,9.48,9.45,"10,650.00",9.50,"100,680.70",24,-0.02,0.24,-0.21,2.56,0.28,-,-,10.30,9.25,11_12_2021
RMF1,43.88,9.36,9.60,9.36,9.48,9.45,"10,650.00",9.50,"100,680.70",24,-0.02,0.24,-0.21,2.56,0.28,-,-,10.30,9.25,11_13_2021
RMF1,41.83,9.36,9.54,9.36,9.54,9.44,"13,080.00",9.48,"123,420.50",29,0.06,0.18,0.63,1.92,1.09,-,-,10.30,9.25,11_14_2021
RMF1,42.52,9.54,9.72,9.20,9.55,9.45,"10,610.00",9.54,"100,223.80",29,0.01,0.52,0.10,5.65,1.09,-,-,10.30,9.20,11_15_2021
RMF1,45.48,9.50,9.69,9.40,9.64,9.52,"19,475.00",9.55,"185,424.75",28,0.09,0.29,0.94,3.09,1.23,-,-,10.30,9.20,11_16_2021
RMF1,60.48,9.45,9.83,9.38,9.50,9.62,"7,800.00",9.64,"75,030.00",20,-0.14,0.45,-1.45,4.80,-1.26,-,-,10.30,9.20,11_17_2021
RMF1,53.03,9.60,9.68,9.40,9.50,9.52,"14,150.00",9.50,"134,670.20",24,0.00,0.28,0.00,2.98,-0.18,-,-,10.30,9.20,11_18_2021
RMF1,53.81,9.60,9.68,9.40,9.50,9.52,"14,150.00",9.50,"134,670.20",24,0.00,0.28,0.00,2.98,-0.18,-,-,10.30,9.20,11_19_2021
RMF1,53.81,9.60,9.68,9.40,9.50,9.52,"14,150.00",9.50,"134,670.20",24,0.00,0.28,0.00,2.98,-0.18,-,-,10.30,9.20,11_20_2021
RMF1,49.11,9.40,9.54,9.36,9.54,9.50,"10,200.00",9.50,"96,862.00",26,0.04,0.18,0.42,1.92,0.46,-,-,10.30,9.20,11_21_2021
RMF1,41.10,9.35,9.63,9.35,9.41,9.54,"6,500.00",9.54,"62,025.00",23,-0.13,0.28,-1.36,2.99,-1.41,-,-,10.30,9.20,11_22_2021
RMF1,42.19,9.35,9.50,9.35,9.37,9.39,"10,800.00",9.41,"101,359.00",19,-0.04,0.15,-0.43,1.60,-0.16,-,-,10.30,9.20,11_23_2021
RMF1,48.74,9.37,9.50,9.31,9.32,9.36,"38,350.00",9.37,"359,083.00",18,-0.05,0.19,-0.53,2.04,-0.46,-,-,10.30,9.20,11_24_2021
RMF1,50.18,9.33,9.48,9.30,9.32,9.36,"5,250.00",9.32,"49,130.00",17,0.00,0.18,0.00,1.94,-0.41,-,-,10.30,9.20,11_25_2021
RMF1,43.51,9.33,9.48,9.30,9.32,9.36,"5,250.00",9.32,"49,130.00",17,0.00,0.18,0.00,1.94,-0.41,-,-,10.30,9.20,11_26_2021
RMF1,43.51,9.33,9.48,9.30,9.32,9.36,"5,250.00",9.32,"49,130.00",17,0.00,0.18,0.00,1.94,-0.41,-,-,10.30,9.20,11_27_2021
