Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RSDC,42.04,999.00,"1,035.00",970.00,984.00,987.47,"40,690.00",989.10,"40,180,270.50",363,-5.10,65.00,-0.52,6.70,-0.35,894.00,837.31,"1,194.40",506.00,09_01_2021
RSDC,59.82,886.00,924.00,885.00,899.80,891.58,"7,062.00",890.00,"6,296,323.50",89,9.80,39.00,1.10,4.41,0.91,901.38,888.56,"1,194.40",562.00,11_03_2021
RSDC,55.09,886.00,924.00,885.00,899.80,891.58,"7,062.00",890.00,"6,296,323.50",89,9.80,39.00,1.10,4.41,0.91,901.38,888.56,"1,194.40",562.00,11_05_2021
RSDC,55.09,886.00,924.00,885.00,899.80,891.58,"7,062.00",890.00,"6,296,323.50",89,9.80,39.00,1.10,4.41,0.91,901.38,888.56,"1,194.40",562.00,11_06_2021
RSDC,55.09,886.00,924.00,885.00,899.80,891.58,"7,062.00",890.00,"6,296,323.50",89,9.80,39.00,1.10,4.41,0.91,901.38,888.56,"1,194.40",562.00,11_07_2021
RSDC,55.87,917.70,917.70,886.00,900.00,897.47,"6,226.00",899.80,"5,587,656.80",66,0.20,31.70,0.02,3.58,0.28,901.56,888.78,"1,194.40",562.00,11_08_2021
RSDC,49.46,918.00,918.00,850.00,880.00,869.26,"12,623.00",900.00,"10,972,636.10",171,-20.00,68.00,-2.22,8.00,1.22,901.66,888.41,"1,194.40",562.00,11_09_2021
RSDC,50.80,918.00,918.00,850.00,880.00,869.26,"12,623.00",900.00,"10,972,636.10",171,-20.00,68.00,-2.22,8.00,1.22,901.66,888.41,"1,194.40",562.00,11_10_2021
RSDC,48.75,879.00,879.00,850.00,860.00,856.14,"4,852.00",880.00,"4,153,997.10",91,-20.00,29.00,-2.27,3.41,0.45,901.51,888.06,"1,194.40",562.00,11_11_2021
RSDC,43.07,879.00,879.00,850.00,860.00,856.14,"4,852.00",880.00,"4,153,997.10",91,-20.00,29.00,-2.27,3.41,0.45,901.51,888.06,"1,194.40",562.00,11_12_2021
RSDC,43.07,879.00,879.00,850.00,860.00,856.14,"4,852.00",880.00,"4,153,997.10",91,-20.00,29.00,-2.27,3.41,0.45,901.51,888.06,"1,194.40",562.00,11_13_2021
RSDC,41.02,847.70,876.00,842.00,868.00,850.98,"6,978.00",860.00,"5,938,105.40",67,8.00,34.00,0.93,4.04,1.96,901.41,887.99,"1,194.40",562.00,11_14_2021
RSDC,43.63,885.00,885.00,841.00,872.00,859.60,"20,777.00",868.00,"17,859,873.70",250,4.00,44.00,0.46,5.23,1.42,901.41,887.95,"1,194.40",562.00,11_15_2021
RSDC,49.19,808.50,819.00,798.70,814.90,811.80,"13,492.00",792.73,"10,952,839.70",210,22.17,20.30,2.80,2.54,0.38,900.92,887.74,"1,194.40",562.00,11_16_2021
RSDC,47.24,831.10,831.10,806.00,820.00,818.37,"8,758.00",814.90,"7,167,272.20",106,5.10,25.10,0.63,3.11,0.20,900.32,887.74,"1,194.40",562.00,11_17_2021
RSDC,44.77,836.40,836.40,800.00,805.00,806.37,"6,545.00",820.00,"5,277,669.50",92,-15.00,36.40,-1.83,4.55,-0.17,899.60,887.20,"1,194.40",562.00,11_18_2021
