Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RULB,0.00,502.00,502.00,502.00,502.00,505.53,42.00,502.00,"21,232.40",8,0.00,0.00,0.00,0.00,-0.70,-,-,502.00,502.00,03_13_2022
RULB,43.16,512.00,532.60,512.00,532.60,517.46,62.00,502.00,"32,082.30",11,30.60,20.60,6.10,4.02,2.84,-,-,532.60,502.00,03_14_2022
RULB,54.69,536.30,557.90,536.30,557.90,547.88,40.00,532.60,"21,915.00",5,25.30,21.60,4.75,4.03,1.80,-,-,557.90,502.00,03_15_2022
RULB,50.48,569.00,569.00,569.00,569.00,560.70,21.00,557.90,"11,774.60",4,11.10,0.00,1.99,0.00,1.46,-,-,569.00,502.00,03_16_2022
RULB,48.50,569.00,569.00,569.00,569.00,560.70,21.00,557.90,"11,774.60",4,11.10,0.00,1.99,0.00,1.46,-,-,569.00,502.00,03_17_2022
RULB,48.50,569.00,569.00,569.00,569.00,560.70,21.00,557.90,"11,774.60",4,11.10,0.00,1.99,0.00,1.46,-,-,569.00,502.00,03_18_2022
RULB,48.50,569.00,569.00,569.00,569.00,560.70,21.00,557.90,"11,774.60",4,11.10,0.00,1.99,0.00,1.46,-,-,569.00,502.00,03_19_2022
RULB,50.78,580.30,625.90,580.30,625.90,603.39,70.00,569.00,"42,237.00",7,56.90,45.60,10.00,7.86,3.60,-,-,625.90,502.00,03_20_2022
RULB,56.41,638.40,638.40,638.40,638.40,631.43,30.00,625.90,"18,942.80",7,12.50,0.00,2.00,0.00,1.09,-,-,638.40,502.00,03_21_2022
RULB,54.34,651.10,677.30,651.10,677.30,663.75,31.00,638.40,"20,576.10",4,38.90,26.20,6.09,4.02,2.00,-,-,677.30,502.00,03_22_2022
RULB,51.22,690.80,745.00,690.80,745.00,731.80,101.00,677.30,"73,912.30",11,67.70,54.20,10.00,7.85,1.77,-,-,745.00,502.00,03_23_2022
RULB,55.76,759.90,819.50,759.90,819.50,792.36,62.00,745.00,"49,126.10",9,74.50,59.60,10.00,7.84,3.31,-,-,819.50,502.00,03_24_2022
RULB,55.76,759.90,819.50,759.90,819.50,792.36,62.00,745.00,"49,126.10",9,74.50,59.60,10.00,7.84,3.31,-,-,819.50,502.00,03_24_2022
RULB,49.45,759.90,819.50,759.90,819.50,792.36,62.00,745.00,"49,126.10",9,74.50,59.60,10.00,7.84,3.31,-,-,819.50,502.00,03_25_2022
RULB,49.45,759.90,819.50,759.90,819.50,792.36,62.00,745.00,"49,126.10",9,74.50,59.60,10.00,7.84,3.31,-,-,819.50,502.00,03_26_2022
RULB,48.80,835.80,901.40,835.80,901.40,882.26,110.00,819.50,"97,049.00",12,81.90,65.60,9.99,7.85,2.12,-,-,901.40,502.00,03_27_2022
RULB,51.68,919.00,991.50,919.00,991.50,963.46,139.00,901.40,"133,920.60",17,90.10,72.50,10.00,7.89,2.83,-,-,991.50,502.00,03_28_2022
RULB,53.52,"1,011.30","1,090.60","1,011.30","1,090.60","1,071.80",131.00,991.50,"140,406.00",20,99.10,79.30,9.99,7.84,1.72,-,-,"1,090.60",502.00,03_29_2022
RULB,50.77,"1,112.40","1,199.60","1,112.40","1,199.60","1,175.83",90.00,"1,090.60","105,825.00",9,109.00,87.20,9.99,7.84,1.98,-,-,"1,199.60",502.00,03_30_2022
RULB,47.97,"1,223.50","1,319.50","1,223.50","1,319.50","1,300.13",130.00,"1,199.60","169,016.80",14,119.90,96.00,9.99,7.85,1.47,-,-,"1,319.50",502.00,03_31_2022
RULB,47.43,"1,223.50","1,319.50","1,223.50","1,319.50","1,300.13",130.00,"1,199.60","169,016.80",14,119.90,96.00,9.99,7.85,1.47,-,-,"1,319.50",502.00,04_01_2022
RULB,47.43,"1,223.50","1,319.50","1,223.50","1,319.50","1,300.13",130.00,"1,199.60","169,016.80",14,119.90,96.00,9.99,7.85,1.47,-,-,"1,319.50",502.00,04_02_2022
RULB,45.73,"1,345.80","1,451.40","1,345.80","1,451.40","1,440.61",240.00,"1,319.50","345,747.00",24,131.90,105.60,10.00,7.85,0.74,-,-,"1,451.40",502.00,04_03_2022
RULB,47.14,"1,480.40","1,596.50","1,480.40","1,596.50","1,581.06",220.00,"1,451.40","347,833.60",24,145.10,116.10,10.00,7.84,0.97,-,-,"1,596.50",502.00,04_04_2022
RULB,46.36,"1,565.40","1,756.10","1,565.40","1,756.10","1,754.37","3,833.00","1,596.50","6,724,481.30",118,159.60,190.70,10.00,12.18,0.10,-,-,"1,756.10",502.00,04_05_2022
RULB,44.63,"1,791.00","1,931.70","1,653.00","1,660.00","1,823.40","49,627.00","1,756.10","90,489,817.20","3,560",-96.10,278.70,-5.47,16.86,-9.84,-,-,"1,931.70",502.00,04_06_2022
RULB,44.29,"1,660.00","1,660.00","1,525.00","1,532.00","1,551.31","23,889.00","1,660.00","37,059,229.80","2,303",-128.00,135.00,-7.71,8.85,-1.26,-,-,"1,931.70",502.00,04_07_2022
RULB,44.18,"1,660.00","1,660.00","1,525.00","1,532.00","1,551.31","23,889.00","1,660.00","37,059,229.80","2,303",-128.00,135.00,-7.71,8.85,-1.26,-,-,"1,931.70",502.00,04_08_2022
RULB,44.18,"1,660.00","1,660.00","1,525.00","1,532.00","1,551.31","23,889.00","1,660.00","37,059,229.80","2,303",-128.00,135.00,-7.71,8.85,-1.26,-,-,"1,931.70",502.00,04_09_2022
