Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
RURU,50.88,"1,320.00","1,479.00","1,300.00","1,448.00","1,393.79","6,391.00","1,346.30","8,907,716.00",216,101.70,179.00,7.55,13.77,3.74,-,-,"1,849.20",356.00,09_01_2021
RURU,63.08,"1,173.00","1,173.00","1,127.10","1,150.00","1,148.25","1,682.00","1,150.00","1,931,354.00",39,0.00,45.90,0.00,4.07,0.15,"1,085.14",-,"1,849.20",356.00,11_03_2021
RURU,64.31,"1,173.00","1,173.00","1,127.10","1,150.00","1,148.25","1,682.00","1,150.00","1,931,354.00",39,0.00,45.90,0.00,4.07,0.15,"1,085.14",-,"1,849.20",356.00,11_05_2021
RURU,64.31,"1,173.00","1,173.00","1,127.10","1,150.00","1,148.25","1,682.00","1,150.00","1,931,354.00",39,0.00,45.90,0.00,4.07,0.15,"1,085.14",-,"1,849.20",356.00,11_06_2021
RURU,64.31,"1,173.00","1,173.00","1,127.10","1,150.00","1,148.25","1,682.00","1,150.00","1,931,354.00",39,0.00,45.90,0.00,4.07,0.15,"1,085.14",-,"1,849.20",356.00,11_07_2021
RURU,65.10,"1,150.00","1,150.00","1,105.00","1,105.00","1,122.58","1,512.00","1,150.00","1,697,344.00",43,-45.00,45.00,-3.91,4.07,-1.59,"1,090.19",-,"1,849.20",356.00,11_08_2021
RURU,49.38,"1,083.00","1,083.00","1,031.00","1,033.00","1,052.54","3,240.00","1,105.00","3,410,240.00",79,-72.00,52.00,-6.52,5.04,-1.89,"1,094.23",-,"1,849.20",356.00,11_09_2021
RURU,49.28,"1,083.00","1,083.00","1,031.00","1,033.00","1,052.54","3,240.00","1,105.00","3,410,240.00",79,-72.00,52.00,-6.52,5.04,-1.89,"1,094.23",-,"1,849.20",356.00,11_10_2021
RURU,47.23,"1,013.00","1,076.90","1,012.00","1,050.00","1,048.61","2,227.00","1,033.00","2,335,262.20",80,17.00,64.90,1.65,6.41,0.13,"1,097.97",-,"1,849.20",356.00,11_11_2021
RURU,44.60,"1,013.00","1,076.90","1,012.00","1,050.00","1,048.61","2,227.00","1,033.00","2,335,262.20",80,17.00,64.90,1.65,6.41,0.13,"1,097.97",-,"1,849.20",356.00,11_12_2021
RURU,44.60,"1,013.00","1,076.90","1,012.00","1,050.00","1,048.61","2,227.00","1,033.00","2,335,262.20",80,17.00,64.90,1.65,6.41,0.13,"1,097.97",-,"1,849.20",356.00,11_13_2021
RURU,42.55,"1,050.00","1,065.00","1,018.10","1,021.00","1,030.37","3,813.00","1,050.00","3,928,802.50",64,-29.00,46.90,-2.76,4.61,-0.92,"1,100.96",-,"1,849.20",356.00,11_14_2021
RURU,46.64,"1,021.00","1,061.80","1,021.00","1,025.10","1,036.07","2,451.00","1,021.00","2,539,397.50",57,4.10,40.80,0.40,4.00,-1.07,"1,103.43",-,"1,849.20",356.00,11_15_2021
RURU,44.40,"1,045.60","1,087.70","1,024.10","1,060.00","1,051.38","1,890.00","1,025.10","1,987,101.00",57,34.90,63.60,3.40,6.21,0.81,"1,105.60",-,"1,849.20",356.00,11_16_2021
RURU,59.28,"1,050.00","1,091.40","1,050.00","1,071.00","1,078.00","2,261.00","1,060.00","2,437,361.60",60,11.00,41.40,1.04,3.94,-0.65,"1,107.19",-,"1,849.20",356.00,11_17_2021
RURU,60.14,"1,052.00","1,092.00","1,038.80","1,050.00","1,056.70","1,852.00","1,071.00","1,957,005.20",58,-21.00,53.20,-1.96,5.12,-0.64,"1,107.88",-,"1,849.20",356.00,11_18_2021
