Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SABSL,47.86,"1,899.00","1,917.00","1,857.00","1,886.00","1,876.44","4,018.00","1,880.00","7,539,529.80",98,6.00,60.00,0.32,3.23,0.51,"1,741.78","1,570.60","2,183.00",801.00,09_01_2021
SABSL,51.67,"2,160.00","2,173.00","2,140.00","2,145.00","2,152.84","2,963.00","2,190.00","6,378,857.20",69,-45.00,33.00,-2.05,1.54,-0.37,"1,879.05","1,739.65","2,306.20",858.00,11_03_2021
SABSL,50.01,"2,160.00","2,173.00","2,140.00","2,145.00","2,152.84","2,963.00","2,190.00","6,378,857.20",69,-45.00,33.00,-2.05,1.54,-0.37,"1,879.05","1,739.65","2,306.20",858.00,11_05_2021
SABSL,50.01,"2,160.00","2,173.00","2,140.00","2,145.00","2,152.84","2,963.00","2,190.00","6,378,857.20",69,-45.00,33.00,-2.05,1.54,-0.37,"1,879.05","1,739.65","2,306.20",858.00,11_06_2021
SABSL,50.01,"2,160.00","2,173.00","2,140.00","2,145.00","2,152.84","2,963.00","2,190.00","6,378,857.20",69,-45.00,33.00,-2.05,1.54,-0.37,"1,879.05","1,739.65","2,306.20",858.00,11_07_2021
SABSL,50.80,"2,187.00","2,229.90","2,100.00","2,135.00","2,157.50","3,968.00","2,145.00","8,560,964.00",88,-10.00,129.90,-0.47,6.19,-1.05,"1,882.22","1,743.74","2,306.20",858.00,11_08_2021
SABSL,46.71,"2,110.00","2,110.00","2,030.00","2,065.00","2,060.61","5,274.00","2,135.00","10,867,637.20",112,-70.00,80.00,-3.28,3.94,0.21,"1,885.19","1,746.89","2,306.20",858.00,11_09_2021
SABSL,44.72,"2,110.00","2,110.00","2,030.00","2,065.00","2,060.61","5,274.00","2,135.00","10,867,637.20",112,-70.00,80.00,-3.28,3.94,0.21,"1,885.19","1,746.89","2,306.20",858.00,11_10_2021
SABSL,42.67,"2,050.00","2,080.00","2,001.00","2,038.00","2,037.10","3,478.00","2,065.00","7,085,017.00",91,-27.00,79.00,-1.31,3.95,0.04,"1,887.60","1,750.13","2,306.20",858.00,11_11_2021
SABSL,41.09,"2,050.00","2,080.00","2,001.00","2,038.00","2,037.10","3,478.00","2,065.00","7,085,017.00",91,-27.00,79.00,-1.31,3.95,0.04,"1,887.60","1,750.13","2,306.20",858.00,11_12_2021
SABSL,41.09,"2,050.00","2,080.00","2,001.00","2,038.00","2,037.10","3,478.00","2,065.00","7,085,017.00",91,-27.00,79.00,-1.31,3.95,0.04,"1,887.60","1,750.13","2,306.20",858.00,11_13_2021
SABSL,39.04,"2,038.00","2,078.00","2,001.00","2,013.00","2,037.53","3,350.00","2,038.00","6,825,728.10",65,-25.00,77.00,-1.23,3.85,-1.22,"1,889.58","1,753.39","2,306.20",858.00,11_14_2021
SABSL,39.81,"2,040.00","2,090.00","2,000.00","2,035.00","2,039.22","3,197.00","2,013.00","6,519,375.90",60,22.00,90.00,1.09,4.50,-0.21,"1,891.68","1,756.76","2,306.20",858.00,11_15_2021
SABSL,40.36,"2,035.00","2,174.00","2,026.00","2,130.00","2,076.25","3,501.00","2,035.00","7,268,953.20",79,95.00,148.00,4.67,7.31,2.52,"1,894.05","1,760.82","2,306.20",858.00,11_16_2021
SABSL,57.29,"2,169.00","2,169.00","2,060.00","2,079.00","2,101.34","6,211.00","2,130.00","13,051,391.80",128,-51.00,109.00,-2.39,5.29,-1.07,"1,895.66","1,764.84","2,306.20",858.00,11_17_2021
SABSL,61.11,"2,065.00","2,080.00","2,031.10","2,033.00","2,044.38","2,210.00","2,079.00","4,518,084.50",63,-46.00,48.90,-2.21,2.41,-0.56,"1,896.73","1,767.86","2,306.20",858.00,11_18_2021
SABSL,53.20,"2,065.00","2,080.00","2,031.10","2,033.00","2,044.38","2,210.00","2,079.00","4,518,084.50",63,-46.00,48.90,-2.21,2.41,-0.56,"1,896.73","1,767.86","2,306.20",858.00,11_19_2021
SABSL,53.20,"2,065.00","2,080.00","2,031.10","2,033.00","2,044.38","2,210.00","2,079.00","4,518,084.50",63,-46.00,48.90,-2.21,2.41,-0.56,"1,896.73","1,767.86","2,306.20",858.00,11_20_2021
SABSL,48.50,"2,000.00","2,040.00","2,000.00","2,024.00","2,018.22","2,429.00","2,033.00","4,902,257.40",68,-9.00,40.00,-0.44,2.00,0.29,"1,897.23","1,770.94","2,306.20",858.00,11_21_2021
SABSL,39.47,"2,040.00","2,045.00","1,995.00","2,020.00","2,006.60","5,658.00","2,024.00","11,353,343.20",92,-4.00,50.00,-0.20,2.51,0.66,"1,898.19","1,774.05","2,306.20",858.00,11_22_2021
SABSL,42.50,"2,000.00","2,039.00","1,988.00","2,020.00","2,007.11","3,801.00","2,020.00","7,629,028.50",82,0.00,51.00,0.00,2.57,0.64,"1,899.13","1,777.11","2,306.20",858.00,11_23_2021
SABSL,40.33,"2,020.00","2,036.00","2,010.00","2,030.00","2,021.08","2,529.00","2,020.00","5,111,303.20",83,10.00,26.00,0.50,1.29,0.44,"1,900.25","1,780.50","2,306.20",858.00,11_24_2021
SABSL,43.47,"2,068.00","2,068.00","2,031.30","2,044.00","2,046.56","3,145.00","2,030.00","6,436,427.40",90,14.00,36.70,0.69,1.81,-0.13,"1,901.45","1,784.09","2,306.20",858.00,11_25_2021
SABSL,57.91,"2,068.00","2,068.00","2,031.30","2,044.00","2,046.56","3,145.00","2,030.00","6,436,427.40",90,14.00,36.70,0.69,1.81,-0.13,"1,901.45","1,784.09","2,306.20",858.00,11_26_2021
SABSL,57.91,"2,068.00","2,068.00","2,031.30","2,044.00","2,046.56","3,145.00","2,030.00","6,436,427.40",90,14.00,36.70,0.69,1.81,-0.13,"1,901.45","1,784.09","2,306.20",858.00,11_27_2021
SABSL,55.01,"2,084.00","2,084.00","1,971.00","1,980.00","2,006.16","7,508.00","2,044.00","15,062,240.30",118,-64.00,113.00,-3.13,5.73,-1.32,"1,902.28","1,787.32","2,306.20",861.00,11_28_2021
SABSL,48.64,"2,005.00","2,010.00","1,960.00","1,991.00","1,989.69","4,651.00","1,980.00","9,254,052.70",105,11.00,50.00,0.56,2.55,0.07,"1,903.66","1,790.58","2,306.20",861.00,11_29_2021
SABSL,46.55,"1,961.00","2,015.00","1,961.00","1,994.00","1,994.35","3,448.00","1,991.00","6,876,520.30",61,3.00,54.00,0.15,2.75,-0.02,"1,905.38","1,794.04","2,306.20",861.00,11_30_2021
SABSL,42.04,"2,025.00","2,030.00","1,940.00","1,940.00","1,966.78","5,717.00","1,994.00","11,244,102.00",135,-54.00,90.00,-2.71,4.64,-1.38,"1,906.84","1,797.35","2,306.20",861.00,12_01_2021
SABSL,47.02,"1,978.00","1,982.00","1,950.00","1,971.00","1,964.15","13,409.00","1,940.00","26,337,258.20",394,31.00,32.00,1.60,1.64,0.35,"1,908.51","1,800.61","2,306.20",861.00,12_02_2021
SABSL,55.85,"1,978.00","1,982.00","1,950.00","1,971.00","1,964.15","13,409.00","1,940.00","26,337,258.20",394,31.00,32.00,1.60,1.64,0.35,"1,908.51","1,800.61","2,306.20",861.00,12_03_2021
