Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SAEF,49.96,17.28,17.55,16.66,17.00,17.05,"826,630.00",17.60,"14,093,348.05",148,-0.60,0.89,-3.41,5.34,-0.29,15.95,14.73,20.19,9.84,09_01_2021
SAEF,51.24,13.52,13.74,13.33,13.51,13.38,"124,200.00",13.27,"1,662,297.00",20,0.24,0.41,1.81,3.08,0.93,15.88,15.18,20.19,10.16,11_03_2021
SAEF,58.49,13.52,13.74,13.33,13.51,13.38,"124,200.00",13.27,"1,662,297.00",20,0.24,0.41,1.81,3.08,0.93,15.88,15.18,20.19,10.16,11_05_2021
SAEF,58.49,13.52,13.74,13.33,13.51,13.38,"124,200.00",13.27,"1,662,297.00",20,0.24,0.41,1.81,3.08,0.93,15.88,15.18,20.19,10.16,11_06_2021
SAEF,58.49,13.52,13.74,13.33,13.51,13.38,"124,200.00",13.27,"1,662,297.00",20,0.24,0.41,1.81,3.08,0.93,15.88,15.18,20.19,10.16,11_07_2021
SAEF,59.28,13.50,13.54,13.40,13.50,13.47,"107,300.00",13.51,"1,445,768.00",23,-0.01,0.14,-0.07,1.04,0.19,15.87,15.19,20.19,10.17,11_08_2021
SAEF,56.10,13.32,13.32,13.25,13.28,13.28,"96,100.00",13.50,"1,276,161.00",17,-0.22,0.07,-1.63,0.53,0.00,15.87,15.19,20.19,10.17,11_09_2021
SAEF,49.24,13.32,13.32,13.25,13.28,13.28,"96,100.00",13.50,"1,276,161.00",17,-0.22,0.07,-1.63,0.53,0.00,15.87,15.19,20.19,10.17,11_10_2021
SAEF,47.19,13.23,13.40,13.14,13.14,13.18,"140,020.00",13.28,"1,845,408.00",37,-0.14,0.26,-1.05,1.98,-0.30,15.86,15.20,20.19,10.40,11_11_2021
SAEF,48.62,13.23,13.40,13.14,13.14,13.18,"140,020.00",13.28,"1,845,408.00",37,-0.14,0.26,-1.05,1.98,-0.30,15.86,15.20,20.19,10.40,11_12_2021
SAEF,48.62,13.23,13.40,13.14,13.14,13.18,"140,020.00",13.28,"1,845,408.00",37,-0.14,0.26,-1.05,1.98,-0.30,15.86,15.20,20.19,10.40,11_13_2021
SAEF,46.57,13.02,13.14,12.92,13.14,12.99,"57,580.00",13.14,"748,172.40",17,0.00,0.22,0.00,1.70,1.11,15.85,15.20,20.19,10.53,11_14_2021
SAEF,42.05,13.14,13.20,13.10,13.15,13.12,"18,100.00",13.14,"237,390.00",10,0.01,0.10,0.08,0.76,0.26,15.84,15.20,20.19,10.53,11_15_2021
SAEF,39.80,13.41,13.41,13.17,13.32,13.34,"17,400.00",13.15,"232,188.00",8,0.17,0.24,1.29,1.82,-0.18,15.83,15.21,20.19,10.53,11_16_2021
SAEF,43.54,13.32,13.65,13.13,13.20,13.31,"55,000.00",13.32,"731,936.00",15,-0.12,0.52,-0.90,3.96,-0.82,15.82,15.21,20.19,10.53,11_17_2021
SAEF,47.97,13.13,13.18,13.00,13.11,13.11,"49,938.00",13.20,"654,639.08",14,-0.09,0.18,-0.68,1.38,0.01,15.81,15.21,20.19,10.53,11_18_2021
SAEF,46.15,13.13,13.18,13.00,13.11,13.11,"49,938.00",13.20,"654,639.08",14,-0.09,0.18,-0.68,1.38,0.01,15.81,15.21,20.19,10.53,11_19_2021
SAEF,46.15,13.13,13.18,13.00,13.11,13.11,"49,938.00",13.20,"654,639.08",14,-0.09,0.18,-0.68,1.38,0.01,15.81,15.21,20.19,10.53,11_20_2021
SAEF,41.45,13.01,13.27,12.79,12.92,12.96,"148,380.00",13.11,"1,922,351.20",32,-0.19,0.48,-1.45,3.75,-0.28,15.79,15.21,20.19,10.53,11_21_2021
SAEF,42.70,12.92,13.18,12.92,13.01,13.14,"24,181.00",12.92,"317,732.73",14,0.09,0.26,0.70,2.01,-1.00,15.78,15.21,20.19,10.53,11_22_2021
SAEF,37.70,13.25,13.25,12.98,13.02,13.01,"44,340.00",13.01,"576,801.20",16,0.01,0.27,0.08,2.08,0.09,15.76,15.21,20.19,10.53,11_23_2021
SAEF,39.86,12.99,13.10,12.99,13.10,13.06,"16,500.00",13.02,"215,440.00",7,0.08,0.11,0.61,0.85,0.33,15.75,15.20,20.19,10.53,11_24_2021
SAEF,42.40,13.05,13.20,13.02,13.10,13.11,"83,500.00",13.10,"1,094,915.00",19,0.00,0.18,0.00,1.38,-0.10,15.73,15.20,20.19,10.53,11_25_2021
SAEF,61.78,13.05,13.20,13.02,13.10,13.11,"83,500.00",13.10,"1,094,915.00",19,0.00,0.18,0.00,1.38,-0.10,15.73,15.20,20.19,10.53,11_26_2021
SAEF,61.78,13.05,13.20,13.02,13.10,13.11,"83,500.00",13.10,"1,094,915.00",19,0.00,0.18,0.00,1.38,-0.10,15.73,15.20,20.19,10.53,11_27_2021
SAEF,58.88,12.92,13.10,12.84,12.89,12.92,"207,000.00",13.10,"2,673,478.00",32,-0.21,0.26,-1.60,2.02,-0.20,15.72,15.19,20.19,10.53,11_28_2021
SAEF,43.47,12.83,12.84,12.83,12.83,12.84,"24,100.00",12.89,"309,403.00",6,-0.06,0.01,-0.47,0.08,-0.06,15.70,15.18,20.19,10.53,11_29_2021
SAEF,36.81,12.84,13.19,12.84,13.10,12.99,"80,800.00",12.83,"1,049,765.00",17,0.27,0.35,2.10,2.73,0.82,15.67,15.17,20.19,10.53,11_30_2021
SAEF,48.79,12.87,13.10,12.87,13.00,13.06,"13,500.00",13.10,"176,260.00",11,-0.10,0.23,-0.76,1.79,-0.43,15.65,15.16,20.19,10.53,12_01_2021
SAEF,43.98,13.26,13.26,12.65,12.65,12.77,"74,892.00",13.00,"956,617.80",28,-0.35,0.61,-2.69,4.82,-0.97,15.62,15.15,20.19,10.53,12_02_2021
SAEF,46.57,13.26,13.26,12.65,12.65,12.77,"74,892.00",13.00,"956,617.80",28,-0.35,0.61,-2.69,4.82,-0.97,15.62,15.15,20.19,10.53,12_03_2021
