Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SAGF,0.00,10.00,10.00,10.00,10.00,10.00,200.00,0.00,"2,000.00",1,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,03_15_2023
SAGF,35.87,9.81,9.81,9.58,9.58,9.69,"3,840.00",10.00,"37,205.20",21,-0.42,0.23,-4.20,2.40,-1.14,0.00,0.00,10.00,9.58,03_16_2023
SAGF,33.62,9.81,9.81,9.58,9.58,9.69,"3,840.00",10.00,"37,205.20",21,-0.42,0.23,-4.20,2.40,-1.14,0.00,0.00,10.00,9.58,03_17_2023
SAGF,33.62,9.81,9.81,9.58,9.58,9.69,"3,840.00",10.00,"37,205.20",21,-0.42,0.23,-4.20,2.40,-1.14,0.00,0.00,10.00,9.58,03_18_2023
SAGF,33.62,9.39,9.39,8.76,8.76,9.01,"5,100.00",9.58,"45,967.50",21,-0.82,0.63,-8.56,7.19,-2.89,0.00,0.00,10.00,8.76,03_19_2023
SAGF,26.75,8.75,8.75,8.33,8.37,8.64,"8,275.00",8.76,"71,514.90",29,-0.39,0.42,-4.45,5.04,-3.25,0.00,0.00,10.00,8.33,03_20_2023
SAGF,31.44,8.75,8.75,8.33,8.37,8.64,"8,275.00",8.76,"71,514.90",29,-0.39,0.42,-4.45,5.04,-3.25,0.00,0.00,10.00,8.33,03_21_2023
SAGF,32.87,8.21,8.21,7.86,7.88,7.97,"5,175.00",8.37,"41,225.00",32,-0.49,0.35,-5.85,4.45,-1.09,0.00,0.00,10.00,7.86,03_22_2023
SAGF,28.34,7.75,7.90,7.60,7.77,7.77,"3,200.00",7.88,"24,868.00",18,-0.11,0.30,-1.40,3.95,-0.02,0.00,0.00,10.00,7.60,03_23_2023
SAGF,25.96,7.75,7.90,7.60,7.77,7.77,"3,200.00",7.88,"24,868.00",18,-0.11,0.30,-1.40,3.95,-0.02,0.00,0.00,10.00,7.60,03_24_2023
SAGF,25.96,7.75,7.90,7.60,7.77,7.77,"3,200.00",7.88,"24,868.00",18,-0.11,0.30,-1.40,3.95,-0.02,0.00,0.00,10.00,7.60,03_25_2023
SAGF,25.96,7.62,7.65,7.32,7.44,7.45,"6,900.00",7.77,"51,428.25",33,-0.33,0.33,-4.25,4.51,-0.18,0.00,0.00,10.00,7.32,03_26_2023
SAGF,31.50,7.30,7.65,7.30,7.50,7.40,"4,185.00",7.44,"30,956.00",17,0.06,0.35,0.81,4.79,1.37,0.00,0.00,10.00,7.30,03_27_2023
SAGF,36.05,7.41,7.70,7.41,7.63,7.58,"1,100.00",7.50,"8,341.00",9,0.13,0.29,1.73,3.91,0.62,0.00,0.00,10.00,7.30,03_28_2023
SAGF,37.20,7.50,7.63,7.50,7.57,7.57,700.00,7.63,"5,296.00",7,-0.06,0.13,-0.79,1.73,0.06,0.00,0.00,10.00,7.30,03_29_2023
SAGF,33.72,7.42,7.50,7.20,7.39,7.31,"2,550.00",7.57,"18,635.50",14,-0.18,0.30,-2.38,4.17,1.11,0.00,0.00,10.00,7.20,03_30_2023
SAGF,36.98,7.42,7.50,7.20,7.39,7.31,"2,550.00",7.57,"18,635.50",14,-0.18,0.30,-2.38,4.17,1.11,0.00,0.00,10.00,7.20,03_31_2023
SAGF,36.98,7.42,7.50,7.20,7.39,7.31,"2,550.00",7.57,"18,635.50",14,-0.18,0.30,-2.38,4.17,1.11,0.00,0.00,10.00,7.20,04_01_2023
SAGF,36.98,7.30,7.54,7.30,7.42,7.43,"2,780.00",7.39,"20,644.20",15,0.03,0.24,0.41,3.29,-0.08,0.00,0.00,10.00,7.20,04_02_2023
SAGF,36.38,7.40,7.40,7.31,7.39,7.37,550.00,7.42,"4,055.00",5,-0.03,0.09,-0.40,1.23,0.23,0.00,0.00,10.00,7.20,04_03_2023
SAGF,40.62,8.84,8.84,8.50,8.67,8.58,"1,300.00",9.02,"11,148.00",9,-0.35,0.34,-3.88,4.00,1.09,0.00,0.00,10.00,7.20,04_17_2023
SAGF,25.08,8.66,8.70,8.66,8.70,8.68,"1,800.00",8.66,"15,632.00",9,0.04,0.04,0.46,0.46,0.18,0.00,0.00,10.00,7.20,04_19_2023
SAGF,33.97,8.55,8.77,8.55,8.70,8.63,"2,300.00",8.70,"19,848.00",17,0.00,0.22,0.00,2.57,0.81,0.00,0.00,10.00,7.20,04_20_2023
SAGF,30.99,8.55,8.77,8.55,8.70,8.63,"2,300.00",8.70,"19,848.00",17,0.00,0.22,0.00,2.57,0.81,0.00,0.00,10.00,7.20,04_21_2023
SAGF,30.99,8.55,8.77,8.55,8.70,8.63,"2,300.00",8.70,"19,848.00",17,0.00,0.22,0.00,2.57,0.81,0.00,0.00,10.00,7.20,04_22_2023
SAGF,30.99,8.54,8.56,8.40,8.55,8.50,900.00,8.70,"7,654.00",8,-0.15,0.16,-1.72,1.90,0.53,0.00,0.00,10.00,7.20,04_23_2023
SAGF,26.92,8.38,8.38,8.23,8.23,8.28,300.00,8.55,"2,484.00",3,-0.32,0.15,-3.74,1.82,-0.61,0.00,0.00,10.00,7.20,04_24_2023
SAGF,21.04,8.07,8.35,8.07,8.15,8.22,"1,230.00",8.23,"10,106.00",11,-0.08,0.28,-0.97,3.47,-0.81,0.00,0.00,10.00,7.20,04_25_2023
SAGF,26.67,8.15,8.15,8.10,8.11,8.12,"1,250.00",8.15,"10,156.00",6,-0.04,0.05,-0.49,0.62,-0.18,0.00,0.00,10.00,7.20,04_26_2023
SAGF,26.86,7.97,8.27,7.96,8.11,8.07,900.00,8.11,"7,262.00",8,0.00,0.31,0.00,3.89,0.51,0.00,0.00,10.00,7.20,04_27_2023
SAGF,23.82,7.97,8.27,7.96,8.11,8.07,900.00,8.11,"7,262.00",8,0.00,0.31,0.00,3.89,0.51,0.00,0.00,10.00,7.20,04_28_2023
SAGF,23.82,7.97,8.27,7.96,8.11,8.07,900.00,8.11,"7,262.00",8,0.00,0.31,0.00,3.89,0.51,0.00,0.00,10.00,7.20,04_29_2023
