Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SALICO,0.00,611.10,611.10,554.00,560.50,559.29,"53,417.00",599.12,"29,875,551.40",298,-38.62,57.10,-6.45,10.31,0.22,0.00,0.00,611.10,554.00,05_15_2023
SALICO,30.27,558.00,564.00,551.40,558.80,557.41,"14,258.00",560.50,"7,947,486.50",98,-1.70,12.60,-0.30,2.29,0.25,0.00,0.00,611.10,551.40,05_16_2023
SALICO,20.50,560.00,584.00,560.00,584.00,572.84,"19,381.00",558.80,"11,102,241.60",151,25.20,24.00,4.51,4.29,1.91,0.00,0.00,611.10,551.40,05_17_2023
SALICO,47.77,573.00,606.00,573.00,604.90,590.79,"41,447.00",584.00,"24,486,414.30",215,20.90,33.00,3.58,5.76,2.33,0.00,0.00,611.10,551.40,05_18_2023
SALICO,53.97,573.00,606.00,573.00,604.90,590.79,"41,447.00",584.00,"24,486,414.30",215,20.90,33.00,3.58,5.76,2.33,0.00,0.00,611.10,551.40,05_19_2023
SALICO,53.97,573.00,606.00,573.00,604.90,590.79,"41,447.00",584.00,"24,486,414.30",215,20.90,33.00,3.58,5.76,2.33,0.00,0.00,611.10,551.40,05_20_2023
SALICO,53.97,610.00,618.00,600.00,613.70,610.41,"21,127.00",604.90,"12,896,200.90",163,8.80,18.00,1.45,3.00,0.54,0.00,0.00,618.00,551.40,05_21_2023
SALICO,49.69,610.00,629.00,606.00,628.00,617.59,"12,030.00",613.70,"7,429,584.20",114,14.30,23.00,2.33,3.80,1.66,0.00,0.00,629.00,551.40,05_22_2023
SALICO,48.74,625.00,665.00,625.00,651.00,648.00,"28,344.00",628.00,"18,366,810.70",195,23.00,40.00,3.66,6.40,0.46,0.00,0.00,665.00,551.40,05_23_2023
SALICO,55.26,661.00,665.00,647.00,660.00,654.64,"23,153.00",651.00,"15,156,811.00",162,9.00,18.00,1.38,2.78,0.81,0.00,0.00,665.00,551.40,05_24_2023
SALICO,51.60,661.00,665.00,647.00,660.00,654.64,"23,153.00",651.00,"15,156,811.00",162,9.00,18.00,1.38,2.78,0.81,0.00,0.00,665.00,551.40,05_25_2023
SALICO,51.60,661.00,665.00,647.00,660.00,654.64,"23,153.00",651.00,"15,156,811.00",162,9.00,18.00,1.38,2.78,0.81,0.00,0.00,665.00,551.40,05_26_2023
SALICO,51.60,661.00,665.00,647.00,660.00,654.64,"23,153.00",651.00,"15,156,811.00",162,9.00,18.00,1.38,2.78,0.81,0.00,0.00,665.00,551.40,05_27_2023
SALICO,54.35,669.00,669.00,633.00,639.00,652.90,"33,839.00",660.00,"22,093,619.50",184,-21.00,36.00,-3.18,5.69,-2.18,0.00,0.00,669.00,551.40,05_28_2023
SALICO,51.30,669.00,669.00,633.00,639.00,652.90,"33,839.00",660.00,"22,093,619.50",184,-21.00,36.00,-3.18,5.69,-2.18,0.00,0.00,669.00,551.40,05_29_2023
SALICO,51.60,627.00,632.90,608.00,622.00,617.47,"34,278.00",639.00,"21,165,690.40",193,-17.00,24.90,-2.66,4.10,0.73,0.00,0.00,669.00,551.40,05_30_2023
SALICO,-,609.60,640.00,597.80,606.00,614.81,"49,776.00",622.00,"30,602,687.30",147,-16.00,42.20,-2.57,7.06,-1.45,0.00,0.00,669.00,551.40,05_31_2023
SALICO,-,612.00,628.00,594.10,615.20,608.75,"16,560.00",606.00,"10,080,849.60",124,9.20,33.90,1.52,5.71,1.05,0.00,0.00,669.00,551.40,06_01_2023
SALICO,33.58,612.00,628.00,594.10,615.20,608.75,"16,560.00",606.00,"10,080,849.60",124,9.20,33.90,1.52,5.71,1.05,0.00,0.00,669.00,551.40,06_02_2023
SALICO,33.58,612.00,628.00,594.10,615.20,608.75,"16,560.00",606.00,"10,080,849.60",124,9.20,33.90,1.52,5.71,1.05,0.00,0.00,669.00,551.40,06_03_2023
SALICO,-,627.00,650.00,625.00,641.00,635.08,"14,219.00",615.20,"9,030,157.60",129,25.80,25.00,4.19,4.00,0.92,0.00,0.00,669.00,551.40,06_04_2023
SALICO,-,645.00,650.00,635.00,635.00,640.82,"17,932.00",641.00,"11,491,173.40",143,-6.00,15.00,-0.94,2.36,-0.92,0.00,0.00,669.00,551.40,06_05_2023
SALICO,-,625.00,666.00,624.20,665.00,652.69,"29,713.00",635.00,"19,393,478.00",178,30.00,41.80,4.72,6.70,1.85,0.00,0.00,669.00,551.40,06_06_2023
SALICO,-,678.00,678.00,658.00,658.10,664.88,"31,512.00",665.00,"20,951,845.00",154,-6.90,20.00,-1.04,3.04,-1.03,0.00,0.00,678.00,551.40,06_07_2023
SALICO,-,655.00,696.90,650.00,696.90,679.77,"49,848.00",658.10,"33,885,291.50",273,38.80,46.90,5.90,7.22,2.46,0.00,0.00,696.90,551.40,06_08_2023
SALICO,47.48,655.00,696.90,650.00,696.90,679.77,"49,848.00",658.10,"33,885,291.50",273,38.80,46.90,5.90,7.22,2.46,0.00,0.00,696.90,551.40,06_09_2023
