Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SAND2085,60.95,"1,049.00","1,070.00","1,049.00","1,050.00","1,060.82",180.00,"1,050.00","190,947.50",4,0.00,21.00,0.00,2.00,-1.03,"1,049.24","1,046.30","1,111.00","1,000.00",09_01_2021
SAND2085,59.25,"1,021.00","1,021.00","1,005.10","1,005.10","1,013.05",50.00,"1,020.00","50,652.50",2,-14.90,15.90,-1.46,1.58,-0.79,"1,048.03","1,047.04","1,111.00","1,000.00",11_08_2021
SAND2085,52.91,"1,005.00","1,006.00","1,000.10","1,006.00","1,005.14",200.00,"1,005.10","201,027.50",3,0.90,5.90,0.09,0.59,0.09,"1,047.73","1,046.67","1,111.00","1,000.00",11_09_2021
SAND2085,53.76,"1,005.00","1,006.00","1,000.10","1,006.00","1,005.14",200.00,"1,005.10","201,027.50",3,0.90,5.90,0.09,0.59,0.09,"1,047.73","1,046.67","1,111.00","1,000.00",11_10_2021
SAND2085,51.71,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,006.00","25,150.00",1,0.00,0.00,0.00,0.00,0.00,"1,047.44","1,046.29","1,111.00","1,000.00",11_11_2021
SAND2085,53.09,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,006.00","25,150.00",1,0.00,0.00,0.00,0.00,0.00,"1,047.44","1,046.29","1,111.00","1,000.00",11_12_2021
SAND2085,53.09,"1,006.00","1,006.00","1,006.00","1,006.00","1,006.00",25.00,"1,006.00","25,150.00",1,0.00,0.00,0.00,0.00,0.00,"1,047.44","1,046.29","1,111.00","1,000.00",11_13_2021
SAND2085,51.04,"1,001.00","1,005.00","1,001.00","1,005.00","1,003.00",50.00,"1,006.00","50,150.00",2,-1.00,4.00,-0.10,0.40,0.20,"1,047.07","1,046.01","1,111.00","1,000.00",11_14_2021
SAND2085,46.16,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",25.00,"1,005.00","25,025.00",1,-4.00,0.00,-0.40,0.00,0.00,"1,046.61","1,045.71","1,111.00","1,000.00",11_15_2021
SAND2085,49.25,999.60,999.60,999.60,999.60,999.60,25.00,"1,001.00","24,990.00",1,-1.40,0.00,-0.14,0.00,0.00,"1,046.26","1,045.52","1,111.00",999.60,11_16_2021
SAND2085,47.73,"1,019.50","1,019.50","1,019.50","1,019.50","1,019.50",175.00,999.60,"178,412.50",1,19.90,0.00,1.99,0.00,0.00,"1,046.09","1,045.43","1,111.00",999.60,11_17_2021
SAND2085,60.20,"1,019.50","1,019.50","1,019.50","1,019.50","1,019.50",25.00,"1,019.50","25,487.50",1,0.00,0.00,0.00,0.00,0.00,"1,045.84","1,045.24","1,111.00",999.60,11_25_2021
SAND2085,54.37,"1,019.50","1,019.50","1,019.50","1,019.50","1,019.50",25.00,"1,019.50","25,487.50",1,0.00,0.00,0.00,0.00,0.00,"1,045.84","1,045.24","1,111.00",999.60,11_26_2021
