Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SANIMA,48.64,516.00,516.00,498.00,506.00,505.68,"202,887.00",507.00,"102,594,964.70","1,054",-1.00,18.00,-0.20,3.61,0.06,448.87,416.02,564.90,300.00,09_01_2021
SANIMA,55.83,410.00,410.00,404.80,404.80,406.08,"63,025.00",408.00,"25,592,944.50",409,-3.20,5.20,-0.78,1.28,-0.32,483.66,447.18,564.90,300.00,11_03_2021
SANIMA,57.03,410.00,410.00,404.80,404.80,406.08,"63,025.00",408.00,"25,592,944.50",409,-3.20,5.20,-0.78,1.28,-0.32,483.66,447.18,564.90,300.00,11_05_2021
SANIMA,57.03,410.00,410.00,404.80,404.80,406.08,"63,025.00",408.00,"25,592,944.50",409,-3.20,5.20,-0.78,1.28,-0.32,483.66,447.18,564.90,300.00,11_06_2021
SANIMA,57.03,410.00,410.00,404.80,404.80,406.08,"63,025.00",408.00,"25,592,944.50",409,-3.20,5.20,-0.78,1.28,-0.32,483.66,447.18,564.90,300.00,11_07_2021
SANIMA,57.81,406.00,406.00,400.00,400.00,401.30,"56,228.00",404.80,"22,564,564.10",390,-4.80,6.00,-1.19,1.50,-0.33,483.69,447.42,564.90,300.00,11_08_2021
SANIMA,57.55,397.10,399.00,385.00,390.00,390.85,"113,804.00",400.00,"44,480,031.00",725,-10.00,14.00,-2.50,3.64,-0.22,483.65,447.60,564.90,300.00,11_09_2021
SANIMA,56.84,397.10,399.00,385.00,390.00,390.85,"113,804.00",400.00,"44,480,031.00",725,-10.00,14.00,-2.50,3.64,-0.22,483.65,447.60,564.90,300.00,11_10_2021
SANIMA,54.79,385.00,390.00,380.00,383.00,383.72,"60,551.00",390.00,"23,234,490.00",507,-7.00,10.00,-1.79,2.63,-0.19,483.51,447.62,564.90,300.00,11_11_2021
SANIMA,49.77,385.00,390.00,380.00,383.00,383.72,"60,551.00",390.00,"23,234,490.00",507,-7.00,10.00,-1.79,2.63,-0.19,483.51,447.62,564.90,300.00,11_12_2021
SANIMA,49.77,385.00,390.00,380.00,383.00,383.72,"60,551.00",390.00,"23,234,490.00",507,-7.00,10.00,-1.79,2.63,-0.19,483.51,447.62,564.90,300.00,11_13_2021
SANIMA,47.72,390.50,390.50,380.00,384.00,383.33,"45,599.00",383.00,"17,479,662.30",329,1.00,10.50,0.26,2.76,0.17,483.36,447.68,564.90,300.00,11_14_2021
SANIMA,48.36,385.00,390.00,382.20,386.00,385.61,"35,600.00",384.00,"13,727,723.50",315,2.00,7.80,0.52,2.04,0.10,483.24,447.74,564.90,300.00,11_15_2021
SANIMA,49.40,386.00,404.90,381.00,401.00,393.59,"71,340.00",386.00,"28,078,828.00",421,15.00,23.90,3.89,6.27,1.85,483.27,447.89,564.90,300.00,11_16_2021
SANIMA,56.33,405.00,407.80,395.00,396.00,398.73,"39,497.00",401.00,"15,748,745.70",324,-5.00,12.80,-1.25,3.24,-0.69,483.18,448.06,564.90,300.00,11_17_2021
SANIMA,54.65,398.00,400.00,386.00,389.00,391.25,"46,042.00",396.00,"18,013,910.30",308,-7.00,14.00,-1.77,3.63,-0.58,482.96,448.12,564.90,300.00,11_18_2021
SANIMA,54.55,398.00,400.00,386.00,389.00,391.25,"46,042.00",396.00,"18,013,910.30",308,-7.00,14.00,-1.77,3.63,-0.58,482.96,448.12,564.90,300.00,11_19_2021
SANIMA,54.55,398.00,400.00,386.00,389.00,391.25,"46,042.00",396.00,"18,013,910.30",308,-7.00,14.00,-1.77,3.63,-0.58,482.96,448.12,564.90,300.00,11_20_2021
SANIMA,49.85,393.00,394.90,384.00,384.00,387.70,"40,428.00",389.00,"15,673,914.80",320,-5.00,10.90,-1.29,2.84,-0.96,482.67,448.11,564.90,300.00,11_21_2021
SANIMA,49.47,385.00,388.40,383.00,387.90,385.52,"36,330.00",384.00,"14,006,050.90",243,3.90,5.40,1.02,1.41,0.61,482.42,448.09,564.90,300.00,11_22_2021
SANIMA,47.92,387.90,387.90,381.10,381.90,382.68,"41,575.00",387.90,"15,909,734.20",250,-6.00,6.80,-1.55,1.78,-0.20,482.07,447.99,564.90,300.00,11_23_2021
SANIMA,49.13,381.90,381.90,373.00,377.00,375.80,"59,461.00",381.90,"22,345,154.00",378,-4.90,8.90,-1.28,2.39,0.32,481.59,447.90,564.90,300.00,11_24_2021
SANIMA,47.81,378.50,382.00,373.00,375.10,376.88,"43,608.00",377.00,"16,434,884.40",280,-1.90,9.00,-0.50,2.41,-0.47,481.07,447.87,564.90,300.00,11_25_2021
SANIMA,48.98,378.50,382.00,373.00,375.10,376.88,"43,608.00",377.00,"16,434,884.40",280,-1.90,9.00,-0.50,2.41,-0.47,481.07,447.87,564.90,300.00,11_26_2021
SANIMA,48.98,378.50,382.00,373.00,375.10,376.88,"43,608.00",377.00,"16,434,884.40",280,-1.90,9.00,-0.50,2.41,-0.47,481.07,447.87,564.90,300.00,11_27_2021
SANIMA,46.08,373.10,375.00,360.00,361.00,365.89,"71,149.00",375.10,"26,032,973.10",492,-14.10,15.00,-3.76,4.17,-1.36,480.52,447.78,564.90,300.00,11_28_2021
SANIMA,42.99,359.00,366.00,355.00,357.00,359.59,"94,402.00",361.00,"33,945,856.80",394,-4.00,11.00,-1.11,3.10,-0.73,479.89,447.66,564.90,300.00,11_29_2021
SANIMA,46.69,362.00,362.50,355.00,359.00,357.56,"48,904.00",357.00,"17,486,073.00",255,2.00,7.50,0.56,2.11,0.40,479.16,447.58,564.90,300.00,11_30_2021
SANIMA,43.70,361.00,365.00,358.00,360.00,360.33,"31,431.00",359.00,"11,325,518.20",237,1.00,7.00,0.28,1.96,-0.09,478.46,447.56,564.90,300.00,12_01_2021
SANIMA,43.56,360.00,365.00,357.00,357.00,358.92,"38,037.00",360.00,"13,652,152.90",219,-3.00,8.00,-0.83,2.24,-0.54,477.75,447.50,564.90,300.00,12_02_2021
SANIMA,48.00,360.00,365.00,357.00,357.00,358.92,"38,037.00",360.00,"13,652,152.90",219,-3.00,8.00,-0.83,2.24,-0.54,477.75,447.50,564.90,300.00,12_03_2021
SANIMA,48.00,360.00,365.00,357.00,357.00,358.92,"38,037.00",360.00,"13,652,152.90",219,-3.00,8.00,-0.83,2.24,-0.54,477.75,447.50,564.90,300.00,12_04_2021
SANIMA,47.10,352.00,358.00,350.00,350.00,351.57,"59,627.00",357.00,"20,963,020.80",375,-7.00,8.00,-1.96,2.29,-0.45,476.95,447.48,564.90,300.00,12_05_2021
SANIMA,46.55,353.90,354.00,340.00,351.00,349.11,"54,999.00",350.00,"19,200,470.70",414,1.00,14.00,0.29,4.12,0.54,475.97,447.40,564.90,300.00,12_06_2021
SANIMA,46.80,358.00,359.00,350.00,350.00,353.61,"37,126.00",351.00,"13,128,118.00",314,-1.00,9.00,-0.28,2.57,-1.03,474.81,447.29,564.90,300.00,12_07_2021
SANIMA,43.40,357.00,357.00,342.00,344.00,344.82,"34,025.00",350.00,"11,732,509.60",276,-6.00,15.00,-1.71,4.39,-0.24,473.68,447.18,564.90,300.00,12_08_2021
SANIMA,40.16,341.00,345.00,335.00,339.00,340.16,"35,942.00",344.00,"12,226,114.20",292,-5.00,10.00,-1.45,2.99,-0.34,472.46,447.07,564.90,300.00,12_09_2021
SANIMA,40.47,341.00,345.00,335.00,339.00,340.16,"35,942.00",344.00,"12,226,114.20",292,-5.00,10.00,-1.45,2.99,-0.34,472.46,447.07,564.90,300.00,12_10_2021
SANIMA,40.47,341.00,345.00,335.00,339.00,340.16,"35,942.00",344.00,"12,226,114.20",292,-5.00,10.00,-1.45,2.99,-0.34,472.46,447.07,564.90,300.00,12_11_2021
SANIMA,39.82,338.00,338.00,327.00,327.00,331.89,"43,009.00",339.00,"14,274,325.50",430,-12.00,11.00,-3.54,3.36,-1.50,471.19,446.89,564.90,300.00,12_12_2021
SANIMA,35.60,326.00,326.00,319.00,322.20,322.20,"45,060.00",327.00,"14,518,121.60",344,-4.80,7.00,-1.47,2.19,0.00,469.93,446.73,564.90,300.00,12_13_2021
SANIMA,37.10,328.00,345.00,324.20,341.00,334.77,"16,643.00",322.20,"5,571,544.90",169,18.80,20.80,5.83,6.42,1.83,468.78,446.68,564.90,300.00,12_14_2021
SANIMA,42.16,347.80,355.00,330.10,340.00,342.41,"53,525.00",341.00,"18,327,577.30",392,-1.00,24.90,-0.29,7.54,-0.71,467.46,446.61,564.90,300.00,12_15_2021
SANIMA,46.36,340.00,340.00,333.00,335.10,335.77,"20,844.00",340.00,"6,998,876.20",187,-4.90,7.00,-1.44,2.10,-0.20,466.10,446.50,564.90,300.00,12_16_2021
SANIMA,45.06,340.00,340.00,333.00,335.10,335.77,"20,844.00",340.00,"6,998,876.20",187,-4.90,7.00,-1.44,2.10,-0.20,466.10,446.50,564.90,300.00,12_17_2021
SANIMA,45.06,340.00,340.00,333.00,335.10,335.77,"20,844.00",340.00,"6,998,876.20",187,-4.90,7.00,-1.44,2.10,-0.20,466.10,446.50,564.90,300.00,12_18_2021
SANIMA,45.06,340.00,340.00,333.00,335.10,335.77,"20,844.00",340.00,"6,998,876.20",187,-4.90,7.00,-1.44,2.10,-0.20,466.10,446.50,564.90,300.00,12_19_2021
SANIMA,42.37,341.80,341.80,328.00,332.00,331.49,"40,645.00",335.10,"13,473,360.00",281,-3.10,13.80,-0.93,4.21,0.15,464.77,446.34,564.90,300.00,12_20_2021
SANIMA,46.59,338.00,340.00,332.00,337.00,337.38,"17,326.00",332.00,"5,845,402.90",157,5.00,8.00,1.51,2.41,-0.11,463.49,446.18,564.90,300.00,12_21_2021
SANIMA,41.70,340.00,349.00,340.00,347.50,346.49,"24,319.00",337.00,"8,426,401.50",260,10.50,9.00,3.12,2.65,0.29,462.39,446.12,564.90,308.00,12_22_2021
SANIMA,48.54,347.00,353.00,344.10,350.00,350.21,"37,310.00",347.50,"13,066,461.50",267,2.50,8.90,0.72,2.59,-0.06,461.41,446.09,564.90,308.00,12_23_2021
SANIMA,53.27,347.00,353.00,344.10,350.00,350.21,"37,310.00",347.50,"13,066,461.50",267,2.50,8.90,0.72,2.59,-0.06,461.41,446.09,564.90,308.00,12_24_2021
SANIMA,53.27,347.00,353.00,344.10,350.00,350.21,"37,310.00",347.50,"13,066,461.50",267,2.50,8.90,0.72,2.59,-0.06,461.41,446.09,564.90,308.00,12_25_2021
SANIMA,51.65,355.00,362.00,348.50,358.00,357.11,"53,556.00",350.00,"19,125,145.50",312,8.00,13.50,2.29,3.87,0.25,460.36,446.05,564.90,308.00,12_26_2021
SANIMA,53.97,355.00,363.00,355.00,356.00,357.59,"63,171.00",358.00,"22,589,549.70",311,-2.00,8.00,-0.56,2.25,-0.45,459.39,446.03,564.90,308.00,12_27_2021
SANIMA,55.27,355.00,355.00,338.20,352.00,348.92,"36,901.00",356.00,"12,875,470.30",225,-4.00,16.80,-1.12,4.97,0.88,458.41,445.99,564.90,308.00,12_28_2021
SANIMA,51.65,355.00,356.00,350.00,354.00,354.32,"40,088.00",352.00,"14,203,816.40",169,2.00,6.00,0.57,1.71,-0.09,457.37,445.91,564.90,308.00,12_29_2021
SANIMA,53.94,355.00,356.00,350.00,354.00,354.32,"40,088.00",352.00,"14,203,816.40",169,2.00,6.00,0.57,1.71,-0.09,457.37,445.91,564.90,308.00,12_30_2021
SANIMA,53.94,355.00,356.00,350.00,354.00,354.32,"40,088.00",352.00,"14,203,816.40",169,2.00,6.00,0.57,1.71,-0.09,457.37,445.91,564.90,308.00,12_31_2021
SANIMA,53.94,355.00,356.00,350.00,354.00,354.32,"40,088.00",352.00,"14,203,816.40",169,2.00,6.00,0.57,1.71,-0.09,457.37,445.91,564.90,308.00,01_01_2022
