Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SAPDBL,46.94,479.00,487.00,465.00,470.00,475.27,"48,036.00",470.00,"22,830,073.20",337,0.00,22.00,0.00,4.73,-1.12,299.98,254.61,540.00,117.00,09_01_2021
SAPDBL,72.74,429.00,438.60,419.50,424.00,429.76,"19,034.00",428.00,"8,180,122.80",125,-4.00,19.10,-0.93,4.55,-1.36,374.25,308.08,540.00,138.00,11_03_2021
SAPDBL,55.19,429.00,438.60,419.50,424.00,429.76,"19,034.00",428.00,"8,180,122.80",125,-4.00,19.10,-0.93,4.55,-1.36,374.25,308.08,540.00,138.00,11_05_2021
SAPDBL,55.19,429.00,438.60,419.50,424.00,429.76,"19,034.00",428.00,"8,180,122.80",125,-4.00,19.10,-0.93,4.55,-1.36,374.25,308.08,540.00,138.00,11_06_2021
SAPDBL,55.19,429.00,438.60,419.50,424.00,429.76,"19,034.00",428.00,"8,180,122.80",125,-4.00,19.10,-0.93,4.55,-1.36,374.25,308.08,540.00,138.00,11_07_2021
SAPDBL,55.98,431.00,432.10,410.00,412.00,416.61,"24,539.00",424.00,"10,223,308.50",147,-12.00,22.10,-2.83,5.39,-1.12,376.13,309.41,540.00,138.00,11_08_2021
SAPDBL,54.73,404.00,404.20,384.90,392.00,394.58,"28,671.00",412.00,"11,312,877.50",255,-20.00,19.30,-4.85,5.01,-0.66,377.82,310.61,540.00,138.00,11_09_2021
SAPDBL,52.54,404.00,404.20,384.90,392.00,394.58,"28,671.00",412.00,"11,312,877.50",255,-20.00,19.30,-4.85,5.01,-0.66,377.82,310.61,540.00,138.00,11_10_2021
SAPDBL,50.49,384.20,391.60,365.00,375.00,379.90,"25,108.00",392.00,"9,538,536.00",174,-17.00,26.60,-4.34,7.29,-1.31,379.35,311.73,540.00,138.00,11_11_2021
SAPDBL,49.52,384.20,391.60,365.00,375.00,379.90,"25,108.00",392.00,"9,538,536.00",174,-17.00,26.60,-4.34,7.29,-1.31,379.35,311.73,540.00,138.00,11_12_2021
SAPDBL,49.52,384.20,391.60,365.00,375.00,379.90,"25,108.00",392.00,"9,538,536.00",174,-17.00,26.60,-4.34,7.29,-1.31,379.35,311.73,540.00,138.00,11_13_2021
SAPDBL,47.47,375.00,397.30,373.00,395.00,386.49,"36,802.00",375.00,"14,223,565.70",238,20.00,24.30,5.33,6.51,2.15,381.06,312.95,540.00,138.00,11_14_2021
SAPDBL,50.54,402.90,420.20,400.00,411.00,409.06,"32,067.00",395.00,"13,117,436.80",247,16.00,20.20,4.05,5.05,0.47,382.89,314.27,540.00,138.00,11_15_2021
SAPDBL,53.89,412.00,421.00,411.00,420.00,417.16,"25,049.00",411.00,"10,449,516.10",146,9.00,10.00,2.19,2.43,0.68,384.70,315.64,540.00,138.00,11_16_2021
SAPDBL,54.40,420.00,425.00,406.00,409.00,413.79,"28,023.00",420.00,"11,595,750.00",188,-11.00,19.00,-2.62,4.68,-1.17,386.26,316.96,540.00,138.00,11_17_2021
SAPDBL,59.93,401.00,409.50,398.00,398.30,402.40,"25,098.00",409.00,"10,099,395.60",163,-10.70,11.50,-2.62,2.89,-1.03,387.68,318.22,540.00,138.00,11_18_2021
SAPDBL,49.23,401.00,409.50,398.00,398.30,402.40,"25,098.00",409.00,"10,099,395.60",163,-10.70,11.50,-2.62,2.89,-1.03,387.68,318.22,540.00,138.00,11_19_2021
SAPDBL,49.23,401.00,409.50,398.00,398.30,402.40,"25,098.00",409.00,"10,099,395.60",163,-10.70,11.50,-2.62,2.89,-1.03,387.68,318.22,540.00,138.00,11_20_2021
SAPDBL,44.53,390.40,414.20,390.40,393.00,395.48,"10,763.00",398.30,"4,256,578.30",98,-5.30,23.80,-1.33,6.10,-0.63,388.87,319.44,540.00,138.00,11_21_2021
SAPDBL,42.13,395.00,410.00,393.00,393.00,399.75,"18,447.00",393.00,"7,374,102.00",112,0.00,17.00,0.00,4.33,-1.72,390.17,320.67,540.00,138.00,11_22_2021
SAPDBL,44.45,391.00,397.90,384.00,388.00,387.75,"18,138.00",393.00,"7,033,008.90",148,-5.00,13.90,-1.27,3.62,0.06,391.37,321.80,540.00,138.00,11_23_2021
SAPDBL,44.65,388.00,403.40,378.00,391.00,388.91,"17,614.00",388.00,"6,850,290.10",138,3.00,25.40,0.77,6.72,0.53,392.39,322.94,540.00,138.00,11_24_2021
SAPDBL,48.51,398.80,405.00,390.10,391.10,397.42,"16,619.00",391.00,"6,604,705.50",97,0.10,14.90,0.03,3.82,-1.62,393.34,324.11,540.00,138.00,11_25_2021
SAPDBL,49.18,398.80,405.00,390.10,391.10,397.42,"16,619.00",391.00,"6,604,705.50",97,0.10,14.90,0.03,3.82,-1.62,393.34,324.11,540.00,138.00,11_26_2021
SAPDBL,49.18,398.80,405.00,390.10,391.10,397.42,"16,619.00",391.00,"6,604,705.50",97,0.10,14.90,0.03,3.82,-1.62,393.34,324.11,540.00,138.00,11_27_2021
SAPDBL,46.28,383.30,388.00,373.00,377.00,380.21,"27,086.00",391.10,"10,298,415.30",145,-14.10,15.00,-3.61,4.02,-0.85,394.04,325.22,540.00,138.00,11_28_2021
SAPDBL,41.30,377.00,391.00,377.00,380.00,381.94,"8,551.00",377.00,"3,265,950.30",55,3.00,14.00,0.80,3.71,-0.51,394.68,326.36,540.00,138.00,11_29_2021
SAPDBL,39.76,384.50,384.50,373.20,379.00,379.01,"7,760.00",380.00,"2,941,083.90",78,-1.00,11.30,-0.26,3.03,0.00,395.22,327.49,540.00,138.00,11_30_2021
SAPDBL,42.87,386.40,388.60,376.30,376.30,382.79,"6,923.00",379.00,"2,650,049.10",55,-2.70,12.30,-0.71,3.27,-1.72,395.76,328.65,540.00,138.00,12_01_2021
SAPDBL,42.85,369.00,383.80,366.00,367.00,371.05,"11,255.00",376.30,"4,176,200.40",92,-9.30,17.80,-2.47,4.86,-1.10,396.25,329.73,540.00,138.00,12_02_2021
SAPDBL,44.87,369.00,383.80,366.00,367.00,371.05,"11,255.00",376.30,"4,176,200.40",92,-9.30,17.80,-2.47,4.86,-1.10,396.25,329.73,540.00,138.00,12_03_2021
SAPDBL,44.87,369.00,383.80,366.00,367.00,371.05,"11,255.00",376.30,"4,176,200.40",92,-9.30,17.80,-2.47,4.86,-1.10,396.25,329.73,540.00,138.00,12_04_2021
SAPDBL,43.97,364.00,364.40,345.00,345.00,350.54,"13,683.00",367.00,"4,796,475.00",112,-22.00,19.40,-5.99,5.62,-1.61,396.39,330.72,540.00,138.00,12_05_2021
SAPDBL,39.64,350.00,364.10,316.00,361.00,333.28,"29,708.00",345.00,"9,901,035.80",246,16.00,48.10,4.64,15.22,7.68,396.44,331.80,540.00,138.00,12_06_2021
SAPDBL,45.08,368.00,373.00,342.10,344.00,356.11,"15,081.00",361.00,"5,370,553.80",110,-17.00,30.90,-4.71,9.03,-3.52,396.48,332.77,540.00,138.00,12_07_2021
SAPDBL,38.84,344.00,344.00,328.30,332.50,334.44,"15,052.00",344.00,"5,034,048.60",95,-11.50,15.70,-3.34,4.78,-0.58,396.31,333.70,540.00,138.00,12_08_2021
SAPDBL,35.70,325.90,340.00,320.00,333.00,328.91,"21,432.00",332.50,"7,049,116.50",124,0.50,20.00,0.15,6.25,1.23,395.85,334.64,540.00,138.00,12_09_2021
SAPDBL,41.97,325.90,340.00,320.00,333.00,328.91,"21,432.00",332.50,"7,049,116.50",124,0.50,20.00,0.15,6.25,1.23,395.85,334.64,540.00,138.00,12_10_2021
SAPDBL,41.97,325.90,340.00,320.00,333.00,328.91,"21,432.00",332.50,"7,049,116.50",124,0.50,20.00,0.15,6.25,1.23,395.85,334.64,540.00,138.00,12_11_2021
SAPDBL,41.32,332.30,332.30,305.00,307.00,314.09,"12,581.00",333.00,"3,951,583.50",148,-26.00,27.30,-7.81,8.95,-2.31,395.31,335.43,540.00,138.00,12_12_2021
