Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SBCF,64.88,10.30,10.39,10.04,10.20,10.26,"35,570.00",10.19,"364,826.00",30,0.01,0.35,0.10,3.49,-0.55,-,-,11.29,9.75,09_01_2021
SBCF,51.18,9.55,9.80,9.55,9.63,9.70,"5,900.00",9.74,"57,239.00",15,-0.11,0.25,-1.13,2.62,-0.74,-,-,11.29,9.16,11_03_2021
SBCF,45.92,9.55,9.80,9.55,9.63,9.70,"5,900.00",9.74,"57,239.00",15,-0.11,0.25,-1.13,2.62,-0.74,-,-,11.29,9.16,11_05_2021
SBCF,45.92,9.55,9.80,9.55,9.63,9.70,"5,900.00",9.74,"57,239.00",15,-0.11,0.25,-1.13,2.62,-0.74,-,-,11.29,9.16,11_06_2021
SBCF,45.92,9.55,9.80,9.55,9.63,9.70,"5,900.00",9.74,"57,239.00",15,-0.11,0.25,-1.13,2.62,-0.74,-,-,11.29,9.16,11_07_2021
SBCF,46.71,9.60,9.75,9.60,9.64,9.64,"7,490.00",9.63,"72,193.50",21,0.01,0.15,0.10,1.56,0.01,-,-,11.29,9.16,11_08_2021
SBCF,55.13,9.55,9.87,9.50,9.50,9.56,"22,700.00",9.64,"217,111.95",23,-0.14,0.37,-1.45,3.89,-0.68,-,-,11.29,9.16,11_09_2021
SBCF,49.51,9.55,9.87,9.50,9.50,9.56,"22,700.00",9.64,"217,111.95",23,-0.14,0.37,-1.45,3.89,-0.68,-,-,11.29,9.16,11_10_2021
SBCF,47.46,9.48,9.55,9.37,9.50,9.43,"2,700.00",9.50,"25,461.00",15,0.00,0.18,0.00,1.92,0.74,-,-,11.29,9.16,11_11_2021
SBCF,39.60,9.48,9.55,9.37,9.50,9.43,"2,700.00",9.50,"25,461.00",15,0.00,0.18,0.00,1.92,0.74,-,-,11.29,9.16,11_12_2021
SBCF,39.60,9.48,9.55,9.37,9.50,9.43,"2,700.00",9.50,"25,461.00",15,0.00,0.18,0.00,1.92,0.74,-,-,11.29,9.16,11_13_2021
SBCF,37.55,9.40,9.50,9.33,9.36,9.37,"18,769.00",9.50,"175,828.13",26,-0.14,0.17,-1.47,1.82,-0.09,-,-,11.29,9.16,11_14_2021
SBCF,45.79,9.36,9.51,9.21,9.51,9.44,"6,300.00",9.36,"59,476.00",20,0.15,0.30,1.60,3.26,0.73,-,-,11.29,9.16,11_15_2021
