Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SBD87,64.65,983.00,983.00,983.00,983.00,983.00,30.00,990.00,"29,490.00",1,-7.00,0.00,-0.71,0.00,0.00,-,-,"1,010.00",980.00,09_01_2021
SBD87,60.51,948.00,948.00,948.00,948.00,948.00,10.00,949.10,"9,480.00",1,-1.10,0.00,-0.12,0.00,0.00,-,-,"1,010.00",947.00,11_08_2021
SBD87,50.22,950.10,950.10,948.00,950.00,948.68,225.00,948.00,"213,452.50",5,2.00,2.10,0.21,0.22,0.14,-,-,"1,010.00",947.00,11_14_2021
SBD87,60.92,960.00,966.90,960.00,960.00,961.06,65.00,950.00,"62,469.00",3,10.00,6.90,1.05,0.72,-0.11,-,-,"1,010.00",947.00,11_15_2021
SBD87,60.86,950.00,950.00,950.00,950.00,950.00,50.00,960.00,"47,500.00",1,-10.00,0.00,-1.04,0.00,0.00,-,-,"1,010.00",947.00,11_18_2021
SBD87,56.95,950.00,950.00,950.00,950.00,950.00,50.00,960.00,"47,500.00",1,-10.00,0.00,-1.04,0.00,0.00,-,-,"1,010.00",947.00,11_19_2021
SBD87,56.95,950.00,950.00,950.00,950.00,950.00,50.00,960.00,"47,500.00",1,-10.00,0.00,-1.04,0.00,0.00,-,-,"1,010.00",947.00,11_20_2021
SBD87,54.64,948.00,948.00,948.00,948.00,948.00,30.00,950.00,"28,440.00",1,-2.00,0.00,-0.21,0.00,0.00,-,-,"1,010.00",947.00,11_23_2021
SBD87,52.41,963.00,963.00,963.00,963.00,963.00,20.00,948.00,"19,260.00",2,15.00,0.00,1.58,0.00,0.00,-,-,"1,010.00",947.00,11_24_2021
SBD87,59.11,950.00,950.00,950.00,950.00,950.00,30.00,963.00,"28,500.00",1,-13.00,0.00,-1.35,0.00,0.00,-,-,"1,010.00",947.00,11_25_2021
SBD87,47.09,950.00,950.00,950.00,950.00,950.00,30.00,963.00,"28,500.00",1,-13.00,0.00,-1.35,0.00,0.00,-,-,"1,010.00",947.00,11_26_2021
SBD87,47.09,950.00,950.00,950.00,950.00,950.00,30.00,963.00,"28,500.00",1,-13.00,0.00,-1.35,0.00,0.00,-,-,"1,010.00",947.00,11_27_2021
SBD87,43.75,945.10,945.10,945.10,945.10,945.10,25.00,950.00,"23,627.50",1,-4.90,0.00,-0.52,0.00,0.00,-,-,"1,010.00",945.10,11_29_2021
SBD87,44.91,945.00,945.00,945.00,945.00,945.00,55.00,945.10,"51,975.00",2,-0.10,0.00,-0.01,0.00,0.00,-,-,"1,010.00",945.00,12_02_2021
SBD87,49.49,945.00,945.00,945.00,945.00,945.00,55.00,945.10,"51,975.00",2,-0.10,0.00,-0.01,0.00,0.00,-,-,"1,010.00",945.00,12_03_2021
SBD87,49.49,945.00,945.00,945.00,945.00,945.00,55.00,945.10,"51,975.00",2,-0.10,0.00,-0.01,0.00,0.00,-,-,"1,010.00",945.00,12_04_2021
SBD87,48.59,945.00,945.00,942.10,942.10,943.55,50.00,945.00,"47,177.50",2,-2.90,2.90,-0.31,0.31,-0.15,-,-,"1,010.00",942.10,12_05_2021
SBD87,33.75,950.00,950.00,950.00,950.00,950.00,25.00,942.10,"23,750.00",1,7.90,0.00,0.84,0.00,0.00,-,-,"1,010.00",942.10,12_12_2021
SBD87,40.35,950.00,950.00,950.00,950.00,950.00,45.00,950.00,"42,750.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",942.10,12_13_2021
SBD87,45.06,950.00,950.00,950.00,950.00,950.00,25.00,950.00,"23,750.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",942.10,12_20_2021
SBD87,48.04,950.00,950.00,950.00,950.00,950.00,200.00,950.00,"190,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",942.10,12_23_2021
SBD87,57.62,950.00,950.00,950.00,950.00,950.00,200.00,950.00,"190,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",942.10,12_24_2021
SBD87,57.62,950.00,950.00,950.00,950.00,950.00,200.00,950.00,"190,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",942.10,12_25_2021
SBD87,55.99,969.00,969.00,969.00,969.00,969.00,50.00,950.00,"48,450.00",1,19.00,0.00,2.00,0.00,0.00,-,-,"1,010.00",942.10,12_26_2021
SBD87,52.04,969.00,969.00,950.00,950.00,959.50,50.00,969.00,"47,975.00",2,-19.00,19.00,-1.96,2.00,-1.00,-,-,"1,010.00",942.10,12_29_2021
SBD87,49.37,969.00,969.00,950.00,950.00,959.50,50.00,969.00,"47,975.00",2,-19.00,19.00,-1.96,2.00,-1.00,-,-,"1,010.00",942.10,12_30_2021
SBD87,49.37,969.00,969.00,950.00,950.00,959.50,50.00,969.00,"47,975.00",2,-19.00,19.00,-1.96,2.00,-1.00,-,-,"1,010.00",942.10,12_31_2021
SBD87,49.37,969.00,969.00,950.00,950.00,959.50,50.00,969.00,"47,975.00",2,-19.00,19.00,-1.96,2.00,-1.00,-,-,"1,010.00",942.10,01_01_2022
SBD87,50.91,965.00,969.00,950.00,950.00,963.25,100.00,950.00,"96,325.00",3,0.00,19.00,0.00,2.00,-1.39,-,-,"1,010.00",942.10,01_02_2022
SBD87,47.21,969.00,969.00,969.00,969.00,969.00,50.00,950.00,"48,450.00",1,19.00,0.00,2.00,0.00,0.00,-,-,"1,010.00",942.10,01_03_2022
SBD87,57.97,975.00,975.00,975.00,975.00,975.00,50.00,969.00,"48,750.00",1,6.00,0.00,0.62,0.00,0.00,-,-,"1,010.00",942.10,01_04_2022
SBD87,46.78,975.00,975.00,975.00,975.00,975.00,300.00,975.00,"292,500.00",4,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",942.10,01_05_2022
SBD87,62.24,980.00,980.00,980.00,980.00,980.00,50.00,975.00,"49,000.00",1,5.00,0.00,0.51,0.00,0.00,-,-,"1,010.00",942.10,01_06_2022
SBD87,57.23,980.00,980.00,980.00,980.00,980.00,50.00,975.00,"49,000.00",1,5.00,0.00,0.51,0.00,0.00,-,-,"1,010.00",942.10,01_07_2022
SBD87,57.23,980.00,980.00,980.00,980.00,980.00,50.00,975.00,"49,000.00",1,5.00,0.00,0.51,0.00,0.00,-,-,"1,010.00",942.10,01_08_2022
SBD87,57.70,965.00,990.00,965.00,990.00,987.98,495.00,980.00,"489,050.00",6,10.00,25.00,1.02,2.59,0.20,-,-,"1,010.00",942.10,01_09_2022
SBD87,60.78,995.00,995.00,980.00,980.00,990.00,75.00,990.00,"74,250.00",2,-10.00,15.00,-1.01,1.53,-1.02,-,-,"1,010.00",942.10,01_10_2022
SBD87,52.45,980.00,980.00,980.00,980.00,980.00,15.00,980.00,"14,700.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",942.10,01_11_2022
SBD87,51.16,990.00,990.00,990.00,990.00,990.00,100.00,980.00,"99,000.00",2,10.00,0.00,1.02,0.00,0.00,-,-,"1,010.00",942.10,01_12_2022
SBD87,59.48,970.20,970.20,970.20,970.20,970.20,10.00,990.00,"9,702.00",1,-19.80,0.00,-2.00,0.00,0.00,-,-,"1,010.00",942.10,01_18_2022
SBD87,48.51,950.90,950.90,950.90,950.90,950.90,10.00,970.20,"9,509.00",1,-19.30,0.00,-1.99,0.00,0.00,-,-,"1,010.00",942.10,01_24_2022
SBD87,42.67,932.00,932.00,932.00,932.00,932.00,200.00,950.90,"186,400.00",1,-18.90,0.00,-1.99,0.00,0.00,-,-,"1,010.00",932.00,01_25_2022
SBD87,46.80,932.00,932.00,932.00,932.00,932.00,160.00,932.00,"149,120.00",3,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",932.00,01_27_2022
SBD87,47.43,932.00,932.00,932.00,932.00,932.00,160.00,932.00,"149,120.00",3,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",932.00,01_28_2022
SBD87,47.43,932.00,932.00,932.00,932.00,932.00,160.00,932.00,"149,120.00",3,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",932.00,01_29_2022
SBD87,50.61,932.00,932.00,932.00,932.00,932.00,200.00,932.00,"186,400.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",932.00,02_01_2022
SBD87,48.85,932.00,932.00,932.00,932.00,932.00,200.00,932.00,"186,400.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",932.00,02_02_2022
SBD87,48.79,914.00,914.00,914.00,914.00,914.00,25.00,932.00,"22,850.00",1,-18.00,0.00,-1.93,0.00,0.00,-,-,"1,010.00",914.00,02_03_2022
SBD87,40.33,914.00,914.00,914.00,914.00,914.00,25.00,932.00,"22,850.00",1,-18.00,0.00,-1.93,0.00,0.00,-,-,"1,010.00",914.00,02_04_2022
SBD87,40.33,914.00,914.00,914.00,914.00,914.00,25.00,932.00,"22,850.00",1,-18.00,0.00,-1.93,0.00,0.00,-,-,"1,010.00",914.00,02_05_2022
SBD87,40.18,914.00,914.00,914.00,914.00,914.00,25.00,914.00,"22,850.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,010.00",914.00,02_06_2022
SBD87,43.47,900.00,900.00,885.10,900.00,895.03,75.00,914.00,"67,127.50",3,-14.00,14.90,-1.53,1.68,0.55,-,-,"1,010.00",885.10,02_08_2022
SBD87,45.65,887.10,887.10,887.10,887.10,887.10,25.00,900.00,"22,177.50",1,-12.90,0.00,-1.43,0.00,0.00,-,-,"1,010.00",885.10,02_10_2022
SBD87,38.03,887.10,887.10,887.10,887.10,887.10,25.00,900.00,"22,177.50",1,-12.90,0.00,-1.43,0.00,0.00,-,-,"1,010.00",885.10,02_11_2022
SBD87,38.03,887.10,887.10,887.10,887.10,887.10,25.00,900.00,"22,177.50",1,-12.90,0.00,-1.43,0.00,0.00,-,-,"1,010.00",885.10,02_12_2022
SBD87,33.45,874.00,874.00,873.10,873.10,873.64,50.00,887.10,"43,682.00",2,-14.00,0.90,-1.58,0.10,-0.06,-,-,"1,010.00",873.10,02_17_2022
SBD87,40.26,874.00,874.00,873.10,873.10,873.64,50.00,887.10,"43,682.00",2,-14.00,0.90,-1.58,0.10,-0.06,-,-,"1,010.00",873.10,02_18_2022
SBD87,40.26,874.00,874.00,873.10,873.10,873.64,50.00,887.10,"43,682.00",2,-14.00,0.90,-1.58,0.10,-0.06,-,-,"1,010.00",873.10,02_19_2022
SBD87,37.93,874.00,874.00,874.00,874.00,874.00,50.00,873.10,"43,700.00",2,0.90,0.00,0.10,0.00,0.00,-,-,"1,010.00",873.10,02_21_2022
SBD87,40.92,874.00,874.00,870.50,870.50,871.28,100.00,874.00,"87,128.00",7,-3.50,3.50,-0.40,0.40,-0.09,-,-,"1,010.00",870.50,02_23_2022
SBD87,43.06,870.10,870.10,870.00,870.00,870.05,30.00,870.50,"26,101.50",2,-0.50,0.10,-0.06,0.01,-0.01,-,-,"1,010.00",870.00,02_24_2022
SBD87,40.13,870.10,870.10,870.00,870.00,870.05,30.00,870.50,"26,101.50",2,-0.50,0.10,-0.06,0.01,-0.01,-,-,"1,010.00",870.00,02_25_2022
SBD87,40.13,870.10,870.10,870.00,870.00,870.05,30.00,870.50,"26,101.50",2,-0.50,0.10,-0.06,0.01,-0.01,-,-,"1,010.00",870.00,02_26_2022
SBD87,39.98,870.00,870.00,870.00,870.00,870.00,25.00,870.00,"21,750.00",1,0.00,0.00,0.00,0.00,0.00,972.23,-,"1,010.00",870.00,03_02_2022
SBD87,41.44,870.00,870.00,870.00,870.00,870.00,25.00,870.00,"21,750.00",1,0.00,0.00,0.00,0.00,0.00,972.23,-,"1,010.00",870.00,03_03_2022
SBD87,41.44,870.00,870.00,870.00,870.00,870.00,25.00,870.00,"21,750.00",1,0.00,0.00,0.00,0.00,0.00,972.23,-,"1,010.00",870.00,03_04_2022
