Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SBI,54.38,392.00,393.00,380.00,383.00,385.20,"46,379.00",386.00,"17,865,404.30",280,-3.00,13.00,-0.78,3.42,-0.58,412.20,418.05,491.00,380.00,09_01_2021
SBI,63.25,359.90,365.00,355.00,356.00,359.76,"25,974.00",353.00,"9,344,336.50",127,3.00,10.00,0.85,2.82,-1.06,396.45,403.33,491.00,331.30,11_03_2021
SBI,67.16,359.90,365.00,355.00,356.00,359.76,"25,974.00",353.00,"9,344,336.50",127,3.00,10.00,0.85,2.82,-1.06,396.45,403.33,491.00,331.30,11_05_2021
SBI,67.16,359.90,365.00,355.00,356.00,359.76,"25,974.00",353.00,"9,344,336.50",127,3.00,10.00,0.85,2.82,-1.06,396.45,403.33,491.00,331.30,11_06_2021
SBI,67.16,359.90,365.00,355.00,356.00,359.76,"25,974.00",353.00,"9,344,336.50",127,3.00,10.00,0.85,2.82,-1.06,396.45,403.33,491.00,331.30,11_07_2021
SBI,67.95,360.00,364.60,353.10,359.00,359.13,"24,684.00",356.00,"8,864,647.40",103,3.00,11.50,0.84,3.26,-0.03,396.17,402.98,491.00,331.30,11_08_2021
SBI,68.88,359.00,362.00,353.60,359.00,356.85,"42,664.00",359.00,"15,224,645.50",128,0.00,8.40,0.00,2.38,0.60,395.86,402.63,491.00,331.30,11_09_2021
SBI,63.93,359.00,362.00,353.60,359.00,356.85,"42,664.00",359.00,"15,224,645.50",128,0.00,8.40,0.00,2.38,0.60,395.86,402.63,491.00,331.30,11_10_2021
SBI,61.88,353.00,355.00,348.10,348.10,351.96,"26,504.00",359.00,"9,328,321.50",77,-10.90,6.90,-3.04,1.98,-1.11,395.46,402.19,491.00,331.30,11_11_2021
SBI,46.67,353.00,355.00,348.10,348.10,351.96,"26,504.00",359.00,"9,328,321.50",77,-10.90,6.90,-3.04,1.98,-1.11,395.46,402.19,491.00,331.30,11_12_2021
SBI,46.67,353.00,355.00,348.10,348.10,351.96,"26,504.00",359.00,"9,328,321.50",77,-10.90,6.90,-3.04,1.98,-1.11,395.46,402.19,491.00,331.30,11_13_2021
SBI,44.62,348.00,362.10,344.10,352.00,347.44,"9,700.00",348.10,"3,370,155.80",67,3.90,18.00,1.12,5.23,1.30,395.10,401.74,491.00,331.30,11_14_2021
SBI,42.00,355.00,355.00,348.00,354.00,350.19,"6,509.00",352.00,"2,279,409.20",53,2.00,7.00,0.57,2.01,1.08,394.74,401.30,491.00,331.30,11_15_2021
SBI,41.38,351.00,360.40,347.00,360.00,354.76,"23,596.00",354.00,"8,370,857.00",130,6.00,13.40,1.69,3.86,1.46,394.44,400.88,491.00,331.30,11_16_2021
SBI,54.50,360.00,360.00,353.10,356.00,357.03,"13,158.00",360.00,"4,697,775.60",88,-4.00,6.90,-1.11,1.95,-0.29,394.08,400.47,491.00,331.30,11_17_2021
SBI,58.51,356.00,357.00,350.00,353.70,352.15,"8,715.00",356.00,"3,068,972.30",58,-2.30,7.00,-0.65,2.00,0.44,393.70,400.03,491.00,331.30,11_18_2021
SBI,52.45,356.00,357.00,350.00,353.70,352.15,"8,715.00",356.00,"3,068,972.30",58,-2.30,7.00,-0.65,2.00,0.44,393.70,400.03,491.00,331.30,11_19_2021
SBI,52.45,356.00,357.00,350.00,353.70,352.15,"8,715.00",356.00,"3,068,972.30",58,-2.30,7.00,-0.65,2.00,0.44,393.70,400.03,491.00,331.30,11_20_2021
SBI,47.75,352.00,357.00,351.00,352.50,353.51,"8,971.00",353.70,"3,171,294.50",57,-1.20,6.00,-0.34,1.71,-0.29,393.30,399.58,491.00,331.30,11_21_2021
