Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SBIBD86,41.82,"1,045.00","1,050.00","1,045.00","1,050.00","1,047.30",355.00,"1,045.00","371,790.00",3,5.00,5.00,0.48,0.48,0.26,-,-,"1,071.00","1,000.00",09_01_2021
SBIBD86,45.36,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",35.00,"1,025.00","35,875.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,071.00","1,011.00",11_08_2021
SBIBD86,40.69,"1,005.00","1,005.00","1,001.00","1,001.00","1,003.89",90.00,"1,025.00","90,350.00",3,-24.00,4.00,-2.34,0.40,-0.29,-,-,"1,071.00","1,001.00",11_16_2021
SBIBD86,46.65,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,001.00","50,500.00",1,9.00,0.00,0.90,0.00,0.00,-,-,"1,071.00","1,001.00",11_25_2021
SBIBD86,45.88,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,001.00","50,500.00",1,9.00,0.00,0.90,0.00,0.00,-,-,"1,071.00","1,001.00",11_26_2021
SBIBD86,45.88,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,001.00","50,500.00",1,9.00,0.00,0.90,0.00,0.00,-,-,"1,071.00","1,001.00",11_27_2021
SBIBD86,36.73,990.00,990.00,990.00,990.00,990.00,25.00,"1,010.00","24,750.00",1,-20.00,0.00,-1.98,0.00,0.00,-,-,"1,071.00",990.00,12_09_2021
SBIBD86,30.39,990.00,990.00,990.00,990.00,990.00,25.00,"1,010.00","24,750.00",1,-20.00,0.00,-1.98,0.00,0.00,-,-,"1,071.00",990.00,12_10_2021
SBIBD86,30.39,990.00,990.00,990.00,990.00,990.00,25.00,"1,010.00","24,750.00",1,-20.00,0.00,-1.98,0.00,0.00,-,-,"1,071.00",990.00,12_11_2021
SBIBD86,31.91,"1,000.00","1,010.00","1,000.00","1,010.00","1,002.73",550.00,990.00,"551,500.00",2,20.00,10.00,2.02,1.00,0.72,-,-,"1,071.00",990.00,12_27_2021
SBIBD86,43.65,"1,021.00","1,025.00","1,021.00","1,025.00","1,024.08",390.00,"1,010.00","399,390.00",2,15.00,4.00,1.49,0.39,0.09,-,-,"1,068.00",990.00,12_28_2021
SBIBD86,60.45,"1,004.50","1,024.50","1,004.50","1,024.50","1,021.89",230.00,"1,025.00","235,035.00",2,-0.50,20.00,-0.05,1.99,0.25,-,-,"1,068.00",990.00,01_06_2022
SBIBD86,58.46,"1,004.50","1,024.50","1,004.50","1,024.50","1,021.89",230.00,"1,025.00","235,035.00",2,-0.50,20.00,-0.05,1.99,0.25,-,-,"1,068.00",990.00,01_07_2022
SBIBD86,58.46,"1,004.50","1,024.50","1,004.50","1,024.50","1,021.89",230.00,"1,025.00","235,035.00",2,-0.50,20.00,-0.05,1.99,0.25,-,-,"1,068.00",990.00,01_08_2022
SBIBD86,58.94,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",20.00,"1,024.50","20,200.00",1,-14.50,0.00,-1.42,0.00,0.00,"1,043.35",-,"1,068.00",990.00,01_09_2022
SBIBD86,55.33,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",20.00,"1,010.00","20,200.00",1,0.00,0.00,0.00,0.00,0.00,"1,043.26",-,"1,068.00",990.00,01_10_2022
SBIBD86,59.84,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",620.00,"1,010.00","620,000.00",2,-10.00,0.00,-0.99,0.00,0.00,"1,042.85",-,"1,068.00",990.00,01_19_2022
SBIBD86,60.01,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,"1,042.60",-,"1,068.00",990.00,01_23_2022
SBIBD86,44.29,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",125.00,"1,000.00","125,000.00",2,0.00,0.00,0.00,0.00,0.00,"1,042.48",-,"1,068.00",990.00,01_30_2022
SBIBD86,50.48,980.00,980.00,962.50,962.50,974.17,75.00,"1,000.00","73,062.50",2,-37.50,17.50,-3.75,1.82,-1.21,"1,042.04",-,"1,068.00",962.50,02_09_2022
SBIBD86,39.05,945.00,945.00,943.30,943.30,944.15,50.00,962.50,"47,207.50",2,-19.20,1.70,-1.99,0.18,-0.09,"1,041.57",-,"1,068.00",943.30,02_14_2022
SBIBD86,34.72,940.00,940.00,940.00,940.00,940.00,25.00,943.30,"23,500.00",1,-3.30,0.00,-0.35,0.00,0.00,"1,040.91",-,"1,068.00",940.00,02_20_2022
SBIBD86,35.10,940.00,940.00,940.00,940.00,940.00,50.00,940.00,"47,000.00",1,0.00,0.00,0.00,0.00,0.00,"1,040.29",-,"1,068.00",940.00,03_22_2022
