Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SBID83,0.00,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",10.00,0.00,"10,000.00",1,"1,000.00",0.00,0.00,0.00,0.00,-,-,"1,000.00","1,000.00",10_16_2022
SBID83,34.90,980.00,980.00,980.00,980.00,980.00,10.00,"1,000.00","9,800.00",1,-20.00,0.00,-2.00,0.00,0.00,-,-,"1,000.00",980.00,10_20_2022
SBID83,27.47,980.00,980.00,980.00,980.00,980.00,10.00,"1,000.00","9,800.00",1,-20.00,0.00,-2.00,0.00,0.00,-,-,"1,000.00",980.00,10_21_2022
SBID83,27.47,980.00,980.00,980.00,980.00,980.00,10.00,"1,000.00","9,800.00",1,-20.00,0.00,-2.00,0.00,0.00,-,-,"1,000.00",980.00,10_22_2022
SBID83,29.30,960.40,960.40,960.40,960.40,960.40,100.00,980.00,"96,040.00",1,-19.60,0.00,-2.00,0.00,0.00,-,-,"1,000.00",960.40,11_02_2022
SBID83,37.83,941.20,941.20,920.00,922.40,928.27,150.00,960.40,"139,240.00",4,-38.00,21.20,-3.96,2.30,-0.64,-,-,"1,000.00",920.00,11_28_2022
SBID83,39.28,915.00,915.00,897.10,900.00,900.24,955.00,922.40,"859,732.50",5,-22.40,17.90,-2.43,2.00,-0.03,-,-,"1,000.00",897.10,11_29_2022
SBID83,37.44,900.00,900.00,895.20,896.00,896.53,150.00,900.00,"134,480.00",4,-4.00,4.80,-0.44,0.54,-0.06,-,-,"1,000.00",895.20,11_30_2022
SBID83,30.86,891.00,891.00,891.00,891.00,891.00,25.00,896.00,"22,275.00",1,-5.00,0.00,-0.56,0.00,0.00,-,-,"1,000.00",891.00,12_01_2022
SBID83,30.19,891.00,891.00,891.00,891.00,891.00,25.00,896.00,"22,275.00",1,-5.00,0.00,-0.56,0.00,0.00,-,-,"1,000.00",891.00,12_02_2022
SBID83,30.19,891.00,891.00,891.00,891.00,891.00,25.00,896.00,"22,275.00",1,-5.00,0.00,-0.56,0.00,0.00,-,-,"1,000.00",891.00,12_03_2022
SBID83,31.57,893.00,893.00,893.00,893.00,893.00,10.00,891.00,"8,930.00",1,2.00,0.00,0.22,0.00,0.00,-,-,"1,000.00",891.00,12_05_2022
SBID83,39.34,898.00,900.00,897.00,897.10,898.50,115.00,893.00,"103,327.50",6,4.10,3.00,0.46,0.33,-0.16,-,-,"1,000.00",891.00,12_06_2022
SBID83,44.93,895.00,896.00,895.00,896.00,895.26,95.00,897.10,"85,049.50",3,-1.10,1.00,-0.12,0.11,0.08,-,-,"1,000.00",891.00,12_07_2022
SBID83,40.81,895.00,896.00,895.00,896.00,895.26,95.00,897.10,"85,049.50",3,-1.10,1.00,-0.12,0.11,0.08,-,-,"1,000.00",891.00,12_08_2022
SBID83,40.81,895.00,896.00,895.00,896.00,895.26,95.00,897.10,"85,049.50",3,-1.10,1.00,-0.12,0.11,0.08,-,-,"1,000.00",891.00,12_09_2022
SBID83,40.81,895.00,896.00,895.00,896.00,895.26,95.00,897.10,"85,049.50",3,-1.10,1.00,-0.12,0.11,0.08,-,-,"1,000.00",891.00,12_10_2022
SBID83,42.22,900.00,900.00,900.00,900.00,900.00,75.00,896.00,"67,500.00",2,4.00,0.00,0.45,0.00,0.00,-,-,"1,000.00",891.00,12_11_2022
SBID83,43.27,888.00,888.00,888.00,888.00,888.00,25.00,900.00,"22,200.00",1,-12.00,0.00,-1.33,0.00,0.00,-,-,"1,000.00",888.00,12_12_2022
SBID83,36.81,895.10,895.10,895.10,895.10,895.10,25.00,888.00,"22,377.50",1,7.10,0.00,0.80,0.00,0.00,-,-,"1,000.00",888.00,12_13_2022
SBID83,37.31,892.00,900.00,892.00,900.00,899.64,550.00,895.10,"494,800.00",4,4.90,8.00,0.55,0.90,0.04,-,-,"1,000.00",888.00,12_14_2022
SBID83,43.91,887.00,887.00,887.00,887.00,887.00,25.00,900.00,"22,175.00",1,-13.00,0.00,-1.44,0.00,0.00,-,-,"1,000.00",887.00,12_18_2022
SBID83,34.43,886.30,890.20,886.30,890.10,889.11,37.00,887.00,"32,897.20",3,3.10,3.90,0.35,0.44,0.11,-,-,"1,000.00",886.30,12_20_2022
SBID83,38.33,900.00,902.00,900.00,902.00,901.60,500.00,890.10,"450,800.00",2,11.90,2.00,1.34,0.22,0.04,-,-,"1,000.00",886.30,12_21_2022
SBID83,46.30,903.00,903.00,903.00,903.00,903.00,25.00,902.00,"22,575.00",1,1.00,0.00,0.11,0.00,0.00,-,-,"1,000.00",886.30,12_26_2022
SBID83,44.15,910.00,925.00,910.00,925.00,920.00,30.00,903.00,"27,600.00",2,22.00,15.00,2.44,1.65,0.54,-,-,"1,000.00",886.30,12_28_2022
SBID83,51.26,910.00,910.00,900.00,900.00,904.19,100.00,925.00,"90,419.00",4,-25.00,10.00,-2.70,1.11,-0.47,-,-,"1,000.00",886.30,01_05_2023
SBID83,53.94,910.00,910.00,900.00,900.00,904.19,100.00,925.00,"90,419.00",4,-25.00,10.00,-2.70,1.11,-0.47,-,-,"1,000.00",886.30,01_06_2023
SBID83,53.94,910.00,910.00,900.00,900.00,904.19,100.00,925.00,"90,419.00",4,-25.00,10.00,-2.70,1.11,-0.47,-,-,"1,000.00",886.30,01_07_2023
SBID83,55.14,892.00,892.00,892.00,892.00,892.00,25.00,900.00,"22,300.00",1,-8.00,0.00,-0.89,0.00,0.00,-,-,"1,000.00",886.30,01_08_2023
SBID83,47.70,909.80,910.00,909.80,910.00,909.98,110.00,892.00,"100,098.00",4,18.00,0.20,2.02,0.02,0.00,-,-,"1,000.00",886.30,01_09_2023
SBID83,55.67,891.80,891.80,891.80,891.80,891.80,10.00,910.00,"8,918.00",1,-18.20,0.00,-2.00,0.00,0.00,0.00,0.00,"1,000.00",886.30,01_17_2023
SBID83,36.40,880.10,880.10,880.00,880.00,880.05,400.00,891.80,"352,020.00",3,-11.80,0.10,-1.32,0.01,-0.01,0.00,0.00,"1,000.00",880.00,01_23_2023
