Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SBLD84,54.50,985.00,985.00,985.00,985.00,985.00,140.00,985.00,"137,900.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,020.00",978.50,09_01_2021
SBLD84,55.42,950.20,956.00,950.20,956.00,952.55,100.00,950.20,"95,255.00",4,5.80,5.80,0.61,0.61,0.36,-,-,"1,020.00",948.50,11_03_2021
SBLD84,62.09,950.20,956.00,950.20,956.00,952.55,100.00,950.20,"95,255.00",4,5.80,5.80,0.61,0.61,0.36,-,-,"1,020.00",948.50,11_05_2021
SBLD84,62.09,950.20,956.00,950.20,956.00,952.55,100.00,950.20,"95,255.00",4,5.80,5.80,0.61,0.61,0.36,-,-,"1,020.00",948.50,11_06_2021
SBLD84,62.09,950.20,956.00,950.20,956.00,952.55,100.00,950.20,"95,255.00",4,5.80,5.80,0.61,0.61,0.36,-,-,"1,020.00",948.50,11_07_2021
SBLD84,62.87,951.20,951.20,951.20,951.20,951.20,25.00,956.00,"23,780.00",1,-4.80,0.00,-0.50,0.00,0.00,-,-,"1,020.00",948.50,11_08_2021
SBLD84,53.58,948.10,948.10,948.10,948.10,948.10,25.00,951.20,"23,702.50",1,-3.10,0.00,-0.33,0.00,0.00,-,-,"1,020.00",948.10,11_18_2021
SBLD84,54.13,948.10,948.10,948.10,948.10,948.10,25.00,951.20,"23,702.50",1,-3.10,0.00,-0.33,0.00,0.00,-,-,"1,020.00",948.10,11_19_2021
SBLD84,54.13,948.10,948.10,948.10,948.10,948.10,25.00,951.20,"23,702.50",1,-3.10,0.00,-0.33,0.00,0.00,-,-,"1,020.00",948.10,11_20_2021
SBLD84,50.88,948.00,948.00,947.00,947.50,947.50,75.00,948.10,"71,062.50",3,-0.60,1.00,-0.06,0.11,0.00,-,-,"1,020.00",947.00,11_28_2021
SBLD84,50.23,947.50,947.50,947.50,947.50,947.50,150.00,947.50,"142,125.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,020.00",947.00,12_07_2021
SBLD84,42.49,941.10,947.00,941.10,947.00,944.32,55.00,947.50,"51,937.50",2,-0.50,5.90,-0.05,0.63,0.28,-,-,"1,020.00",941.10,12_13_2021
SBLD84,42.40,960.60,960.60,960.60,960.60,960.60,50.00,947.00,"48,030.00",2,13.60,0.00,1.44,0.00,0.00,-,-,"1,020.00",941.10,12_16_2021
SBLD84,49.67,960.60,960.60,960.60,960.60,960.60,50.00,947.00,"48,030.00",2,13.60,0.00,1.44,0.00,0.00,-,-,"1,020.00",941.10,12_17_2021
SBLD84,49.67,960.60,960.60,960.60,960.60,960.60,50.00,947.00,"48,030.00",2,13.60,0.00,1.44,0.00,0.00,-,-,"1,020.00",941.10,12_18_2021
SBLD84,49.67,960.60,960.60,960.60,960.60,960.60,50.00,947.00,"48,030.00",2,13.60,0.00,1.44,0.00,0.00,-,-,"1,020.00",941.10,12_19_2021
SBLD84,56.71,942.00,942.00,942.00,942.00,942.00,30.00,960.60,"28,260.00",1,-18.60,0.00,-1.94,0.00,0.00,-,-,"1,020.00",941.10,01_06_2022
SBLD84,49.19,942.00,942.00,942.00,942.00,942.00,30.00,960.60,"28,260.00",1,-18.60,0.00,-1.94,0.00,0.00,-,-,"1,020.00",941.10,01_07_2022
SBLD84,49.19,942.00,942.00,942.00,942.00,942.00,30.00,960.60,"28,260.00",1,-18.60,0.00,-1.94,0.00,0.00,-,-,"1,020.00",941.10,01_08_2022
SBLD84,53.19,960.80,960.80,960.80,960.80,960.80,25.00,942.00,"24,020.00",1,18.80,0.00,2.00,0.00,0.00,-,-,"1,020.00",941.10,01_11_2022
SBLD84,65.20,950.00,950.00,940.00,940.00,946.67,300.00,960.80,"284,000.00",2,-20.80,10.00,-2.16,1.06,-0.71,-,-,"1,020.00",940.00,01_24_2022
SBLD84,63.79,925.00,925.00,925.00,925.00,925.00,50.00,940.00,"46,250.00",1,-15.00,0.00,-1.60,0.00,0.00,-,-,"1,020.00",925.00,01_25_2022
SBLD84,47.23,910.00,910.00,910.00,910.00,910.00,25.00,925.00,"22,750.00",1,-15.00,0.00,-1.62,0.00,0.00,-,-,"1,020.00",910.00,01_26_2022
SBLD84,43.21,895.00,895.00,895.00,895.00,895.00,50.00,910.00,"44,750.00",1,-15.00,0.00,-1.65,0.00,0.00,-,-,"1,020.00",895.00,02_08_2022
SBLD84,36.60,872.30,872.30,872.30,872.30,872.30,25.00,877.50,"21,807.50",1,-5.20,0.00,-0.59,0.00,0.00,-,-,"1,020.00",872.30,02_15_2022
SBLD84,39.22,889.70,889.70,889.70,889.70,889.70,75.00,872.30,"66,727.50",1,17.40,0.00,1.99,0.00,0.00,-,-,"1,020.00",872.30,02_16_2022
SBLD84,40.18,888.90,888.90,888.90,888.90,888.90,25.00,889.70,"22,222.50",1,-0.80,0.00,-0.09,0.00,0.00,-,-,"1,020.00",872.30,04_12_2022
SBLD84,40.06,890.00,890.00,890.00,890.00,890.00,25.00,888.90,"22,250.00",1,1.10,0.00,0.12,0.00,0.00,-,-,"1,020.00",872.30,04_17_2022
SBLD84,41.63,872.20,872.20,872.20,872.20,872.20,75.00,890.00,"65,415.00",1,-17.80,0.00,-2.00,0.00,0.00,-,-,"1,020.00",872.20,04_19_2022
SBLD84,43.12,889.40,889.50,889.40,889.50,889.45,50.00,872.20,"44,472.50",2,17.30,0.10,1.98,0.01,0.01,-,-,"1,020.00",872.20,04_20_2022
SBLD84,40.09,871.80,871.80,871.80,871.80,871.80,25.00,889.50,"21,795.00",1,-17.70,0.00,-1.99,0.00,0.00,-,-,"1,020.00",871.80,04_21_2022
SBLD84,34.45,871.80,871.80,871.80,871.80,871.80,25.00,889.50,"21,795.00",1,-17.70,0.00,-1.99,0.00,0.00,-,-,"1,020.00",871.80,04_22_2022
SBLD84,34.45,871.80,871.80,871.80,871.80,871.80,25.00,889.50,"21,795.00",1,-17.70,0.00,-1.99,0.00,0.00,-,-,"1,020.00",871.80,04_23_2022
SBLD84,34.41,889.00,889.20,889.00,889.20,889.10,50.00,871.80,"44,455.00",2,17.40,0.20,2.00,0.02,0.01,-,-,"1,020.00",871.80,04_25_2022
SBLD84,40.55,871.50,871.50,871.50,871.50,871.50,25.00,889.20,"21,787.50",1,-17.70,0.00,-1.99,0.00,0.00,-,-,"1,020.00",871.50,05_04_2022
SBLD84,38.78,888.80,888.90,888.80,888.90,888.85,50.00,871.50,"44,442.50",2,17.40,0.10,2.00,0.01,0.01,-,-,"1,020.00",871.50,05_12_2022
SBLD84,41.37,888.80,888.90,888.80,888.90,888.85,50.00,871.50,"44,442.50",2,17.40,0.10,2.00,0.01,0.01,-,-,"1,020.00",871.50,05_13_2022
SBLD84,41.37,888.80,888.90,888.80,888.90,888.85,50.00,871.50,"44,442.50",2,17.40,0.10,2.00,0.01,0.01,-,-,"1,020.00",871.50,05_14_2022
SBLD84,41.37,888.80,888.90,888.80,888.90,888.85,50.00,871.50,"44,442.50",2,17.40,0.10,2.00,0.01,0.01,-,-,"1,020.00",871.50,05_15_2022
SBLD84,41.37,888.80,888.90,888.80,888.90,888.85,50.00,871.50,"44,442.50",2,17.40,0.10,2.00,0.01,0.01,-,-,"1,020.00",871.50,05_16_2022
SBLD84,39.96,872.00,872.00,872.00,872.00,872.00,100.00,888.90,"87,200.00",1,-16.90,0.00,-1.90,0.00,0.00,-,-,"1,020.00",871.50,05_30_2022
SBLD84,33.51,865.00,865.00,865.00,865.00,865.00,20.00,860.00,"17,300.00",1,5.00,0.00,0.58,0.00,0.00,-,-,"1,007.00",860.00,07_12_2022
SBLD84,39.07,847.70,847.70,847.70,847.70,847.70,14.00,865.00,"11,867.80",1,-17.30,0.00,-2.00,0.00,0.00,-,-,"1,003.00",847.70,07_21_2022
SBLD84,32.96,830.80,831.00,830.80,831.00,830.82,600.00,847.70,"498,490.00",3,-16.70,0.20,-1.97,0.02,0.02,-,-,"1,003.00",830.80,07_27_2022
