Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SBLPO,59.26,275.00,275.00,275.00,275.00,275.00,"14,000.00",265.00,"3,850,000.00",1,10.00,0.00,3.77,0.00,0.00,-,-,275.00,190.00,11_15_2021
SBLPO,44.07,275.00,275.00,275.00,275.00,275.00,"100,000.00",275.00,"27,500,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,12_14_2021
SBLPO,37.71,275.00,275.00,275.00,275.00,275.00,"100,000.00",275.00,"27,500,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,12_20_2021
SBLPO,43.90,270.00,270.00,270.00,270.00,270.00,"4,362.00",275.00,"1,177,740.00",1,-5.00,0.00,-1.82,0.00,0.00,-,-,275.00,190.00,12_23_2021
SBLPO,36.53,270.00,270.00,270.00,270.00,270.00,"4,362.00",275.00,"1,177,740.00",1,-5.00,0.00,-1.82,0.00,0.00,-,-,275.00,190.00,12_24_2021
SBLPO,36.53,270.00,270.00,270.00,270.00,270.00,"4,362.00",275.00,"1,177,740.00",1,-5.00,0.00,-1.82,0.00,0.00,-,-,275.00,190.00,12_25_2021
SBLPO,35.40,270.00,270.00,270.00,270.00,270.00,"100,000.00",270.00,"27,000,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,12_27_2021
SBLPO,56.56,270.00,270.00,270.00,270.00,270.00,"54,213.00",270.00,"14,637,510.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,01_20_2022
SBLPO,54.25,270.00,270.00,270.00,270.00,270.00,"54,213.00",270.00,"14,637,510.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,01_21_2022
SBLPO,54.25,270.00,270.00,270.00,270.00,270.00,"54,213.00",270.00,"14,637,510.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,01_22_2022
SBLPO,49.97,270.00,270.00,270.00,270.00,270.00,"50,000.00",270.00,"13,500,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,02_10_2022
SBLPO,47.11,270.00,270.00,270.00,270.00,270.00,"50,000.00",270.00,"13,500,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,02_11_2022
SBLPO,47.11,270.00,270.00,270.00,270.00,270.00,"50,000.00",270.00,"13,500,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,02_12_2022
SBLPO,38.06,270.00,270.00,270.00,270.00,270.00,"11,348.00",270.00,"3,063,960.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,03_07_2022
SBLPO,31.82,270.00,270.00,270.00,270.00,270.00,"11,348.00",270.00,"3,063,960.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,190.00,03_08_2022
SBLPO,28.42,270.00,270.00,270.00,270.00,270.00,"56,739.00",270.00,"15,319,530.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,264.60,04_28_2022
SBLPO,33.90,270.00,270.00,270.00,270.00,270.00,"56,739.00",270.00,"15,319,530.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,264.60,04_29_2022
SBLPO,33.90,270.00,270.00,270.00,270.00,270.00,"56,739.00",270.00,"15,319,530.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,264.60,04_30_2022
SBLPO,33.90,270.00,270.00,270.00,270.00,270.00,"56,739.00",270.00,"15,319,530.00",1,0.00,0.00,0.00,0.00,0.00,-,-,275.00,264.60,05_01_2022
SBLPO,35.00,193.00,193.00,193.00,193.00,193.00,"150,000.00",193.00,"28,950,000.00",4,0.00,0.00,0.00,0.00,0.00,-,-,275.00,193.00,08_07_2022
