Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SCB,55.76,559.10,564.00,557.00,559.90,560.15,"26,719.00",559.00,"14,966,620.60",270,0.90,7.00,0.16,1.26,-0.04,594.35,610.24,730.00,552.00,09_01_2021
SCB,52.77,547.00,547.00,536.10,537.00,537.87,"14,381.00",538.00,"7,735,121.00",105,-1.00,10.90,-0.19,2.03,-0.16,574.36,585.33,730.00,515.00,11_03_2021
SCB,60.91,547.00,547.00,536.10,537.00,537.87,"14,381.00",538.00,"7,735,121.00",105,-1.00,10.90,-0.19,2.03,-0.16,574.36,585.33,730.00,515.00,11_05_2021
SCB,60.91,547.00,547.00,536.10,537.00,537.87,"14,381.00",538.00,"7,735,121.00",105,-1.00,10.90,-0.19,2.03,-0.16,574.36,585.33,730.00,515.00,11_06_2021
SCB,60.91,547.00,547.00,536.10,537.00,537.87,"14,381.00",538.00,"7,735,121.00",105,-1.00,10.90,-0.19,2.03,-0.16,574.36,585.33,730.00,515.00,11_07_2021
SCB,61.70,547.70,558.00,530.00,535.00,538.05,"7,622.00",537.00,"4,100,985.50",90,-2.00,28.00,-0.37,5.28,-0.57,574.03,584.83,730.00,515.00,11_08_2021
SCB,58.99,545.00,545.00,529.10,534.00,531.34,"9,439.00",535.00,"5,015,274.90",118,-1.00,15.90,-0.19,3.01,0.50,573.69,584.34,730.00,515.00,11_09_2021
SCB,50.07,545.00,545.00,529.10,534.00,531.34,"9,439.00",535.00,"5,015,274.90",118,-1.00,15.90,-0.19,3.01,0.50,573.69,584.34,730.00,515.00,11_10_2021
SCB,48.02,538.00,538.00,520.00,525.00,523.99,"7,607.00",534.00,"3,985,960.10",126,-9.00,18.00,-1.69,3.46,0.19,573.26,583.76,730.00,515.00,11_11_2021
SCB,43.10,538.00,538.00,520.00,525.00,523.99,"7,607.00",534.00,"3,985,960.10",126,-9.00,18.00,-1.69,3.46,0.19,573.26,583.76,730.00,515.00,11_12_2021
SCB,43.10,538.00,538.00,520.00,525.00,523.99,"7,607.00",534.00,"3,985,960.10",126,-9.00,18.00,-1.69,3.46,0.19,573.26,583.76,730.00,515.00,11_13_2021
SCB,41.05,524.10,524.10,514.50,518.00,518.42,"22,521.00",525.00,"11,675,319.60",203,-7.00,9.60,-1.33,1.87,-0.08,572.73,583.16,730.00,514.50,11_14_2021
SCB,47.09,507.80,525.00,507.80,520.00,518.63,"9,612.00",518.00,"4,985,025.00",111,2.00,17.20,0.39,3.39,0.26,572.24,582.57,730.00,507.80,11_15_2021
SCB,44.01,520.00,530.00,518.20,528.00,523.51,"11,875.00",520.00,"6,216,695.30",165,8.00,11.80,1.54,2.28,0.85,571.84,582.02,730.00,507.80,11_16_2021
SCB,44.32,535.00,535.00,525.00,525.00,529.01,"12,407.00",528.00,"6,563,471.50",143,-3.00,10.00,-0.57,1.90,-0.76,571.38,581.48,730.00,507.80,11_17_2021
SCB,57.15,530.00,535.00,517.00,520.00,522.04,"9,848.00",525.00,"5,141,033.10",141,-5.00,18.00,-0.95,3.48,-0.39,570.84,580.81,730.00,507.80,11_18_2021
SCB,59.54,530.00,535.00,517.00,520.00,522.04,"9,848.00",525.00,"5,141,033.10",141,-5.00,18.00,-0.95,3.48,-0.39,570.84,580.81,730.00,507.80,11_19_2021
SCB,59.54,530.00,535.00,517.00,520.00,522.04,"9,848.00",525.00,"5,141,033.10",141,-5.00,18.00,-0.95,3.48,-0.39,570.84,580.81,730.00,507.80,11_20_2021
SCB,54.84,530.00,530.00,520.00,525.00,524.25,"11,567.00",520.00,"6,063,967.80",158,5.00,10.00,0.96,1.92,0.14,570.27,580.19,730.00,507.80,11_21_2021
SCB,57.91,529.00,530.00,524.00,527.00,526.45,"11,595.00",525.00,"6,104,241.60",161,2.00,6.00,0.38,1.15,0.10,569.67,579.59,730.00,507.80,11_22_2021
SCB,50.64,525.00,527.00,523.10,525.00,525.00,"13,563.00",527.00,"7,120,607.70",117,-2.00,3.90,-0.38,0.75,0.00,569.05,578.93,730.00,507.80,11_23_2021
SCB,47.45,522.00,528.00,522.00,523.40,523.86,"21,727.00",525.00,"11,381,849.90",114,-1.60,6.00,-0.30,1.15,-0.09,568.37,578.21,730.00,507.80,11_24_2021
SCB,63.84,521.00,535.50,520.00,535.10,527.78,"36,086.00",523.40,"19,045,299.50",307,11.70,15.50,2.24,2.98,1.37,567.75,577.62,730.00,507.80,11_25_2021
SCB,65.56,521.00,535.50,520.00,535.10,527.78,"36,086.00",523.40,"19,045,299.50",307,11.70,15.50,2.24,2.98,1.37,567.75,577.62,730.00,507.80,11_26_2021
SCB,65.56,521.00,535.50,520.00,535.10,527.78,"36,086.00",523.40,"19,045,299.50",307,11.70,15.50,2.24,2.98,1.37,567.75,577.62,730.00,507.80,11_27_2021
SCB,62.66,476.80,485.00,464.60,476.20,475.50,"34,180.00",486.45,"16,252,477.90",318,-10.25,20.40,-2.11,4.39,0.15,566.69,576.76,730.00,464.60,11_28_2021
SCB,46.10,466.70,476.00,464.00,471.10,468.41,"26,953.00",476.20,"12,625,125.40",199,-5.10,12.00,-1.07,2.59,0.57,565.62,575.87,730.00,464.00,11_29_2021
SCB,43.31,462.00,472.00,462.00,463.00,464.95,"7,677.00",471.10,"3,569,431.00",108,-8.10,10.00,-1.72,2.16,-0.42,564.50,574.96,730.00,462.00,11_30_2021
SCB,38.57,463.00,470.00,463.00,463.10,465.48,"10,757.00",463.00,"5,007,173.40",103,0.10,7.00,0.02,1.51,-0.51,563.42,574.10,701.00,462.00,12_01_2021
SCB,39.59,453.90,469.90,453.90,460.50,461.35,"6,102.00",463.10,"2,815,173.70",83,-2.60,16.00,-0.56,3.53,-0.19,562.32,573.24,701.00,453.90,12_02_2021
SCB,44.58,453.90,469.90,453.90,460.50,461.35,"6,102.00",463.10,"2,815,173.70",83,-2.60,16.00,-0.56,3.53,-0.19,562.32,573.24,701.00,453.90,12_03_2021
SCB,44.58,453.90,469.90,453.90,460.50,461.35,"6,102.00",463.10,"2,815,173.70",83,-2.60,16.00,-0.56,3.53,-0.19,562.32,573.24,701.00,453.90,12_04_2021
SCB,43.68,457.00,465.90,442.00,448.00,449.73,"13,840.00",460.50,"6,224,281.00",158,-12.50,23.90,-2.71,5.41,-0.39,561.13,572.34,701.00,442.00,12_05_2021
SCB,43.07,455.00,455.00,435.00,442.00,440.91,"9,834.00",448.00,"4,335,918.40",124,-6.00,20.00,-1.34,4.60,0.25,559.84,571.47,701.00,435.00,12_06_2021
SCB,43.35,449.00,450.00,441.10,442.20,444.83,"10,254.00",442.00,"4,561,317.40",91,0.20,8.90,0.05,2.02,-0.60,558.43,570.55,701.00,435.00,12_07_2021
SCB,43.01,434.00,453.80,434.00,450.80,446.77,"22,437.00",442.20,"10,024,149.80",184,8.60,19.80,1.94,4.56,0.89,557.15,569.68,701.00,434.00,12_08_2021
SCB,46.99,458.00,464.80,430.00,463.00,456.29,"40,527.00",450.80,"18,492,095.20",222,12.20,34.80,2.71,8.09,1.45,555.99,568.90,701.00,430.00,12_09_2021
SCB,54.42,458.00,464.80,430.00,463.00,456.29,"40,527.00",450.80,"18,492,095.20",222,12.20,34.80,2.71,8.09,1.45,555.99,568.90,701.00,430.00,12_10_2021
