Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SDLBSL,62.62,"1,806.00","1,850.00","1,806.00","1,820.00","1,834.49","6,533.00","1,839.00","11,984,723.00",113,-19.00,44.00,-1.03,2.44,-0.80,"1,649.01","1,527.62","2,079.00",790.00,09_01_2021
SDLBSL,56.55,"1,411.00","1,420.00","1,408.00","1,410.00","1,414.55","1,081.00","1,417.20","1,529,129.20",33,-7.20,12.00,-0.51,0.85,-0.32,"1,713.94","1,629.51","2,079.00",838.00,11_03_2021
SDLBSL,53.12,"1,411.00","1,420.00","1,408.00","1,410.00","1,414.55","1,081.00","1,417.20","1,529,129.20",33,-7.20,12.00,-0.51,0.85,-0.32,"1,713.94","1,629.51","2,079.00",838.00,11_05_2021
SDLBSL,53.12,"1,411.00","1,420.00","1,408.00","1,410.00","1,414.55","1,081.00","1,417.20","1,529,129.20",33,-7.20,12.00,-0.51,0.85,-0.32,"1,713.94","1,629.51","2,079.00",838.00,11_06_2021
SDLBSL,53.12,"1,411.00","1,420.00","1,408.00","1,410.00","1,414.55","1,081.00","1,417.20","1,529,129.20",33,-7.20,12.00,-0.51,0.85,-0.32,"1,713.94","1,629.51","2,079.00",838.00,11_07_2021
SDLBSL,53.91,"1,410.00","1,428.00","1,400.00","1,403.00","1,413.63","1,055.00","1,410.00","1,491,377.00",22,-7.00,28.00,-0.50,2.00,-0.76,"1,712.20","1,629.57","2,079.00",838.00,11_08_2021
SDLBSL,54.46,"1,390.00","1,390.00","1,340.00","1,365.00","1,359.58","3,062.00","1,403.00","4,163,024.10",70,-38.00,50.00,-2.71,3.73,0.40,"1,710.41","1,628.65","2,079.00",863.00,11_09_2021
SDLBSL,55.47,"1,390.00","1,390.00","1,340.00","1,365.00","1,359.58","3,062.00","1,403.00","4,163,024.10",70,-38.00,50.00,-2.71,3.73,0.40,"1,710.41","1,628.65","2,079.00",863.00,11_10_2021
SDLBSL,53.42,"1,370.00","1,370.00","1,310.00","1,310.00","1,332.11","3,819.00","1,365.00","5,087,327.30",92,-55.00,60.00,-4.03,4.58,-1.69,"1,708.16","1,627.32","2,079.00",885.00,11_11_2021
SDLBSL,52.15,"1,370.00","1,370.00","1,310.00","1,310.00","1,332.11","3,819.00","1,365.00","5,087,327.30",92,-55.00,60.00,-4.03,4.58,-1.69,"1,708.16","1,627.32","2,079.00",885.00,11_12_2021
SDLBSL,52.15,"1,370.00","1,370.00","1,310.00","1,310.00","1,332.11","3,819.00","1,365.00","5,087,327.30",92,-55.00,60.00,-4.03,4.58,-1.69,"1,708.16","1,627.32","2,079.00",885.00,11_13_2021
SDLBSL,50.10,"1,310.00","1,336.00","1,309.00","1,325.00","1,316.16","1,688.00","1,310.00","2,221,678.40",45,15.00,27.00,1.15,2.06,0.67,"1,705.87","1,625.79","2,079.00",891.00,11_14_2021
SDLBSL,48.47,"1,349.90","1,349.90","1,306.00","1,320.00","1,317.35","2,071.00","1,325.00","2,728,237.00",57,-5.00,43.90,-0.38,3.36,0.20,"1,703.42","1,624.81","2,079.00",891.00,11_15_2021
SDLBSL,50.12,"1,340.00","1,360.00","1,315.00","1,350.00","1,348.00",631.00,"1,320.00","850,588.00",37,30.00,45.00,2.27,3.42,0.15,"1,701.23","1,624.36","2,079.00",891.00,11_16_2021
SDLBSL,48.98,"1,377.00","1,384.00","1,350.00","1,350.00","1,355.49","1,578.00","1,350.00","2,138,961.30",49,0.00,34.00,0.00,2.52,-0.41,"1,698.74","1,623.89","2,079.00",891.00,11_17_2021
SDLBSL,54.36,"1,335.00","1,358.00","1,300.00","1,358.00","1,314.74","3,826.00","1,350.00","5,030,206.50",97,8.00,58.00,0.59,4.46,3.19,"1,696.12","1,622.85","2,079.00",891.00,11_18_2021
SDLBSL,58.47,"1,335.00","1,358.00","1,300.00","1,358.00","1,314.74","3,826.00","1,350.00","5,030,206.50",97,8.00,58.00,0.59,4.46,3.19,"1,696.12","1,622.85","2,079.00",891.00,11_19_2021
SDLBSL,58.47,"1,335.00","1,358.00","1,300.00","1,358.00","1,314.74","3,826.00","1,350.00","5,030,206.50",97,8.00,58.00,0.59,4.46,3.19,"1,696.12","1,622.85","2,079.00",891.00,11_20_2021
SDLBSL,53.77,"1,375.00","1,375.00","1,315.00","1,315.20","1,326.12","1,995.00","1,358.00","2,645,608.20",50,-42.80,60.00,-3.15,4.56,-0.83,"1,692.90","1,622.10","2,079.00",897.00,11_21_2021
SDLBSL,50.51,"1,318.00","1,335.00","1,305.00","1,330.00","1,321.03","1,933.00","1,315.20","2,553,550.60",62,14.80,30.00,1.13,2.30,0.67,"1,689.83","1,621.55","2,079.00",897.00,11_22_2021
SDLBSL,47.62,"1,309.00","1,320.00","1,309.00","1,311.00","1,315.23","1,367.00","1,330.00","1,797,918.00",36,-19.00,11.00,-1.43,0.84,-0.32,"1,686.71","1,621.01","2,079.00",897.00,11_23_2021
SDLBSL,39.44,"1,311.00","1,319.00","1,297.00","1,319.00","1,306.89","2,078.00","1,311.00","2,715,713.20",42,8.00,22.00,0.61,1.70,0.92,"1,683.49","1,620.61","2,079.00",910.00,11_24_2021
SDLBSL,42.76,"1,345.00","1,345.00","1,293.00","1,298.30","1,301.34",666.00,"1,319.00","866,695.70",31,-20.70,52.00,-1.57,4.02,-0.23,"1,679.71","1,620.37","2,079.00",922.00,11_25_2021
SDLBSL,46.65,"1,345.00","1,345.00","1,293.00","1,298.30","1,301.34",666.00,"1,319.00","866,695.70",31,-20.70,52.00,-1.57,4.02,-0.23,"1,679.71","1,620.37","2,079.00",922.00,11_26_2021
SDLBSL,46.65,"1,345.00","1,345.00","1,293.00","1,298.30","1,301.34",666.00,"1,319.00","866,695.70",31,-20.70,52.00,-1.57,4.02,-0.23,"1,679.71","1,620.37","2,079.00",922.00,11_27_2021
SDLBSL,43.75,"1,276.00","1,290.00","1,265.00","1,274.00","1,277.98","1,062.00","1,298.30","1,357,215.20",47,-24.30,25.00,-1.87,1.98,-0.31,"1,674.50","1,619.96","2,079.00",987.00,11_28_2021
SDLBSL,37.78,"1,285.00","1,285.00","1,225.00","1,225.00","1,253.04","1,100.00","1,274.00","1,378,343.90",49,-49.00,60.00,-3.85,4.90,-2.29,"1,668.21","1,619.20","2,079.00",987.00,11_29_2021
SDLBSL,41.88,"1,239.00","1,254.60","1,221.00","1,235.00","1,228.56","2,096.00","1,225.00","2,575,051.70",51,10.00,33.60,0.82,2.75,0.52,"1,662.65","1,618.45","2,079.00",987.00,11_30_2021
SDLBSL,45.40,"1,221.00","1,239.00","1,221.00","1,235.00","1,229.14",552.00,"1,235.00","678,485.00",34,0.00,18.00,0.00,1.47,0.47,"1,658.01","1,617.79","2,079.00",987.00,12_01_2021
SDLBSL,41.31,"1,235.00","1,240.00","1,216.00","1,221.00","1,222.36",599.00,"1,235.00","732,193.10",31,-14.00,24.00,-1.13,1.97,-0.11,"1,653.35","1,616.61","2,079.00",987.00,12_02_2021
SDLBSL,41.84,"1,235.00","1,240.00","1,216.00","1,221.00","1,222.36",599.00,"1,235.00","732,193.10",31,-14.00,24.00,-1.13,1.97,-0.11,"1,653.35","1,616.61","2,079.00",987.00,12_03_2021
SDLBSL,41.84,"1,235.00","1,240.00","1,216.00","1,221.00","1,222.36",599.00,"1,235.00","732,193.10",31,-14.00,24.00,-1.13,1.97,-0.11,"1,653.35","1,616.61","2,079.00",987.00,12_04_2021
SDLBSL,40.94,"1,198.00","1,198.00","1,175.00","1,189.50","1,184.31","2,755.00","1,221.00","3,262,765.90",61,-31.50,23.00,-2.58,1.96,0.44,"1,648.43","1,615.73","2,079.00",987.00,12_05_2021
SDLBSL,46.93,"1,170.00","1,240.00","1,124.80","1,235.00","1,162.31","1,699.00","1,189.50","1,974,756.30",44,45.50,115.20,3.83,10.24,5.89,"1,644.22","1,614.97","2,079.00",987.00,12_06_2021
SDLBSL,49.34,"1,259.70","1,259.70","1,221.00","1,245.00","1,241.76",334.00,"1,235.00","414,746.80",16,10.00,38.70,0.81,3.17,0.26,"1,640.34","1,614.06","2,079.00","1,000.00",12_07_2021
SDLBSL,44.47,"1,245.00","1,245.00","1,176.00","1,188.00","1,197.32","1,622.00","1,245.00","1,942,049.40",47,-57.00,69.00,-4.58,5.87,-0.78,"1,636.12","1,612.98","2,079.00","1,002.00",12_08_2021
SDLBSL,43.79,"1,170.00","1,175.00","1,160.00","1,165.00","1,167.42",884.00,"1,188.00","1,031,997.90",25,-23.00,15.00,-1.94,1.29,-0.21,"1,631.75","1,612.03","2,079.00","1,002.00",12_09_2021
SDLBSL,40.70,"1,170.00","1,175.00","1,160.00","1,165.00","1,167.42",884.00,"1,188.00","1,031,997.90",25,-23.00,15.00,-1.94,1.29,-0.21,"1,631.75","1,612.03","2,079.00","1,002.00",12_10_2021
SDLBSL,40.70,"1,170.00","1,175.00","1,160.00","1,165.00","1,167.42",884.00,"1,188.00","1,031,997.90",25,-23.00,15.00,-1.94,1.29,-0.21,"1,631.75","1,612.03","2,079.00","1,002.00",12_11_2021
SDLBSL,40.05,"1,160.00","1,165.00","1,100.00","1,100.00","1,121.41","1,257.00","1,165.00","1,409,612.70",56,-65.00,65.00,-5.58,5.91,-1.95,"1,626.53","1,610.72","2,079.00","1,002.00",12_12_2021
SDLBSL,32.25,"1,100.00","1,100.00","1,026.00","1,040.60","1,047.31","2,747.00","1,100.00","2,876,951.50",76,-59.40,74.00,-5.40,7.21,-0.64,"1,620.05","1,609.25","2,079.00","1,002.00",12_13_2021
SDLBSL,34.87,"1,050.00","1,122.00","1,050.00","1,122.00","1,083.53",411.00,"1,040.60","445,330.60",16,81.40,72.00,7.82,6.86,3.43,"1,614.66","1,608.30","2,079.00","1,002.00",12_14_2021
SDLBSL,37.71,"1,144.00","1,210.00","1,144.00","1,145.00","1,173.14","1,504.00","1,122.00","1,764,409.90",54,23.00,66.00,2.05,5.77,-2.46,"1,609.70","1,607.38","2,079.00","1,002.00",12_15_2021
SDLBSL,42.90,"1,125.00","1,125.00","1,092.00","1,115.00","1,106.10",727.00,"1,145.00","804,138.00",25,-30.00,33.00,-2.62,3.02,0.80,"1,604.75","1,606.29","2,079.00","1,002.00",12_16_2021
SDLBSL,43.73,"1,125.00","1,125.00","1,092.00","1,115.00","1,106.10",727.00,"1,145.00","804,138.00",25,-30.00,33.00,-2.62,3.02,0.80,"1,604.75","1,606.29","2,079.00","1,002.00",12_17_2021
