Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SEF,52.77,11.73,11.80,11.42,11.46,11.58,"132,120.00",11.50,"1,529,401.20",29,-0.04,0.38,-0.35,3.33,-1.01,13.18,12.46,17.04,8.83,09_01_2021
SEF,58.21,11.00,11.22,10.87,11.02,10.99,"31,200.00",10.89,"343,013.00",14,0.13,0.35,1.19,3.22,0.24,12.75,12.46,17.04,9.52,11_03_2021
SEF,56.34,11.00,11.22,10.87,11.02,10.99,"31,200.00",10.89,"343,013.00",14,0.13,0.35,1.19,3.22,0.24,12.75,12.46,17.04,9.52,11_05_2021
SEF,56.34,11.00,11.22,10.87,11.02,10.99,"31,200.00",10.89,"343,013.00",14,0.13,0.35,1.19,3.22,0.24,12.75,12.46,17.04,9.52,11_06_2021
SEF,56.34,11.00,11.22,10.87,11.02,10.99,"31,200.00",10.89,"343,013.00",14,0.13,0.35,1.19,3.22,0.24,12.75,12.46,17.04,9.52,11_07_2021
SEF,57.12,11.01,11.01,11.00,11.00,11.00,"12,900.00",11.02,"141,950.00",3,-0.02,0.01,-0.18,0.09,-0.04,12.75,12.46,17.04,9.83,11_08_2021
SEF,50.71,10.91,10.91,10.70,10.90,10.90,"10,360.00",11.00,"112,954.00",4,-0.10,0.21,-0.91,1.96,-0.03,12.74,12.46,17.04,9.88,11_09_2021
SEF,49.51,10.91,10.91,10.70,10.90,10.90,"10,360.00",11.00,"112,954.00",4,-0.10,0.21,-0.91,1.96,-0.03,12.74,12.46,17.04,9.88,11_10_2021
SEF,47.46,11.10,11.10,10.69,10.70,10.71,"51,420.00",10.90,"550,826.80",13,-0.20,0.41,-1.83,3.84,-0.12,12.73,12.46,17.04,9.95,11_11_2021
SEF,45.50,11.10,11.10,10.69,10.70,10.71,"51,420.00",10.90,"550,826.80",13,-0.20,0.41,-1.83,3.84,-0.12,12.73,12.46,17.04,9.95,11_12_2021
SEF,45.50,11.10,11.10,10.69,10.70,10.71,"51,420.00",10.90,"550,826.80",13,-0.20,0.41,-1.83,3.84,-0.12,12.73,12.46,17.04,9.95,11_13_2021
SEF,43.45,10.51,10.65,10.51,10.65,10.60,"8,200.00",10.70,"86,881.00",7,-0.05,0.14,-0.47,1.33,0.51,12.72,12.45,17.04,9.95,11_14_2021
SEF,37.32,10.65,10.85,10.50,10.67,10.59,"39,770.00",10.65,"421,074.70",23,0.02,0.35,0.19,3.33,0.77,12.70,12.45,17.04,9.95,11_15_2021
SEF,45.12,10.60,10.70,10.60,10.60,10.62,"56,000.00",10.67,"594,480.00",12,-0.07,0.10,-0.66,0.94,-0.15,12.69,12.45,17.04,9.95,11_16_2021
SEF,45.66,10.60,10.80,10.60,10.62,10.62,"2,990.00",10.60,"31,757.80",5,0.02,0.20,0.19,1.89,-0.01,12.68,12.44,17.04,9.95,11_17_2021
SEF,38.36,10.62,10.62,10.53,10.61,10.61,"2,700.00",10.62,"28,651.00",3,-0.01,0.09,-0.09,0.85,-0.01,12.66,12.44,17.04,9.95,11_18_2021
SEF,38.32,10.62,10.62,10.53,10.61,10.61,"2,700.00",10.62,"28,651.00",3,-0.01,0.09,-0.09,0.85,-0.01,12.66,12.44,17.04,9.95,11_19_2021
SEF,38.32,10.62,10.62,10.53,10.61,10.61,"2,700.00",10.62,"28,651.00",3,-0.01,0.09,-0.09,0.85,-0.01,12.66,12.44,17.04,9.95,11_20_2021
SEF,33.62,10.50,10.62,10.50,10.55,10.54,"64,688.00",10.61,"681,603.66",19,-0.06,0.12,-0.57,1.14,0.13,12.65,12.43,17.04,9.95,11_21_2021
SEF,43.37,10.41,10.92,10.41,10.70,10.61,"19,200.00",10.55,"203,666.00",14,0.15,0.51,1.42,4.90,0.86,12.63,12.43,17.04,9.95,11_22_2021
SEF,48.19,10.53,10.79,10.53,10.65,10.57,"40,020.00",10.70,"422,877.30",16,-0.05,0.26,-0.47,2.47,0.78,12.62,12.42,17.04,9.95,11_23_2021
SEF,49.65,10.44,10.55,10.44,10.55,10.47,"25,400.00",10.65,"265,949.00",10,-0.10,0.11,-0.94,1.05,0.75,12.60,12.41,17.04,9.95,11_24_2021
SEF,42.20,10.75,10.75,10.40,10.50,10.45,"116,925.00",10.55,"1,222,447.50",21,-0.05,0.35,-0.47,3.37,0.43,12.58,12.40,17.04,9.95,11_25_2021
SEF,52.99,10.75,10.75,10.40,10.50,10.45,"116,925.00",10.55,"1,222,447.50",21,-0.05,0.35,-0.47,3.37,0.43,12.58,12.40,17.04,9.95,11_26_2021
SEF,52.99,10.75,10.75,10.40,10.50,10.45,"116,925.00",10.55,"1,222,447.50",21,-0.05,0.35,-0.47,3.37,0.43,12.58,12.40,17.04,9.95,11_27_2021
SEF,50.09,10.36,10.40,10.13,10.29,10.17,"541,000.00",10.50,"5,504,510.90",39,-0.21,0.27,-2.00,2.67,1.12,12.56,12.39,17.04,9.95,11_28_2021
SEF,46.33,10.49,10.49,10.30,10.33,10.33,"34,350.00",10.29,"354,737.50",10,0.04,0.19,0.39,1.84,0.03,12.54,12.38,17.04,9.95,11_29_2021
SEF,38.92,10.33,10.50,10.31,10.32,10.34,"4,500.00",10.33,"46,510.00",6,-0.01,0.19,-0.10,1.84,-0.15,12.52,12.36,17.04,9.95,11_30_2021
SEF,40.48,10.36,10.50,10.36,10.40,10.47,"13,050.00",10.32,"136,595.00",6,0.08,0.14,0.78,1.35,-0.64,12.50,12.35,17.04,9.95,12_01_2021
SEF,46.78,10.59,10.59,10.29,10.34,10.40,"89,700.00",10.40,"932,890.00",20,-0.06,0.30,-0.58,2.92,-0.58,12.47,12.34,17.04,9.95,12_02_2021
SEF,54.34,10.59,10.59,10.29,10.34,10.40,"89,700.00",10.40,"932,890.00",20,-0.06,0.30,-0.58,2.92,-0.58,12.47,12.34,17.04,9.95,12_03_2021
SEF,54.34,10.59,10.59,10.29,10.34,10.40,"89,700.00",10.40,"932,890.00",20,-0.06,0.30,-0.58,2.92,-0.58,12.47,12.34,17.04,9.95,12_04_2021
SEF,53.44,10.34,10.54,10.15,10.17,10.29,"21,596.00",10.34,"222,220.20",11,-0.17,0.39,-1.64,3.84,-1.18,12.45,12.33,17.04,9.95,12_05_2021
SEF,40.03,10.10,10.21,10.05,10.21,10.13,"28,700.00",10.17,"290,740.00",14,0.04,0.16,0.39,1.59,0.78,12.42,12.32,17.04,9.95,12_06_2021
