Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SFEF,0.00,10.00,10.00,10.00,10.00,10.00,100.00,0.00,"1,000.00",1,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,04_20_2023
SFEF,39.60,10.00,10.00,10.00,10.00,10.00,100.00,0.00,"1,000.00",1,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,04_21_2023
SFEF,39.60,10.00,10.00,10.00,10.00,10.00,100.00,0.00,"1,000.00",1,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,04_22_2023
SFEF,39.60,9.81,9.81,9.00,9.00,9.20,"1,205.00",10.00,"11,081.60",9,-1.00,0.81,-10.00,9.00,-2.18,0.00,0.00,10.00,9.00,04_23_2023
SFEF,27.84,8.82,8.82,8.10,8.20,8.18,"5,170.00",9.00,"42,281.40",33,-0.80,0.72,-8.89,8.89,0.27,0.00,0.00,10.00,8.10,04_24_2023
SFEF,26.71,8.04,8.04,7.77,7.80,7.87,"5,200.00",8.20,"40,946.25",18,-0.40,0.27,-4.88,3.47,-0.95,0.00,0.00,10.00,7.77,04_25_2023
SFEF,32.39,7.65,7.80,7.35,7.69,7.64,"2,000.00",7.80,"15,277.75",17,-0.11,0.45,-1.41,6.12,0.66,0.00,0.00,10.00,7.35,04_26_2023
SFEF,28.00,7.56,7.86,7.56,7.70,7.68,975.00,7.69,"7,491.00",9,0.01,0.30,0.13,3.97,0.22,0.00,0.00,10.00,7.35,04_27_2023
SFEF,26.83,7.56,7.86,7.56,7.70,7.68,975.00,7.69,"7,491.00",9,0.01,0.30,0.13,3.97,0.22,0.00,0.00,10.00,7.35,04_28_2023
SFEF,26.83,7.56,7.86,7.56,7.70,7.68,975.00,7.69,"7,491.00",9,0.01,0.30,0.13,3.97,0.22,0.00,0.00,10.00,7.35,04_29_2023
SFEF,26.83,7.64,7.85,7.64,7.73,7.71,"2,150.00",7.70,"16,584.25",10,0.03,0.21,0.39,2.75,0.21,0.00,0.00,10.00,7.35,04_30_2023
SFEF,34.77,7.64,7.85,7.64,7.73,7.71,"2,150.00",7.70,"16,584.25",10,0.03,0.21,0.39,2.75,0.21,0.00,0.00,10.00,7.35,05_01_2023
SFEF,35.76,7.65,7.70,7.65,7.70,7.67,825.00,7.73,"6,331.25",8,-0.03,0.05,-0.39,0.65,0.33,0.00,0.00,10.00,7.35,05_02_2023
SFEF,37.20,7.75,7.76,7.75,7.75,7.76,"1,250.00",7.70,"9,697.50",6,0.05,0.01,0.65,0.13,-0.10,0.00,0.00,10.00,7.35,05_03_2023
SFEF,37.11,7.60,7.85,7.60,7.80,7.77,725.00,7.75,"5,630.00",5,0.05,0.25,0.65,3.29,0.44,0.00,0.00,10.00,7.35,05_04_2023
SFEF,37.20,7.60,7.85,7.60,7.80,7.77,725.00,7.75,"5,630.00",5,0.05,0.25,0.65,3.29,0.44,0.00,0.00,10.00,7.35,05_05_2023
SFEF,37.20,7.60,7.85,7.60,7.80,7.77,725.00,7.75,"5,630.00",5,0.05,0.25,0.65,3.29,0.44,0.00,0.00,10.00,7.35,05_06_2023
SFEF,37.20,7.65,7.84,7.65,7.84,7.79,"1,600.00",7.80,"12,460.00",6,0.04,0.19,0.51,2.48,0.67,0.00,0.00,10.00,7.35,05_07_2023
SFEF,38.80,7.71,7.86,7.71,7.83,7.80,800.00,7.84,"6,243.00",6,-0.01,0.15,-0.13,1.95,0.34,0.00,0.00,10.00,7.35,05_08_2023
SFEF,35.95,7.70,7.85,7.70,7.79,7.76,900.00,7.83,"6,984.00",7,-0.04,0.15,-0.51,1.95,0.39,0.00,0.00,10.00,7.35,05_09_2023
SFEF,37.16,7.65,7.82,7.65,7.82,7.72,"1,175.00",7.79,"9,074.75",9,0.03,0.17,0.39,2.22,1.24,0.00,0.00,10.00,7.35,05_10_2023
SFEF,37.17,7.70,7.79,7.70,7.79,7.74,900.00,7.82,"6,965.00",4,-0.03,0.09,-0.38,1.17,0.66,0.00,0.00,10.00,7.35,05_11_2023
SFEF,36.71,7.70,7.79,7.70,7.79,7.74,900.00,7.82,"6,965.00",4,-0.03,0.09,-0.38,1.17,0.66,0.00,0.00,10.00,7.35,05_12_2023
SFEF,36.71,7.70,7.79,7.70,7.79,7.74,900.00,7.82,"6,965.00",4,-0.03,0.09,-0.38,1.17,0.66,0.00,0.00,10.00,7.35,05_13_2023
SFEF,36.71,7.80,7.80,7.72,7.73,7.74,720.00,7.79,"5,575.90",6,-0.06,0.08,-0.77,1.04,-0.19,0.00,0.00,10.00,7.35,05_14_2023
SFEF,33.35,7.65,7.65,7.65,7.65,7.65,100.00,7.73,765.00,1,-0.08,0.00,-1.03,0.00,0.00,0.00,0.00,10.00,7.35,05_15_2023
SFEF,29.73,7.68,8.00,7.68,8.00,7.93,"2,775.00",7.65,"22,007.25",7,0.35,0.32,4.58,4.17,0.87,0.00,0.00,10.00,7.35,05_16_2023
SFEF,43.49,7.84,8.42,7.84,7.85,8.18,"1,800.00",8.00,"14,720.00",9,-0.15,0.58,-1.88,7.40,-4.18,0.00,0.00,10.00,7.35,05_17_2023
SFEF,43.08,7.74,7.82,7.74,7.82,7.81,850.00,7.85,"6,637.00",4,-0.03,0.08,-0.38,1.03,0.15,0.00,0.00,10.00,7.35,05_18_2023
SFEF,42.03,7.74,7.82,7.74,7.82,7.81,850.00,7.85,"6,637.00",4,-0.03,0.08,-0.38,1.03,0.15,0.00,0.00,10.00,7.35,05_19_2023
SFEF,42.03,7.74,7.82,7.74,7.82,7.81,850.00,7.85,"6,637.00",4,-0.03,0.08,-0.38,1.03,0.15,0.00,0.00,10.00,7.35,05_20_2023
SFEF,42.03,7.69,8.43,7.69,8.43,8.04,"1,025.00",7.82,"8,236.75",9,0.61,0.74,7.80,9.62,4.68,0.00,0.00,10.00,7.35,05_21_2023
SFEF,45.13,8.59,9.10,8.59,8.80,8.82,"1,750.00",8.43,"15,430.00",9,0.37,0.51,4.39,5.94,-0.19,0.00,0.00,10.00,7.35,05_22_2023
SFEF,48.59,8.97,9.14,8.97,9.10,9.08,"1,000.00",8.80,"9,078.75",4,0.30,0.17,3.41,1.90,0.23,0.00,0.00,10.00,7.35,05_23_2023
SFEF,49.08,9.28,9.28,9.20,9.20,9.21,"1,100.00",9.10,"10,128.00",3,0.10,0.08,1.10,0.87,-0.08,0.00,0.00,10.00,7.35,05_24_2023
SFEF,50.87,9.28,9.28,9.20,9.20,9.21,"1,100.00",9.10,"10,128.00",3,0.10,0.08,1.10,0.87,-0.08,0.00,0.00,10.00,7.35,05_25_2023
SFEF,50.87,9.28,9.28,9.20,9.20,9.21,"1,100.00",9.10,"10,128.00",3,0.10,0.08,1.10,0.87,-0.08,0.00,0.00,10.00,7.35,05_26_2023
SFEF,50.87,9.28,9.28,9.20,9.20,9.21,"1,100.00",9.10,"10,128.00",3,0.10,0.08,1.10,0.87,-0.08,0.00,0.00,10.00,7.35,05_27_2023
SFEF,52.14,9.02,9.02,8.67,8.67,8.80,"3,300.00",9.20,"29,056.00",7,-0.53,0.35,-5.76,4.04,-1.56,0.00,0.00,10.00,7.35,05_30_2023
SFEF,-,8.50,8.50,8.17,8.33,8.33,400.00,8.67,"3,333.00",4,-0.34,0.33,-3.92,4.04,-0.03,0.00,0.00,10.00,7.35,05_31_2023
