Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SFMF,64.12,12.87,13.00,11.82,11.82,12.01,"389,449.00",13.13,"4,675,910.03",182,-1.31,1.18,-9.98,9.98,-1.58,15.09,13.70,20.00,9.10,09_01_2021
SFMF,59.52,11.45,11.59,11.39,11.50,11.44,"23,420.00",11.38,"268,000.00",10,0.12,0.20,1.05,1.76,0.49,14.45,13.84,20.00,9.22,11_03_2021
SFMF,55.57,11.45,11.59,11.39,11.50,11.44,"23,420.00",11.38,"268,000.00",10,0.12,0.20,1.05,1.76,0.49,14.45,13.84,20.00,9.22,11_05_2021
SFMF,55.57,11.45,11.59,11.39,11.50,11.44,"23,420.00",11.38,"268,000.00",10,0.12,0.20,1.05,1.76,0.49,14.45,13.84,20.00,9.22,11_06_2021
SFMF,55.57,11.45,11.59,11.39,11.50,11.44,"23,420.00",11.38,"268,000.00",10,0.12,0.20,1.05,1.76,0.49,14.45,13.84,20.00,9.22,11_07_2021
SFMF,56.36,11.60,11.60,11.40,11.50,11.54,"18,350.00",11.50,"211,715.00",8,0.00,0.20,0.00,1.75,-0.33,14.44,13.85,20.00,9.39,11_08_2021
SFMF,50.80,11.40,11.41,11.23,11.23,11.31,"36,500.00",11.50,"412,791.00",17,-0.27,0.18,-2.35,1.60,-0.71,14.42,13.85,20.00,9.39,11_09_2021
SFMF,49.90,11.40,11.41,11.23,11.23,11.31,"36,500.00",11.50,"412,791.00",17,-0.27,0.18,-2.35,1.60,-0.71,14.42,13.85,20.00,9.39,11_10_2021
SFMF,47.85,11.06,11.28,11.06,11.13,11.13,"18,575.00",11.23,"206,765.25",16,-0.10,0.22,-0.89,1.99,-0.01,14.40,13.85,20.00,9.39,11_11_2021
SFMF,40.70,11.06,11.28,11.06,11.13,11.13,"18,575.00",11.23,"206,765.25",16,-0.10,0.22,-0.89,1.99,-0.01,14.40,13.85,20.00,9.39,11_12_2021
