Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SGHC,0.00,269.00,295.90,269.00,295.90,289.46,562.00,269.00,"162,675.90",80,26.90,26.90,10.00,10.00,2.18,-,-,295.90,269.00,08_17_2022
SGHC,36.44,301.80,325.40,301.80,325.40,325.29,"5,350.00",295.90,"1,740,310.00",535,29.50,23.60,9.97,7.82,0.03,-,-,325.40,269.00,08_18_2022
SGHC,53.59,301.80,325.40,301.80,325.40,325.29,"5,350.00",295.90,"1,740,310.00",535,29.50,23.60,9.97,7.82,0.03,-,-,325.40,269.00,08_19_2022
SGHC,53.59,301.80,325.40,301.80,325.40,325.29,"5,350.00",295.90,"1,740,310.00",535,29.50,23.60,9.97,7.82,0.03,-,-,325.40,269.00,08_20_2022
SGHC,53.59,331.90,357.00,331.90,337.00,341.03,"78,676.00",325.40,"26,831,205.80","5,458",11.60,25.10,3.56,7.56,-1.20,-,-,357.00,269.00,08_21_2022
SGHC,-,343.70,349.00,320.10,323.00,324.50,"53,198.00",337.00,"17,262,964.80","2,963",-14.00,28.90,-4.15,9.03,-0.47,-,-,357.00,269.00,08_22_2022
SGHC,54.75,318.00,323.50,315.00,320.00,319.38,"28,437.00",323.00,"9,082,151.20","1,714",-3.00,8.50,-0.93,2.70,0.19,-,-,357.00,269.00,08_23_2022
SGHC,49.01,318.00,344.50,318.00,332.00,324.79,"30,418.00",320.00,"9,879,602.90","1,712",12.00,26.50,3.75,8.33,2.17,-,-,357.00,269.00,08_24_2022
SGHC,40.74,332.00,334.00,322.60,323.00,327.68,"13,083.00",332.00,"4,287,002.60",910,-9.00,11.40,-2.71,3.53,-1.45,-,-,357.00,269.00,08_25_2022
SGHC,32.72,318.00,320.00,313.10,319.00,315.27,"11,130.00",323.00,"3,508,977.50",537,-4.00,6.90,-1.24,2.20,1.17,-,-,357.00,269.00,08_26_2022
SGHC,31.73,318.00,320.00,313.10,319.00,315.27,"11,130.00",323.00,"3,508,977.50",537,-4.00,6.90,-1.24,2.20,1.17,-,-,357.00,269.00,08_27_2022
SGHC,31.73,312.90,315.00,300.00,301.00,305.70,"20,529.00",319.00,"6,275,687.20",987,-18.00,15.00,-5.64,5.00,-1.56,-,-,357.00,269.00,08_28_2022
SGHC,22.86,295.00,307.00,295.00,305.00,299.58,"9,421.00",301.00,"2,822,373.00",562,4.00,12.00,1.33,4.07,1.78,-,-,357.00,269.00,08_29_2022
SGHC,27.44,311.10,311.10,298.00,299.90,300.51,"6,385.00",305.00,"1,918,764.60",404,-5.10,13.10,-1.67,4.40,-0.20,-,-,357.00,269.00,08_30_2022
SGHC,17.98,299.00,303.00,283.60,286.00,289.25,"11,413.00",299.90,"3,301,243.80",445,-13.90,19.40,-4.63,6.84,-1.14,-,-,357.00,269.00,08_31_2022
SGHC,20.61,280.30,291.70,276.20,284.00,281.07,"16,566.00",286.00,"4,656,190.10",509,-2.00,15.50,-0.70,5.61,1.03,-,-,357.00,269.00,09_01_2022
SGHC,22.14,279.00,297.00,279.00,279.10,284.45,"4,222.00",284.00,"1,200,953.50",169,-4.90,18.00,-1.73,6.45,-1.92,-,-,357.00,269.00,09_02_2022
SGHC,15.57,279.00,297.00,279.00,279.10,284.45,"4,222.00",284.00,"1,200,953.50",169,-4.90,18.00,-1.73,6.45,-1.92,-,-,357.00,269.00,09_03_2022
SGHC,15.07,274.00,297.00,274.00,295.00,291.22,"18,356.00",279.10,"5,345,549.00",645,15.90,23.00,5.70,8.39,1.28,-,-,357.00,269.00,09_04_2022
SGHC,22.44,295.00,300.00,290.10,290.10,293.95,"7,987.00",295.00,"2,347,770.40",311,-4.90,9.90,-1.66,3.41,-1.33,-,-,357.00,269.00,09_05_2022
SGHC,34.94,287.00,290.00,283.00,284.10,285.77,"9,180.00",290.10,"2,623,327.00",259,-6.00,7.00,-2.07,2.47,-0.59,-,-,357.00,269.00,09_06_2022
SGHC,30.95,278.80,293.00,278.80,283.20,286.66,"8,490.00",284.10,"2,433,713.00",352,-0.90,14.20,-0.32,5.09,-1.22,-,-,357.00,269.00,09_07_2022
SGHC,34.51,280.00,296.00,277.80,287.00,289.20,"9,217.00",283.20,"2,665,548.00",313,3.80,18.20,1.34,6.55,-0.77,-,-,357.00,269.00,09_08_2022
