Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SGIC,0.00,374.80,404.20,374.80,404.20,403.49,"1,330.00",367.50,"536,641.00",90,36.70,29.40,9.99,7.84,0.18,0.00,0.00,404.20,374.80,01_23_2023
SGIC,48.22,412.20,444.60,412.20,444.60,443.78,"1,740.00",404.20,"772,175.00",69,40.40,32.40,10.00,7.86,0.18,0.00,0.00,444.60,374.80,01_24_2023
SGIC,57.87,436.10,489.00,436.10,489.00,488.85,"44,755.00",444.60,"21,878,498.00",328,44.40,52.90,9.99,12.13,0.03,0.00,0.00,489.00,374.80,01_25_2023
SGIC,65.55,498.70,537.90,492.00,495.00,500.69,"63,167.00",489.00,"31,627,247.00",802,6.00,45.90,1.23,9.33,-1.15,0.00,0.00,537.90,374.80,01_26_2023
SGIC,65.63,498.70,537.90,492.00,495.00,500.69,"63,167.00",489.00,"31,627,247.00",802,6.00,45.90,1.23,9.33,-1.15,0.00,0.00,537.90,374.80,01_27_2023
SGIC,65.63,498.70,537.90,492.00,495.00,500.69,"63,167.00",489.00,"31,627,247.00",802,6.00,45.90,1.23,9.33,-1.15,0.00,0.00,537.90,374.80,01_28_2023
SGIC,64.50,485.10,514.00,476.00,498.00,493.69,"23,218.00",495.00,"11,462,529.50",425,3.00,38.00,0.61,7.98,0.87,0.00,0.00,537.90,374.80,01_29_2023
SGIC,60.72,507.90,507.90,473.00,477.00,484.63,"14,178.00",498.00,"6,871,107.70",322,-21.00,34.90,-4.22,7.38,-1.60,0.00,0.00,537.90,374.80,01_30_2023
SGIC,52.44,467.50,492.50,459.00,469.90,472.86,"16,773.00",477.00,"7,931,206.20",282,-7.10,33.50,-1.49,7.30,-0.63,0.00,0.00,537.90,374.80,01_31_2023
SGIC,41.47,475.00,493.60,467.50,493.00,487.02,"28,218.00",469.90,"13,742,595.70",400,23.10,26.10,4.92,5.58,1.21,0.00,0.00,537.90,374.80,02_01_2023
SGIC,48.82,500.00,502.80,484.00,488.00,496.44,"32,515.00",493.00,"16,141,878.80",388,-5.00,18.80,-1.01,3.88,-1.73,0.00,0.00,537.90,374.80,02_02_2023
SGIC,45.25,500.00,502.80,484.00,488.00,496.44,"32,515.00",493.00,"16,141,878.80",388,-5.00,18.80,-1.01,3.88,-1.73,0.00,0.00,537.90,374.80,02_03_2023
SGIC,45.25,500.00,502.80,484.00,488.00,496.44,"32,515.00",493.00,"16,141,878.80",388,-5.00,18.80,-1.01,3.88,-1.73,0.00,0.00,537.90,374.80,02_04_2023
SGIC,43.90,487.00,495.00,479.00,485.00,485.24,"11,668.00",488.00,"5,661,837.10",245,-3.00,16.00,-0.61,3.34,-0.05,0.00,0.00,537.90,374.80,02_05_2023
SGIC,42.43,478.00,492.00,475.40,484.90,481.92,"12,433.00",485.00,"5,991,748.50",266,-0.10,16.60,-0.02,3.49,0.61,0.00,0.00,537.90,374.80,02_06_2023
SGIC,43.21,494.00,513.80,488.00,499.90,496.48,"20,657.00",484.90,"10,255,740.90",375,15.00,25.80,3.09,5.29,0.68,0.00,0.00,537.90,374.80,02_07_2023
SGIC,39.85,505.00,515.10,496.10,503.90,508.23,"36,464.00",499.90,"18,532,203.20",380,4.00,19.00,0.80,3.83,-0.86,0.00,0.00,537.90,374.80,02_08_2023
SGIC,48.51,495.00,500.00,490.00,496.00,495.45,"5,463.00",503.90,"2,706,662.90",157,-7.90,10.00,-1.57,2.04,0.11,0.00,0.00,537.90,374.80,02_09_2023
SGIC,37.31,495.00,500.00,490.00,496.00,495.45,"5,463.00",503.90,"2,706,662.90",157,-7.90,10.00,-1.57,2.04,0.11,0.00,0.00,537.90,374.80,02_10_2023
SGIC,37.31,495.00,500.00,490.00,496.00,495.45,"5,463.00",503.90,"2,706,662.90",157,-7.90,10.00,-1.57,2.04,0.11,0.00,0.00,537.90,374.80,02_11_2023
SGIC,35.59,500.00,500.00,475.90,485.00,485.61,"14,627.00",496.00,"7,103,010.20",239,-11.00,24.10,-2.22,5.06,-0.13,0.00,0.00,537.90,374.80,02_12_2023
SGIC,36.29,500.00,500.00,475.90,485.00,485.61,"14,627.00",496.00,"7,103,010.20",239,-11.00,24.10,-2.22,5.06,-0.13,0.00,0.00,537.90,374.80,02_13_2023
SGIC,35.31,481.00,485.00,471.40,479.20,478.41,"9,992.00",485.00,"4,780,320.00",203,-5.80,13.60,-1.20,2.89,0.16,0.00,0.00,537.90,374.80,02_14_2023
SGIC,30.52,470.70,484.00,470.70,473.00,475.80,"6,796.00",479.20,"3,233,557.30",168,-6.20,13.30,-1.29,2.83,-0.59,0.00,0.00,537.90,374.80,02_15_2023
SGIC,30.97,465.00,470.00,461.10,463.00,466.33,"9,279.00",473.00,"4,327,035.80",207,-10.00,8.90,-2.11,1.93,-0.72,0.00,0.00,537.90,374.80,02_16_2023
SGIC,32.11,465.00,470.00,461.10,463.00,466.33,"9,279.00",473.00,"4,327,035.80",207,-10.00,8.90,-2.11,1.93,-0.72,0.00,0.00,537.90,374.80,02_17_2023
SGIC,32.11,465.00,470.00,461.10,463.00,466.33,"9,279.00",473.00,"4,327,035.80",207,-10.00,8.90,-2.11,1.93,-0.72,0.00,0.00,537.90,374.80,02_18_2023
SGIC,32.11,465.00,470.00,461.10,463.00,466.33,"9,279.00",473.00,"4,327,035.80",207,-10.00,8.90,-2.11,1.93,-0.72,0.00,0.00,537.90,374.80,02_19_2023
SGIC,29.30,455.00,471.80,446.10,455.00,452.73,"19,162.00",463.00,"8,675,259.80",356,-8.00,25.70,-1.73,5.76,0.50,0.00,0.00,537.90,374.80,02_20_2023
SGIC,31.63,455.00,471.80,446.10,455.00,452.73,"19,162.00",463.00,"8,675,259.80",356,-8.00,25.70,-1.73,5.76,0.50,0.00,0.00,537.90,374.80,02_21_2023
