Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SHEL,41.65,541.00,577.00,521.00,543.00,547.62,"21,790.00",541.00,"11,932,607.30",462,2.00,56.00,0.37,10.75,-0.85,-,-,650.00,300.00,09_01_2021
SHEL,62.66,460.00,469.90,455.10,464.90,461.40,"10,415.00",458.80,"4,805,522.00",169,6.10,14.80,1.33,3.25,0.75,463.89,-,650.00,300.00,11_03_2021
SHEL,61.32,460.00,469.90,455.10,464.90,461.40,"10,415.00",458.80,"4,805,522.00",169,6.10,14.80,1.33,3.25,0.75,463.89,-,650.00,300.00,11_05_2021
SHEL,61.32,460.00,469.90,455.10,464.90,461.40,"10,415.00",458.80,"4,805,522.00",169,6.10,14.80,1.33,3.25,0.75,463.89,-,650.00,300.00,11_06_2021
SHEL,61.32,460.00,469.90,455.10,464.90,461.40,"10,415.00",458.80,"4,805,522.00",169,6.10,14.80,1.33,3.25,0.75,463.89,-,650.00,300.00,11_07_2021
SHEL,62.11,463.00,472.00,448.00,457.00,455.04,"8,750.00",464.90,"3,981,602.60",165,-7.90,24.00,-1.70,5.36,0.43,463.69,-,650.00,300.00,11_08_2021
SHEL,57.46,447.90,450.00,426.00,435.00,435.65,"13,181.00",457.00,"5,742,241.00",245,-22.00,24.00,-4.81,5.63,-0.15,463.69,-,650.00,300.00,11_09_2021
SHEL,49.32,447.90,450.00,426.00,435.00,435.65,"13,181.00",457.00,"5,742,241.00",245,-22.00,24.00,-4.81,5.63,-0.15,463.69,-,650.00,300.00,11_10_2021
SHEL,47.27,426.30,434.50,414.00,414.00,420.27,"8,724.00",435.00,"3,666,405.40",189,-21.00,20.50,-4.83,4.95,-1.51,463.60,-,650.00,300.00,11_11_2021
SHEL,44.52,426.30,434.50,414.00,414.00,420.27,"8,724.00",435.00,"3,666,405.40",189,-21.00,20.50,-4.83,4.95,-1.51,463.60,-,650.00,300.00,11_12_2021
SHEL,44.52,426.30,434.50,414.00,414.00,420.27,"8,724.00",435.00,"3,666,405.40",189,-21.00,20.50,-4.83,4.95,-1.51,463.60,-,650.00,300.00,11_13_2021
SHEL,42.47,405.80,439.10,405.80,413.00,412.48,"6,000.00",414.00,"2,474,868.00",238,-1.00,33.30,-0.24,8.21,0.13,463.38,-,650.00,300.00,11_14_2021
SHEL,41.89,421.20,436.00,415.00,421.10,425.50,"8,803.00",413.00,"3,745,695.80",231,8.10,21.00,1.96,5.06,-1.05,463.27,-,650.00,300.00,11_15_2021
SHEL,44.17,421.00,450.00,420.00,450.00,434.44,"18,025.00",421.10,"7,830,778.70",340,28.90,30.00,6.86,7.14,3.46,463.33,-,650.00,300.00,11_16_2021
SHEL,56.14,456.00,483.70,456.00,465.00,468.50,"34,230.00",450.00,"16,036,813.60",519,15.00,27.70,3.33,6.07,-0.75,463.58,-,650.00,300.00,11_17_2021
SHEL,65.30,465.00,495.00,450.00,465.00,470.67,"28,254.00",465.00,"13,298,228.50",499,0.00,45.00,0.00,10.00,-1.22,463.71,-,650.00,300.00,11_18_2021
SHEL,66.55,465.00,495.00,450.00,465.00,470.67,"28,254.00",465.00,"13,298,228.50",499,0.00,45.00,0.00,10.00,-1.22,463.71,-,650.00,300.00,11_19_2021
SHEL,66.55,465.00,495.00,450.00,465.00,470.67,"28,254.00",465.00,"13,298,228.50",499,0.00,45.00,0.00,10.00,-1.22,463.71,-,650.00,300.00,11_20_2021
SHEL,61.85,455.70,470.00,448.00,461.00,460.31,"8,596.00",465.00,"3,956,815.90",316,-4.00,22.00,-0.86,4.91,0.15,463.72,-,650.00,300.00,11_21_2021
SHEL,52.67,465.00,465.00,451.90,460.00,459.19,"6,355.00",461.00,"2,918,125.50",261,-1.00,13.10,-0.22,2.90,0.18,463.87,-,650.00,300.00,11_22_2021
