Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SHINE,51.02,575.00,582.40,561.00,563.00,570.86,"125,898.00",568.00,"71,870,398.10",866,-5.00,21.40,-0.88,3.81,-1.40,380.49,341.45,655.00,232.00,09_01_2021
SHINE,68.61,545.00,553.00,534.00,538.00,543.26,"185,723.00",535.00,"100,895,169.60",747,3.00,19.00,0.56,3.56,-0.98,454.46,392.74,655.00,232.00,11_03_2021
SHINE,66.12,545.00,553.00,534.00,538.00,543.26,"185,723.00",535.00,"100,895,169.60",747,3.00,19.00,0.56,3.56,-0.98,454.46,392.74,655.00,232.00,11_05_2021
SHINE,66.12,545.00,553.00,534.00,538.00,543.26,"185,723.00",535.00,"100,895,169.60",747,3.00,19.00,0.56,3.56,-0.98,454.46,392.74,655.00,232.00,11_06_2021
SHINE,66.12,545.00,553.00,534.00,538.00,543.26,"185,723.00",535.00,"100,895,169.60",747,3.00,19.00,0.56,3.56,-0.98,454.46,392.74,655.00,232.00,11_07_2021
SHINE,66.90,548.70,563.00,537.00,538.00,550.01,"115,224.00",538.00,"63,373,954.70",681,0.00,26.00,0.00,4.84,-2.23,456.71,394.30,655.00,232.00,11_08_2021
SHINE,60.39,535.00,545.00,502.00,507.00,517.10,"247,469.00",538.00,"127,965,686.90",983,-31.00,43.00,-5.76,8.57,-1.99,458.68,395.70,655.00,232.00,11_09_2021
SHINE,59.32,535.00,545.00,502.00,507.00,517.10,"247,469.00",538.00,"127,965,686.90",983,-31.00,43.00,-5.76,8.57,-1.99,458.68,395.70,655.00,232.00,11_10_2021
SHINE,57.27,507.00,515.00,497.00,500.00,502.08,"127,402.00",507.00,"63,966,341.10",566,-7.00,18.00,-1.38,3.62,-0.42,460.58,397.01,655.00,232.00,11_11_2021
SHINE,46.28,507.00,515.00,497.00,500.00,502.08,"127,402.00",507.00,"63,966,341.10",566,-7.00,18.00,-1.38,3.62,-0.42,460.58,397.01,655.00,232.00,11_12_2021
SHINE,46.28,507.00,515.00,497.00,500.00,502.08,"127,402.00",507.00,"63,966,341.10",566,-7.00,18.00,-1.38,3.62,-0.42,460.58,397.01,655.00,232.00,11_13_2021
SHINE,44.23,500.00,515.00,495.00,512.00,508.48,"138,473.00",500.00,"70,410,761.60",591,12.00,20.00,2.40,4.04,0.69,462.56,398.38,655.00,232.00,11_14_2021
