Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SHINEP,44.21,140.00,140.00,140.00,140.00,140.00,"6,276.00",140.00,"878,640.00",2,0.00,0.00,0.00,0.00,0.00,-,-,177.00,140.00,09_01_2021
SHINEP,39.87,140.00,140.00,140.00,140.00,140.00,"28,574.00",140.00,"4,000,360.00",1,0.00,0.00,0.00,0.00,0.00,-,-,146.00,140.00,11_30_2021
SHINEP,41.25,140.00,140.00,140.00,140.00,140.00,"25,504.00",140.00,"3,570,560.00",8,0.00,0.00,0.00,0.00,0.00,-,-,146.00,140.00,12_02_2021
SHINEP,39.78,140.00,140.00,140.00,140.00,140.00,"25,504.00",140.00,"3,570,560.00",8,0.00,0.00,0.00,0.00,0.00,-,-,146.00,140.00,12_03_2021
SHINEP,39.78,140.00,140.00,140.00,140.00,140.00,"25,504.00",140.00,"3,570,560.00",8,0.00,0.00,0.00,0.00,0.00,-,-,146.00,140.00,12_04_2021
SHINEP,46.54,140.00,140.00,140.00,140.00,140.00,796.00,140.00,"111,440.00",2,0.00,0.00,0.00,0.00,0.00,-,-,142.00,140.00,01_13_2022
SHINEP,46.78,140.00,140.00,140.00,140.00,140.00,796.00,140.00,"111,440.00",2,0.00,0.00,0.00,0.00,0.00,-,-,142.00,140.00,01_14_2022
SHINEP,46.78,140.00,140.00,140.00,140.00,140.00,796.00,140.00,"111,440.00",2,0.00,0.00,0.00,0.00,0.00,-,-,142.00,140.00,01_15_2022
SHINEP,27.73,140.00,140.00,140.00,140.00,185.00,"6,000.00",0.00,"1,110,000.00",3,0.00,0.00,0.00,0.00,-32.14,-,-,142.00,140.00,06_14_2022
SHINEP,29.96,140.00,140.00,140.00,140.00,140.00,"17,040.00",140.00,"2,385,600.00",1,0.00,0.00,0.00,0.00,0.00,-,-,142.00,140.00,07_27_2022
SHINEP,34.31,169.00,169.00,169.00,169.00,169.00,"89,491.00",169.00,"15,123,979.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,11_15_2022
SHINEP,50.35,169.00,169.00,169.00,169.00,169.00,"70,316.00",169.00,"11,883,404.00",2,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,11_16_2022
SHINEP,49.55,169.00,169.00,169.00,169.00,169.00,"35,158.00",169.00,"5,941,702.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,11_17_2022
SHINEP,46.70,169.00,169.00,169.00,169.00,169.00,"35,158.00",169.00,"5,941,702.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,11_18_2022
SHINEP,46.70,169.00,169.00,169.00,169.00,169.00,"35,158.00",169.00,"5,941,702.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,11_19_2022
SHINEP,46.70,169.00,169.00,169.00,169.00,169.00,"35,158.00",169.00,"5,941,702.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,11_20_2022
SHINEP,46.70,169.00,169.00,169.00,169.00,169.00,"35,158.00",169.00,"5,941,702.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,11_21_2022
SHINEP,49.04,169.00,169.00,169.00,169.00,169.00,"39,991.00",169.00,"6,758,479.00",2,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,12_01_2022
SHINEP,49.49,169.00,169.00,169.00,169.00,169.00,"39,991.00",169.00,"6,758,479.00",2,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,12_02_2022
SHINEP,49.49,169.00,169.00,169.00,169.00,169.00,"39,991.00",169.00,"6,758,479.00",2,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,12_03_2022
SHINEP,46.42,169.00,169.00,169.00,169.00,169.00,"73,793.00",169.00,"12,471,017.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,12_22_2022
SHINEP,35.94,169.00,169.00,169.00,169.00,169.00,"73,793.00",169.00,"12,471,017.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,12_23_2022
SHINEP,35.94,169.00,169.00,169.00,169.00,169.00,"73,793.00",169.00,"12,471,017.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,12_24_2022
SHINEP,35.94,169.00,169.00,169.00,169.00,169.00,"73,793.00",169.00,"12,471,017.00",1,0.00,0.00,0.00,0.00,0.00,-,-,169.00,140.00,12_25_2022
SHINEP,36.79,185.00,185.00,185.00,185.00,185.00,"50,985.00",188.00,"9,432,225.00",1,-3.00,0.00,-1.60,0.00,0.00,0.00,0.00,185.00,140.00,02_26_2023
SHINEP,41.87,185.00,185.00,185.00,185.00,185.00,"5,124.00",185.00,"947,940.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,140.00,03_19_2023
SHINEP,37.77,185.00,185.00,185.00,185.00,185.00,"19,170.00",185.00,"3,546,450.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,140.00,04_24_2023
SHINEP,36.56,185.00,185.00,185.00,185.00,185.00,"45,264.00",185.00,"8,373,840.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,140.00,05_22_2023
SHINEP,42.67,185.00,185.00,185.00,185.00,185.00,"36,800.00",185.00,"6,808,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,140.00,05_30_2023
SHINEP,-,185.00,185.00,185.00,185.00,185.00,"1,102.00",185.00,"203,870.00",4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,140.00,06_12_2023
