Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SHIVM,46.26,"1,650.00","1,659.90","1,610.00","1,621.00","1,639.03","51,789.00","1,625.00","84,883,535.90",591,-4.00,49.90,-0.25,3.10,-1.11,"1,503.09","1,501.87","1,910.00",691.00,09_01_2021
SHIVM,64.51,"1,417.00","1,430.00","1,389.00","1,405.00","1,409.90","25,093.00","1,390.00","35,378,647.30",259,15.00,41.00,1.08,2.95,-0.35,"1,496.46","1,485.14","1,910.00",728.00,11_03_2021
SHIVM,64.86,"1,417.00","1,430.00","1,389.00","1,405.00","1,409.90","25,093.00","1,390.00","35,378,647.30",259,15.00,41.00,1.08,2.95,-0.35,"1,496.46","1,485.14","1,910.00",728.00,11_05_2021
SHIVM,64.86,"1,417.00","1,430.00","1,389.00","1,405.00","1,409.90","25,093.00","1,390.00","35,378,647.30",259,15.00,41.00,1.08,2.95,-0.35,"1,496.46","1,485.14","1,910.00",728.00,11_06_2021
SHIVM,64.86,"1,417.00","1,430.00","1,389.00","1,405.00","1,409.90","25,093.00","1,390.00","35,378,647.30",259,15.00,41.00,1.08,2.95,-0.35,"1,496.46","1,485.14","1,910.00",728.00,11_07_2021
SHIVM,65.65,"1,407.00","1,420.00","1,381.00","1,397.00","1,397.08","15,915.00","1,405.00","22,234,589.20",126,-8.00,39.00,-0.57,2.82,-0.01,"1,495.70","1,483.96","1,910.00",735.00,11_08_2021
SHIVM,48.32,"1,397.00","1,397.00","1,315.10","1,344.00","1,336.46","17,666.00","1,397.00","23,609,929.60",274,-53.00,81.90,-3.79,6.23,0.56,"1,494.76","1,482.29","1,910.00",761.00,11_09_2021
SHIVM,45.66,"1,397.00","1,397.00","1,315.10","1,344.00","1,336.46","17,666.00","1,397.00","23,609,929.60",274,-53.00,81.90,-3.79,6.23,0.56,"1,494.76","1,482.29","1,910.00",761.00,11_10_2021
SHIVM,43.61,"1,317.50","1,328.00","1,288.00","1,295.00","1,301.77","23,981.00","1,344.00","31,217,820.50",288,-49.00,40.00,-3.65,3.11,-0.52,"1,493.03","1,480.43","1,910.00",788.00,11_11_2021
SHIVM,44.99,"1,317.50","1,328.00","1,288.00","1,295.00","1,301.77","23,981.00","1,344.00","31,217,820.50",288,-49.00,40.00,-3.65,3.11,-0.52,"1,493.03","1,480.43","1,910.00",788.00,11_12_2021
SHIVM,44.99,"1,317.50","1,328.00","1,288.00","1,295.00","1,301.77","23,981.00","1,344.00","31,217,820.50",288,-49.00,40.00,-3.65,3.11,-0.52,"1,493.03","1,480.43","1,910.00",788.00,11_13_2021
SHIVM,42.94,"1,275.00","1,319.00","1,275.00","1,312.00","1,308.80","8,822.00","1,295.00","11,546,242.50",137,17.00,44.00,1.31,3.45,0.24,"1,491.09","1,478.93","1,910.00",832.00,11_14_2021
SHIVM,39.60,"1,338.20","1,349.00","1,317.00","1,336.10","1,337.87","10,162.00","1,312.00","13,595,396.20",115,24.10,32.00,1.84,2.43,-0.13,"1,489.39","1,477.65","1,910.00",832.00,11_15_2021
SHIVM,40.66,"1,311.00","1,360.00","1,300.00","1,345.00","1,336.90","13,782.00","1,336.10","18,425,159.80",163,8.90,60.00,0.67,4.62,0.60,"1,487.93","1,476.55","1,910.00",832.00,11_16_2021
SHIVM,46.11,"1,355.00","1,380.00","1,345.10","1,345.10","1,354.55","19,936.00","1,345.00","27,004,222.00",219,0.10,34.90,0.01,2.59,-0.70,"1,486.33","1,475.44","1,910.00",832.00,11_17_2021
SHIVM,60.90,"1,349.00","1,355.00","1,318.00","1,323.00","1,333.72","15,031.00","1,345.10","20,047,212.20",165,-22.10,37.00,-1.64,2.81,-0.81,"1,484.62","1,474.08","1,910.00",832.00,11_18_2021
SHIVM,50.80,"1,349.00","1,355.00","1,318.00","1,323.00","1,333.72","15,031.00","1,345.10","20,047,212.20",165,-22.10,37.00,-1.64,2.81,-0.81,"1,484.62","1,474.08","1,910.00",832.00,11_19_2021
SHIVM,50.80,"1,349.00","1,355.00","1,318.00","1,323.00","1,333.72","15,031.00","1,345.10","20,047,212.20",165,-22.10,37.00,-1.64,2.81,-0.81,"1,484.62","1,474.08","1,910.00",832.00,11_20_2021
SHIVM,46.10,"1,301.00","1,400.00","1,298.00","1,374.00","1,361.69","27,269.00","1,323.00","37,132,041.80",331,51.00,102.00,3.85,7.86,0.90,"1,483.37","1,473.13","1,910.00",890.00,11_21_2021
SHIVM,50.60,"1,375.00","1,380.00","1,350.00","1,354.00","1,361.45","12,952.00","1,374.00","17,633,524.20",155,-20.00,30.00,-1.46,2.22,-0.55,"1,482.03","1,472.27","1,910.00",890.00,11_22_2021
SHIVM,45.98,"1,355.00","1,355.00","1,311.00","1,319.00","1,321.96","11,254.00","1,354.00","14,877,367.00",179,-35.00,44.00,-2.58,3.36,-0.22,"1,480.47","1,471.21","1,910.00",890.00,11_23_2021
SHIVM,39.86,"1,300.10","1,344.30","1,292.00","1,337.00","1,316.47","13,916.00","1,319.00","18,319,951.00",180,18.00,52.30,1.36,4.05,1.54,"1,479.07","1,470.31","1,910.00",915.00,11_24_2021
SHIVM,49.25,"1,344.90","1,344.90","1,315.00","1,320.00","1,323.28","7,120.00","1,337.00","9,421,784.00",107,-17.00,29.90,-1.27,2.27,-0.25,"1,477.69","1,469.41","1,910.00",990.00,11_25_2021
SHIVM,39.98,"1,344.90","1,344.90","1,315.00","1,320.00","1,323.28","7,120.00","1,337.00","9,421,784.00",107,-17.00,29.90,-1.27,2.27,-0.25,"1,477.69","1,469.41","1,910.00",990.00,11_26_2021
SHIVM,39.98,"1,344.90","1,344.90","1,315.00","1,320.00","1,323.28","7,120.00","1,337.00","9,421,784.00",107,-17.00,29.90,-1.27,2.27,-0.25,"1,477.69","1,469.41","1,910.00",990.00,11_27_2021
SHIVM,37.08,"1,312.00","1,340.00","1,250.00","1,263.00","1,277.24","22,784.00","1,320.00","29,100,633.90",282,-57.00,90.00,-4.32,7.20,-1.13,"1,475.89","1,468.28","1,910.00","1,049.00",11_28_2021
SHIVM,41.97,"1,288.00","1,300.00","1,241.00","1,260.00","1,267.59","11,482.00","1,263.00","14,554,506.00",182,-3.00,59.00,-0.24,4.75,-0.60,"1,473.97","1,467.01","1,910.00","1,049.00",11_29_2021
SHIVM,41.42,"1,242.00","1,300.00","1,241.00","1,255.00","1,251.80","15,340.00","1,260.00","19,202,672.20",171,-5.00,59.00,-0.40,4.75,0.25,"1,472.05","1,465.84","1,910.00","1,049.00",11_30_2021
SHIVM,39.08,"1,270.00","1,295.00","1,263.00","1,280.00","1,277.75","7,844.00","1,255.00","10,022,643.40",103,25.00,32.00,1.99,2.53,0.18,"1,470.55","1,465.19","1,910.00","1,091.00",12_01_2021
SHIVM,43.81,"1,271.00","1,275.00","1,235.00","1,245.00","1,247.84","13,804.00","1,280.00","17,225,187.00",188,-35.00,40.00,-2.73,3.24,-0.23,"1,468.80","1,464.21","1,910.00","1,134.00",12_02_2021
SHIVM,47.93,"1,271.00","1,275.00","1,235.00","1,245.00","1,247.84","13,804.00","1,280.00","17,225,187.00",188,-35.00,40.00,-2.73,3.24,-0.23,"1,468.80","1,464.21","1,910.00","1,134.00",12_03_2021
SHIVM,47.93,"1,271.00","1,275.00","1,235.00","1,245.00","1,247.84","13,804.00","1,280.00","17,225,187.00",188,-35.00,40.00,-2.73,3.24,-0.23,"1,468.80","1,464.21","1,910.00","1,134.00",12_04_2021
SHIVM,47.03,"1,225.00","1,247.90","1,220.10","1,228.00","1,229.84","14,899.00","1,245.00","18,323,331.00",149,-17.00,27.80,-1.37,2.28,-0.15,"1,466.53","1,463.32","1,910.00","1,134.00",12_05_2021
SHIVM,44.55,"1,206.20","1,250.00","1,206.00","1,243.10","1,225.82","14,686.00","1,228.00","18,002,328.00",178,15.10,44.00,1.23,3.65,1.39,"1,464.02","1,462.72","1,910.00","1,134.00",12_06_2021
SHIVM,47.87,"1,237.00","1,265.00","1,211.30","1,211.30","1,236.63","7,071.00","1,243.10","8,744,237.00",127,-31.80,53.70,-2.56,4.43,-2.09,"1,461.44","1,461.72","1,910.00","1,134.00",12_07_2021
SHIVM,38.94,"1,200.00","1,220.00","1,187.00","1,187.00","1,200.55","12,245.00","1,211.30","14,700,724.00",173,-24.30,33.00,-2.01,2.78,-1.14,"1,458.84","1,460.70","1,910.00","1,158.00",12_08_2021
SHIVM,39.98,"1,177.00","1,183.00","1,140.00","1,156.00","1,155.19","19,919.00","1,187.00","23,010,264.90",192,-31.00,43.00,-2.61,3.77,0.07,"1,455.49","1,459.66","1,910.00","1,140.00",12_09_2021
SHIVM,39.69,"1,177.00","1,183.00","1,140.00","1,156.00","1,155.19","19,919.00","1,187.00","23,010,264.90",192,-31.00,43.00,-2.61,3.77,0.07,"1,455.49","1,459.66","1,910.00","1,140.00",12_10_2021
SHIVM,39.69,"1,177.00","1,183.00","1,140.00","1,156.00","1,155.19","19,919.00","1,187.00","23,010,264.90",192,-31.00,43.00,-2.61,3.77,0.07,"1,455.49","1,459.66","1,910.00","1,140.00",12_11_2021
SHIVM,39.04,"1,138.00","1,156.00","1,101.00","1,104.00","1,127.85","18,492.00","1,156.00","20,856,287.00",203,-52.00,55.00,-4.50,5.00,-2.16,"1,451.03","1,458.23","1,910.00","1,101.00",12_12_2021
SHIVM,33.69,"1,082.00","1,120.00","1,027.00","1,027.90","1,063.71","37,461.00","1,104.00","39,847,488.90",334,-76.10,93.00,-6.89,9.06,-3.48,"1,446.13","1,456.50","1,910.00","1,027.00",12_13_2021
