Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SHL,48.21,267.10,280.00,261.90,276.90,275.74,"126,710.00",261.90,"34,938,641.30",597,15.00,18.10,5.73,6.91,0.42,237.25,226.09,321.00,155.00,09_01_2021
SHL,47.48,243.00,245.00,239.00,239.10,240.58,"32,533.00",243.00,"7,826,639.00",114,-3.90,6.00,-1.60,2.51,-0.62,252.32,235.43,321.00,182.00,11_03_2021
SHL,47.98,243.00,245.00,239.00,239.10,240.58,"32,533.00",243.00,"7,826,639.00",114,-3.90,6.00,-1.60,2.51,-0.62,252.32,235.43,321.00,182.00,11_05_2021
SHL,47.98,243.00,245.00,239.00,239.10,240.58,"32,533.00",243.00,"7,826,639.00",114,-3.90,6.00,-1.60,2.51,-0.62,252.32,235.43,321.00,182.00,11_06_2021
SHL,47.98,243.00,245.00,239.00,239.10,240.58,"32,533.00",243.00,"7,826,639.00",114,-3.90,6.00,-1.60,2.51,-0.62,252.32,235.43,321.00,182.00,11_07_2021
SHL,48.77,243.80,248.00,238.00,240.00,240.09,"15,880.00",239.10,"3,812,558.00",71,0.90,10.00,0.38,4.20,-0.04,252.77,235.61,321.00,182.00,11_08_2021
SHL,47.24,237.00,239.00,231.20,232.00,233.92,"19,628.00",240.00,"4,591,399.80",99,-8.00,7.80,-3.33,3.37,-0.83,253.16,235.73,321.00,182.00,11_09_2021
SHL,44.98,237.00,239.00,231.20,232.00,233.92,"19,628.00",240.00,"4,591,399.80",99,-8.00,7.80,-3.33,3.37,-0.83,253.16,235.73,321.00,182.00,11_10_2021
SHL,42.93,229.40,236.00,225.50,225.50,228.73,"25,812.00",232.00,"5,904,056.10",119,-6.50,10.50,-2.80,4.66,-1.43,253.50,235.80,321.00,182.00,11_11_2021
SHL,44.24,229.40,236.00,225.50,225.50,228.73,"25,812.00",232.00,"5,904,056.10",119,-6.50,10.50,-2.80,4.66,-1.43,253.50,235.80,321.00,182.00,11_12_2021
SHL,44.24,229.40,236.00,225.50,225.50,228.73,"25,812.00",232.00,"5,904,056.10",119,-6.50,10.50,-2.80,4.66,-1.43,253.50,235.80,321.00,182.00,11_13_2021
SHL,42.19,228.00,234.60,225.60,225.60,227.76,"23,154.00",225.50,"5,273,530.00",90,0.10,9.00,0.04,3.99,-0.96,253.82,235.88,321.00,182.00,11_14_2021
SHL,42.56,226.00,235.00,226.00,231.50,229.62,"20,769.00",225.60,"4,769,070.40",91,5.90,9.00,2.62,3.98,0.81,254.19,235.98,321.00,182.00,11_15_2021
SHL,42.82,232.00,245.00,230.00,239.90,233.82,"68,154.00",231.50,"15,935,672.40",163,8.40,15.00,3.63,6.52,2.53,254.61,236.15,321.00,182.00,11_16_2021
SHL,59.28,243.00,244.00,236.00,240.00,240.64,"63,284.00",239.90,"15,228,480.80",136,0.10,8.00,0.04,3.39,-0.27,255.02,236.33,321.00,182.00,11_17_2021
SHL,64.61,236.00,243.50,236.00,240.00,237.85,"35,804.00",240.00,"8,515,919.50",91,0.00,7.50,0.00,3.18,0.90,255.44,236.49,321.00,182.00,11_18_2021
SHL,61.62,236.00,243.50,236.00,240.00,237.85,"35,804.00",240.00,"8,515,919.50",91,0.00,7.50,0.00,3.18,0.90,255.44,236.49,321.00,182.00,11_19_2021
SHL,61.62,236.00,243.50,236.00,240.00,237.85,"35,804.00",240.00,"8,515,919.50",91,0.00,7.50,0.00,3.18,0.90,255.44,236.49,321.00,182.00,11_20_2021
SHL,56.92,242.70,243.00,234.10,234.40,236.73,"14,806.00",240.00,"3,505,025.00",66,-5.60,8.90,-2.33,3.80,-0.99,255.65,236.63,321.00,182.00,11_21_2021
SHL,45.60,238.00,242.90,235.00,237.00,238.52,"22,672.00",234.40,"5,407,723.10",81,2.60,7.90,1.11,3.36,-0.64,255.83,236.78,321.00,182.00,11_22_2021
SHL,41.37,233.50,238.00,230.00,230.10,232.52,"16,288.00",237.00,"3,787,355.00",76,-6.90,8.00,-2.91,3.48,-1.05,255.93,236.91,321.00,182.00,11_23_2021
SHL,39.51,228.00,232.00,226.10,230.00,228.87,"16,450.00",230.10,"3,764,891.00",79,-0.10,5.90,-0.04,2.61,0.49,256.05,237.02,321.00,182.00,11_24_2021
