Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SHLB,0.00,906.00,996.60,906.00,996.60,962.72,170.00,906.00,"163,662.80",23,90.60,90.60,10.00,10.00,3.40,-,-,996.60,906.00,12_20_2022
SHLB,34.21,978.30,"1,096.20",978.30,"1,096.20","1,057.77",130.00,996.60,"137,509.90",14,99.60,117.90,9.99,12.05,3.51,-,-,"1,096.20",906.00,12_21_2022
SHLB,48.70,"1,075.00","1,205.80","1,075.00","1,205.80","1,184.09",220.00,"1,096.20","260,500.50",23,109.60,130.80,10.00,12.17,1.80,-,-,"1,205.80",906.00,12_22_2022
SHLB,50.24,"1,075.00","1,205.80","1,075.00","1,205.80","1,184.09",220.00,"1,096.20","260,500.50",23,109.60,130.80,10.00,12.17,1.80,-,-,"1,205.80",906.00,12_23_2022
SHLB,50.24,"1,075.00","1,205.80","1,075.00","1,205.80","1,184.09",220.00,"1,096.20","260,500.50",23,109.60,130.80,10.00,12.17,1.80,-,-,"1,205.80",906.00,12_24_2022
SHLB,50.24,"1,075.00","1,205.80","1,075.00","1,205.80","1,184.09",220.00,"1,096.20","260,500.50",23,109.60,130.80,10.00,12.17,1.80,-,-,"1,205.80",906.00,12_25_2022
SHLB,50.08,"1,205.80","1,326.30","1,205.80","1,326.30","1,293.49",130.00,"1,205.80","168,153.50",14,120.50,120.50,9.99,9.99,2.47,-,-,"1,326.30",906.00,12_26_2022
SHLB,49.41,"1,352.80","1,458.90","1,352.80","1,458.90","1,441.55",150.00,"1,326.30","216,232.00",15,132.60,106.10,10.00,7.84,1.19,-,-,"1,458.90",906.00,12_27_2022
SHLB,54.18,"1,488.00","1,604.70","1,488.00","1,604.70","1,587.86",170.00,"1,458.90","269,937.00",17,145.80,116.70,9.99,7.84,1.05,-,-,"1,604.70",906.00,12_28_2022
SHLB,50.03,"1,604.60","1,765.10","1,604.60","1,765.10","1,746.07",250.00,"1,604.70","436,517.00",25,160.40,160.50,10.00,10.00,1.08,-,-,"1,765.10",906.00,12_29_2022
SHLB,50.32,"1,604.60","1,765.10","1,604.60","1,765.10","1,746.07",250.00,"1,604.70","436,517.00",25,160.40,160.50,10.00,10.00,1.08,-,-,"1,765.10",906.00,12_30_2022
SHLB,50.32,"1,604.60","1,765.10","1,604.60","1,765.10","1,746.07",250.00,"1,604.70","436,517.00",25,160.40,160.50,10.00,10.00,1.08,-,-,"1,765.10",906.00,12_31_2022
SHLB,51.50,"1,800.00","1,941.60","1,800.00","1,941.60","1,931.67",350.00,"1,765.10","676,084.00",35,176.50,141.60,10.00,7.87,0.51,-,-,"1,941.60",906.00,01_01_2023
SHLB,49.62,"1,980.40","2,135.70","1,980.40","2,135.70","2,134.61","3,500.00","1,941.60","7,471,146.00",325,194.10,155.30,10.00,7.84,0.05,-,-,"2,135.70",906.00,01_02_2023
SHLB,52.53,"2,178.40","2,349.20","2,075.00","2,203.00","2,183.65","19,859.00","2,135.70","43,365,012.60","1,609",67.30,274.20,3.15,13.21,0.88,-,-,"2,349.20",906.00,01_03_2023
SHLB,54.16,"2,203.00","2,215.00","2,150.00","2,215.00","2,170.21","12,332.00","2,203.00","26,763,013.00","1,101",12.00,65.00,0.54,3.02,2.02,-,-,"2,349.20",906.00,01_04_2023
SHLB,53.07,"2,215.00","2,436.50","2,215.00","2,436.50","2,339.72","5,240.00","2,215.00","12,260,149.00",421,221.50,221.50,10.00,10.00,3.97,-,-,"2,436.50",906.00,01_05_2023
SHLB,49.43,"2,215.00","2,436.50","2,215.00","2,436.50","2,339.72","5,240.00","2,215.00","12,260,149.00",421,221.50,221.50,10.00,10.00,3.97,-,-,"2,436.50",906.00,01_06_2023
SHLB,49.43,"2,215.00","2,436.50","2,215.00","2,436.50","2,339.72","5,240.00","2,215.00","12,260,149.00",421,221.50,221.50,10.00,10.00,3.97,-,-,"2,436.50",906.00,01_07_2023
SHLB,50.63,"2,485.20","2,485.20","2,332.00","2,336.50","2,382.52","11,098.00","2,436.50","26,441,196.00",530,-100.00,153.20,-4.10,6.57,-1.97,-,-,"2,485.20",906.00,01_08_2023
SHLB,50.26,"2,292.20","2,355.00","2,292.20","2,312.00","2,324.41","11,957.00","2,336.50","27,792,911.00",583,-24.50,62.80,-1.05,2.74,-0.54,-,-,"2,485.20",906.00,01_09_2023
SHLB,50.76,"2,281.00","2,356.00","2,210.00","2,244.00","2,278.63","7,907.00","2,312.00","18,017,095.00",490,-68.00,146.00,-2.94,6.61,-1.54,-,-,"2,485.20",906.00,01_10_2023
SHLB,48.39,"2,281.00","2,356.00","2,210.00","2,244.00","2,278.63","7,907.00","2,312.00","18,017,095.00",490,-68.00,146.00,-2.94,6.61,-1.54,-,-,"2,485.20",906.00,01_11_2023
SHLB,48.42,"2,280.00","2,302.00","2,231.00","2,289.00","2,265.77","7,738.00","2,244.00","17,532,512.20",435,45.00,71.00,2.01,3.18,1.01,-,-,"2,485.20",906.00,01_12_2023
SHLB,48.41,"2,280.00","2,302.00","2,231.00","2,289.00","2,265.77","7,738.00","2,244.00","17,532,512.20",435,45.00,71.00,2.01,3.18,1.01,-,-,"2,485.20",906.00,01_13_2023
SHLB,48.41,"2,280.00","2,302.00","2,231.00","2,289.00","2,265.77","7,738.00","2,244.00","17,532,512.20",435,45.00,71.00,2.01,3.18,1.01,-,-,"2,485.20",906.00,01_14_2023
SHLB,48.41,"2,280.00","2,302.00","2,231.00","2,289.00","2,265.77","7,738.00","2,244.00","17,532,512.20",435,45.00,71.00,2.01,3.18,1.01,-,-,"2,485.20",906.00,01_15_2023
