Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SICL,45.06,"1,930.00","1,951.00","1,910.00","1,911.00","1,928.75","19,160.00","1,930.00","36,954,924.50",349,-19.00,41.00,-0.98,2.15,-0.93,"2,015.17","2,075.49","3,021.00","1,282.00",09_01_2021
SICL,54.38,"1,861.00","1,861.00","1,832.00","1,846.00","1,847.00","9,177.00","1,825.00","16,949,910.00",153,21.00,29.00,1.15,1.58,-0.05,"1,949.43","2,039.78","3,021.00","1,372.00",11_03_2021
SICL,55.28,"1,861.00","1,861.00","1,832.00","1,846.00","1,847.00","9,177.00","1,825.00","16,949,910.00",153,21.00,29.00,1.15,1.58,-0.05,"1,949.43","2,039.78","3,021.00","1,372.00",11_05_2021
SICL,55.28,"1,861.00","1,861.00","1,832.00","1,846.00","1,847.00","9,177.00","1,825.00","16,949,910.00",153,21.00,29.00,1.15,1.58,-0.05,"1,949.43","2,039.78","3,021.00","1,372.00",11_06_2021
SICL,55.28,"1,861.00","1,861.00","1,832.00","1,846.00","1,847.00","9,177.00","1,825.00","16,949,910.00",153,21.00,29.00,1.15,1.58,-0.05,"1,949.43","2,039.78","3,021.00","1,372.00",11_07_2021
SICL,56.06,"1,846.10","1,857.00","1,800.00","1,815.00","1,821.73","9,148.00","1,846.00","16,665,143.40",133,-31.00,57.00,-1.68,3.17,-0.37,"1,948.82","2,035.59","3,021.00","1,372.00",11_08_2021
SICL,50.34,"1,800.00","1,800.00","1,747.00","1,765.20","1,766.28","13,448.00","1,815.00","23,752,873.80",267,-49.80,53.00,-2.74,3.03,-0.06,"1,948.03","2,030.23","3,021.00","1,401.00",11_09_2021
SICL,47.35,"1,800.00","1,800.00","1,747.00","1,765.20","1,766.28","13,448.00","1,815.00","23,752,873.80",267,-49.80,53.00,-2.74,3.03,-0.06,"1,948.03","2,030.23","3,021.00","1,401.00",11_10_2021
SICL,45.30,"1,743.00","1,790.00","1,700.00","1,717.00","1,720.41","10,160.00","1,765.20","17,479,408.30",197,-48.20,90.00,-2.73,5.29,-0.20,"1,946.63","2,024.88","3,021.00","1,417.00",11_11_2021
SICL,43.50,"1,743.00","1,790.00","1,700.00","1,717.00","1,720.41","10,160.00","1,765.20","17,479,408.30",197,-48.20,90.00,-2.73,5.29,-0.20,"1,946.63","2,024.88","3,021.00","1,417.00",11_12_2021
SICL,43.50,"1,743.00","1,790.00","1,700.00","1,717.00","1,720.41","10,160.00","1,765.20","17,479,408.30",197,-48.20,90.00,-2.73,5.29,-0.20,"1,946.63","2,024.88","3,021.00","1,417.00",11_13_2021
SICL,41.45,"1,730.00","1,740.00","1,705.00","1,729.10","1,727.25","8,269.00","1,717.00","14,282,611.30",127,12.10,35.00,0.70,2.05,0.11,"1,945.12","2,019.87","3,021.00","1,475.00",11_14_2021
SICL,41.76,"1,763.00","1,763.00","1,735.00","1,750.00","1,743.51","6,627.00","1,729.10","11,554,259.00",108,20.90,28.00,1.21,1.61,0.37,"1,943.86","2,014.32","3,021.00","1,475.00",11_15_2021
SICL,50.02,"1,750.00","1,756.90","1,715.00","1,735.00","1,738.36","9,486.00","1,750.00","16,490,085.00",163,-15.00,41.90,-0.86,2.44,-0.19,"1,942.19","2,009.07","3,021.00","1,475.00",11_16_2021
SICL,42.89,"1,750.00","1,784.00","1,750.00","1,759.00","1,766.23","6,401.00","1,735.00","11,305,652.40",132,24.00,34.00,1.38,1.94,-0.41,"1,939.12","2,004.16","3,021.00","1,475.00",11_17_2021
SICL,58.05,"1,730.10","1,764.00","1,730.10","1,736.00","1,743.92","8,037.00","1,759.00","14,015,851.50",137,-23.00,33.90,-1.31,1.96,-0.46,"1,935.08","1,998.81","3,021.00","1,475.00",11_18_2021
SICL,49.55,"1,730.10","1,764.00","1,730.10","1,736.00","1,743.92","8,037.00","1,759.00","14,015,851.50",137,-23.00,33.90,-1.31,1.96,-0.46,"1,935.08","1,998.81","3,021.00","1,475.00",11_19_2021
SICL,49.55,"1,730.10","1,764.00","1,730.10","1,736.00","1,743.92","8,037.00","1,759.00","14,015,851.50",137,-23.00,33.90,-1.31,1.96,-0.46,"1,935.08","1,998.81","3,021.00","1,475.00",11_20_2021
SICL,44.85,"1,760.00","1,760.00","1,730.00","1,736.20","1,739.52","7,387.00","1,736.00","12,849,816.50",121,0.20,30.00,0.01,1.73,-0.19,"1,931.23","1,993.06","3,021.00","1,500.00",11_21_2021
SICL,41.39,"1,760.00","1,760.00","1,740.00","1,740.00","1,749.76","6,531.00","1,736.20","11,427,678.50",118,3.80,20.00,0.22,1.15,-0.56,"1,927.83","1,987.37","3,021.00","1,500.00",11_22_2021
SICL,44.95,"1,730.00","1,740.00","1,713.00","1,722.00","1,726.19","7,719.00","1,740.00","13,324,457.10",149,-18.00,27.00,-1.03,1.58,-0.24,"1,924.27","1,981.75","3,021.00","1,500.00",11_23_2021
