Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SIFC,58.60,682.00,709.90,650.00,650.00,678.03,"97,412.00",682.00,"66,048,434.40",660,-32.00,59.90,-4.69,9.22,-4.31,386.94,329.82,741.00,151.00,09_01_2021
SIFC,61.02,575.00,575.00,542.00,542.00,553.64,"30,708.00",565.00,"17,001,071.80",193,-23.00,33.00,-4.07,6.09,-2.15,482.09,400.74,741.00,174.00,11_03_2021
SIFC,56.84,575.00,575.00,542.00,542.00,553.64,"30,708.00",565.00,"17,001,071.80",193,-23.00,33.00,-4.07,6.09,-2.15,482.09,400.74,741.00,174.00,11_05_2021
SIFC,56.84,575.00,575.00,542.00,542.00,553.64,"30,708.00",565.00,"17,001,071.80",193,-23.00,33.00,-4.07,6.09,-2.15,482.09,400.74,741.00,174.00,11_06_2021
SIFC,56.84,575.00,575.00,542.00,542.00,553.64,"30,708.00",565.00,"17,001,071.80",193,-23.00,33.00,-4.07,6.09,-2.15,482.09,400.74,741.00,174.00,11_07_2021
SIFC,57.63,552.80,561.90,545.00,549.00,553.56,"25,559.00",542.00,"14,148,388.70",167,7.00,16.90,1.29,3.10,-0.83,484.57,402.54,741.00,174.00,11_08_2021
SIFC,54.90,542.00,557.00,516.00,517.00,529.38,"41,647.00",549.00,"22,046,956.60",310,-32.00,41.00,-5.83,7.95,-2.39,486.82,404.18,741.00,174.00,11_09_2021
SIFC,53.12,542.00,557.00,516.00,517.00,529.38,"41,647.00",549.00,"22,046,956.60",310,-32.00,41.00,-5.83,7.95,-2.39,486.82,404.18,741.00,174.00,11_10_2021
SIFC,51.07,506.70,520.00,488.00,489.00,502.28,"53,202.00",517.00,"26,722,141.50",361,-28.00,32.00,-5.42,6.56,-2.72,488.83,405.63,741.00,174.00,11_11_2021
SIFC,52.38,506.70,520.00,488.00,489.00,502.28,"53,202.00",517.00,"26,722,141.50",361,-28.00,32.00,-5.42,6.56,-2.72,488.83,405.63,741.00,174.00,11_12_2021
SIFC,52.38,506.70,520.00,488.00,489.00,502.28,"53,202.00",517.00,"26,722,141.50",361,-28.00,32.00,-5.42,6.56,-2.72,488.83,405.63,741.00,174.00,11_13_2021
