Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SIKLES,0.00,350.50,364.60,315.50,321.00,326.74,"59,590.00",350.50,"19,470,722.00","3,996",-29.50,49.10,-8.42,15.56,-1.79,-,-,364.60,315.50,11_15_2022
SIKLES,36.12,327.40,353.10,327.40,353.10,351.39,"23,650.00",321.00,"8,310,349.00","1,209",32.10,25.70,10.00,7.85,0.48,-,-,364.60,315.50,11_16_2022
SIKLES,48.54,360.10,388.40,360.10,388.40,387.83,"3,150.00",353.10,"1,221,660.00",315,35.30,28.30,10.00,7.86,0.15,-,-,388.40,315.50,11_17_2022
SIKLES,45.85,360.10,388.40,360.10,388.40,387.83,"3,150.00",353.10,"1,221,660.00",315,35.30,28.30,10.00,7.86,0.15,-,-,388.40,315.50,11_18_2022
SIKLES,45.85,360.10,388.40,360.10,388.40,387.83,"3,150.00",353.10,"1,221,660.00",315,35.30,28.30,10.00,7.86,0.15,-,-,388.40,315.50,11_19_2022
SIKLES,45.85,360.10,388.40,360.10,388.40,387.83,"3,150.00",353.10,"1,221,660.00",315,35.30,28.30,10.00,7.86,0.15,-,-,388.40,315.50,11_20_2022
SIKLES,45.85,360.10,388.40,360.10,388.40,387.83,"3,150.00",353.10,"1,221,660.00",315,35.30,28.30,10.00,7.86,0.15,-,-,388.40,315.50,11_21_2022
SIKLES,48.76,396.10,396.10,355.10,371.00,373.30,"49,629.00",388.40,"18,526,392.30","1,740",-17.40,41.00,-4.48,11.55,-0.62,-,-,396.10,315.50,11_22_2022
SIKLES,54.99,365.00,371.00,365.00,369.00,367.50,"17,258.00",371.00,"6,342,255.60",759,-2.00,6.00,-0.54,1.64,0.41,-,-,396.10,315.50,11_23_2022
SIKLES,49.92,364.00,370.00,357.10,369.00,364.29,"17,640.00",369.00,"6,426,020.00",593,0.00,12.90,0.00,3.61,1.28,-,-,396.10,315.50,11_24_2022
SIKLES,42.40,364.00,370.00,357.10,369.00,364.29,"17,640.00",369.00,"6,426,020.00",593,0.00,12.90,0.00,3.61,1.28,-,-,396.10,315.50,11_25_2022
SIKLES,42.40,364.00,370.00,357.10,369.00,364.29,"17,640.00",369.00,"6,426,020.00",593,0.00,12.90,0.00,3.61,1.28,-,-,396.10,315.50,11_26_2022
SIKLES,45.85,369.00,372.00,362.10,368.70,365.75,"15,542.00",369.00,"5,684,490.70",620,-0.30,9.90,-0.08,2.73,0.80,-,-,396.10,315.50,11_27_2022
SIKLES,36.60,365.00,376.40,365.00,365.00,369.60,"9,213.00",368.70,"3,405,085.10",339,-3.70,11.40,-1.00,3.12,-1.26,-,-,396.10,315.50,11_28_2022
SIKLES,39.06,362.60,366.80,362.60,365.00,364.27,"7,570.00",365.00,"2,757,514.00",322,0.00,4.20,0.00,1.16,0.20,-,-,396.10,315.50,11_29_2022
SIKLES,37.01,362.60,369.00,358.00,360.00,362.50,"5,590.00",365.00,"2,026,370.00",259,-5.00,11.00,-1.37,3.07,-0.69,-,-,396.10,315.50,11_30_2022
SIKLES,31.93,360.00,360.30,354.00,360.30,357.32,"6,355.00",360.00,"2,270,793.00",234,0.30,6.30,0.08,1.78,0.83,-,-,396.10,315.50,12_01_2022
SIKLES,32.30,360.00,360.30,354.00,360.30,357.32,"6,355.00",360.00,"2,270,793.00",234,0.30,6.30,0.08,1.78,0.83,-,-,396.10,315.50,12_02_2022
SIKLES,32.30,360.00,360.30,354.00,360.30,357.32,"6,355.00",360.00,"2,270,793.00",234,0.30,6.30,0.08,1.78,0.83,-,-,396.10,315.50,12_03_2022
SIKLES,33.63,361.00,382.00,361.00,373.30,375.32,"14,335.00",360.30,"5,380,183.00",459,13.00,21.00,3.61,5.82,-0.54,-,-,396.10,315.50,12_04_2022
SIKLES,43.45,366.00,382.00,366.00,370.10,370.47,"20,311.00",373.30,"7,524,640.20",286,-3.20,16.00,-0.86,4.37,-0.10,-,-,396.10,315.50,12_05_2022
SIKLES,44.77,364.00,372.00,361.30,365.00,365.69,"7,995.00",370.10,"2,923,689.00",198,-5.10,10.70,-1.38,2.96,-0.19,-,-,396.10,315.50,12_06_2022
SIKLES,39.56,360.10,372.30,359.00,365.00,363.24,"12,303.00",365.00,"4,468,939.00",210,0.00,13.30,0.00,3.70,0.48,-,-,396.10,315.50,12_07_2022
SIKLES,38.19,360.10,372.30,359.00,365.00,363.24,"12,303.00",365.00,"4,468,939.00",210,0.00,13.30,0.00,3.70,0.48,-,-,396.10,315.50,12_08_2022
SIKLES,38.19,360.10,372.30,359.00,365.00,363.24,"12,303.00",365.00,"4,468,939.00",210,0.00,13.30,0.00,3.70,0.48,-,-,396.10,315.50,12_09_2022
SIKLES,38.19,360.10,372.30,359.00,365.00,363.24,"12,303.00",365.00,"4,468,939.00",210,0.00,13.30,0.00,3.70,0.48,-,-,396.10,315.50,12_10_2022
SIKLES,39.61,359.10,370.90,358.00,364.00,363.66,"17,457.00",365.00,"6,348,353.20",346,-1.00,12.90,-0.27,3.60,0.09,-,-,396.10,315.50,12_11_2022
SIKLES,36.67,357.00,373.00,357.00,373.00,366.79,"12,190.00",364.00,"4,471,228.70",331,9.00,16.00,2.47,4.48,1.66,-,-,396.10,315.50,12_12_2022
SIKLES,38.88,370.00,379.90,370.00,378.00,373.58,"12,480.00",373.00,"4,662,339.00",225,5.00,9.90,1.34,2.68,1.17,-,-,396.10,315.50,12_13_2022
SIKLES,41.54,370.50,380.00,370.50,379.00,376.84,"16,964.00",378.00,"6,392,751.00",265,1.00,9.50,0.26,2.56,0.57,-,-,396.10,315.50,12_14_2022
SIKLES,40.62,375.00,382.00,373.40,374.30,375.52,"6,711.00",379.00,"2,520,092.40",268,-4.70,8.60,-1.24,2.30,-0.33,-,-,396.10,315.50,12_15_2022
SIKLES,35.70,375.00,382.00,373.40,374.30,375.52,"6,711.00",379.00,"2,520,092.40",268,-4.70,8.60,-1.24,2.30,-0.33,-,-,396.10,315.50,12_16_2022
SIKLES,35.70,375.00,382.00,373.40,374.30,375.52,"6,711.00",379.00,"2,520,092.40",268,-4.70,8.60,-1.24,2.30,-0.33,-,-,396.10,315.50,12_17_2022
SIKLES,35.48,367.00,370.20,359.80,370.00,367.50,"6,700.00",374.30,"2,462,241.00",254,-4.30,10.40,-1.15,2.89,0.68,-,-,396.10,315.50,12_18_2022
SIKLES,31.70,364.00,370.00,360.10,370.00,364.19,"5,916.00",370.00,"2,154,564.00",205,0.00,9.90,0.00,2.75,1.57,-,-,396.10,315.50,12_19_2022
SIKLES,29.52,363.00,375.00,363.00,371.90,371.30,"5,703.00",370.00,"2,117,527.30",210,1.90,12.00,0.51,3.31,0.16,-,-,396.10,315.50,12_20_2022
SIKLES,31.47,364.50,369.00,364.50,366.00,365.37,"2,070.00",371.90,"756,321.00",115,-5.90,4.50,-1.59,1.23,0.17,-,-,396.10,315.50,12_21_2022
SIKLES,21.96,361.00,368.00,361.00,367.00,364.11,"5,740.00",366.00,"2,090,017.00",148,1.00,7.00,0.27,1.94,0.79,-,-,396.10,315.50,12_22_2022
SIKLES,25.60,361.00,368.00,361.00,367.00,364.11,"5,740.00",366.00,"2,090,017.00",148,1.00,7.00,0.27,1.94,0.79,-,-,396.10,315.50,12_23_2022
SIKLES,25.60,361.00,368.00,361.00,367.00,364.11,"5,740.00",366.00,"2,090,017.00",148,1.00,7.00,0.27,1.94,0.79,-,-,396.10,315.50,12_24_2022
SIKLES,25.60,361.00,368.00,361.00,367.00,364.11,"5,740.00",366.00,"2,090,017.00",148,1.00,7.00,0.27,1.94,0.79,-,-,396.10,315.50,12_25_2022
SIKLES,25.44,362.10,380.00,362.10,376.00,375.91,"5,965.00",367.00,"2,242,297.00",188,9.00,17.90,2.45,4.94,0.02,-,-,396.10,315.50,12_26_2022
SIKLES,44.53,376.00,388.50,371.40,376.70,380.52,"16,396.00",376.00,"6,238,980.00",270,0.70,17.10,0.19,4.60,-1.01,-,-,396.10,315.50,12_27_2022
SIKLES,48.91,371.20,384.20,371.20,378.00,379.75,"6,903.00",376.70,"2,621,414.80",168,1.30,13.00,0.35,3.50,-0.46,-,-,396.10,315.50,12_28_2022
SIKLES,48.03,385.00,403.90,377.30,402.80,393.42,"16,547.00",378.00,"6,509,954.00",312,24.80,26.60,6.56,7.05,2.33,-,-,403.90,315.50,12_29_2022
SIKLES,53.39,385.00,403.90,377.30,402.80,393.42,"16,547.00",378.00,"6,509,954.00",312,24.80,26.60,6.56,7.05,2.33,-,-,403.90,315.50,12_30_2022
SIKLES,53.39,385.00,403.90,377.30,402.80,393.42,"16,547.00",378.00,"6,509,954.00",312,24.80,26.60,6.56,7.05,2.33,-,-,403.90,315.50,12_31_2022
SIKLES,54.56,408.00,441.00,402.00,425.00,420.26,"22,426.00",402.80,"9,424,720.80",397,22.20,39.00,5.51,9.70,1.12,-,-,441.00,315.50,01_01_2023
SIKLES,54.56,416.50,445.00,410.00,437.00,428.64,"11,666.00",425.00,"5,000,563.40",324,12.00,35.00,2.82,8.54,1.91,-,-,445.00,315.50,01_02_2023
SIKLES,53.38,429.00,445.00,423.10,427.00,431.36,"13,939.00",437.00,"6,012,699.00",316,-10.00,21.90,-2.29,5.18,-1.02,-,-,445.00,315.50,01_03_2023
SIKLES,57.20,420.60,448.00,420.60,441.00,433.53,"13,464.00",427.00,"5,837,090.60",336,14.00,27.40,3.28,6.51,1.69,-,-,448.00,315.50,01_04_2023
SIKLES,53.57,433.00,460.00,426.30,452.00,443.62,"28,337.00",441.00,"12,570,871.40",373,11.00,33.70,2.49,7.91,1.85,-,-,460.00,315.50,01_05_2023
SIKLES,55.74,433.00,460.00,426.30,452.00,443.62,"28,337.00",441.00,"12,570,871.40",373,11.00,33.70,2.49,7.91,1.85,-,-,460.00,315.50,01_06_2023
SIKLES,55.74,433.00,460.00,426.30,452.00,443.62,"28,337.00",441.00,"12,570,871.40",373,11.00,33.70,2.49,7.91,1.85,-,-,460.00,315.50,01_07_2023
SIKLES,56.94,449.90,469.00,437.00,452.00,447.39,"13,318.00",452.00,"5,958,321.50",335,0.00,32.00,0.00,7.32,1.02,-,-,469.00,315.50,01_08_2023
SIKLES,49.26,445.00,470.20,445.00,460.00,459.99,"23,073.00",452.00,"10,613,260.00",392,8.00,25.20,1.77,5.66,0.00,-,-,470.20,315.50,01_09_2023
