Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SINDU,52.13,550.00,560.00,532.10,538.00,546.35,"34,286.00",542.00,"18,732,282.80",279,-4.00,27.90,-0.74,5.24,-1.55,342.62,286.54,618.00,121.00,09_01_2021
SINDU,67.04,478.00,490.00,470.00,477.00,478.14,"13,898.00",477.10,"6,645,180.00",89,-0.10,20.00,-0.02,4.26,-0.24,423.99,352.16,618.00,145.00,11_03_2021
SINDU,59.49,478.00,490.00,470.00,477.00,478.14,"13,898.00",477.10,"6,645,180.00",89,-0.10,20.00,-0.02,4.26,-0.24,423.99,352.16,618.00,145.00,11_05_2021
SINDU,59.49,478.00,490.00,470.00,477.00,478.14,"13,898.00",477.10,"6,645,180.00",89,-0.10,20.00,-0.02,4.26,-0.24,423.99,352.16,618.00,145.00,11_06_2021
SINDU,59.49,478.00,490.00,470.00,477.00,478.14,"13,898.00",477.10,"6,645,180.00",89,-0.10,20.00,-0.02,4.26,-0.24,423.99,352.16,618.00,145.00,11_07_2021
SINDU,60.28,477.00,477.00,460.00,462.00,464.37,"8,470.00",477.00,"3,933,224.50",74,-15.00,17.00,-3.14,3.70,-0.51,425.82,353.67,618.00,145.00,11_08_2021
SINDU,47.71,454.00,466.00,426.00,444.00,444.77,"27,786.00",462.00,"12,358,510.50",224,-18.00,40.00,-3.90,9.39,-0.17,427.53,355.09,618.00,145.00,11_09_2021
SINDU,50.07,454.00,466.00,426.00,444.00,444.77,"27,786.00",462.00,"12,358,510.50",224,-18.00,40.00,-3.90,9.39,-0.17,427.53,355.09,618.00,145.00,11_10_2021
SINDU,48.02,435.20,452.00,427.10,429.00,434.71,"18,322.00",444.00,"7,964,828.60",156,-15.00,24.90,-3.38,5.83,-1.33,429.10,356.36,618.00,145.00,11_11_2021
SINDU,44.98,435.20,452.00,427.10,429.00,434.71,"18,322.00",444.00,"7,964,828.60",156,-15.00,24.90,-3.38,5.83,-1.33,429.10,356.36,618.00,145.00,11_12_2021
SINDU,44.98,435.20,452.00,427.10,429.00,434.71,"18,322.00",444.00,"7,964,828.60",156,-15.00,24.90,-3.38,5.83,-1.33,429.10,356.36,618.00,145.00,11_13_2021
SINDU,42.93,421.10,441.00,421.00,428.00,431.26,"15,520.00",429.00,"6,693,174.90",137,-1.00,20.00,-0.23,4.75,-0.76,430.65,357.66,618.00,145.00,11_14_2021
SINDU,42.92,436.50,459.00,436.50,458.00,451.61,"18,351.00",428.00,"8,287,466.00",151,30.00,22.50,7.01,5.15,1.40,432.44,359.14,618.00,145.00,11_15_2021
SINDU,46.22,458.00,464.00,450.00,463.00,459.28,"11,559.00",458.00,"5,308,817.00",113,5.00,14.00,1.09,3.11,0.80,434.15,360.65,618.00,145.00,11_16_2021
SINDU,53.91,466.00,466.10,445.00,449.00,459.67,"23,863.00",463.00,"10,969,048.90",170,-14.00,21.10,-3.02,4.74,-2.38,435.59,362.08,618.00,145.00,11_17_2021
SINDU,62.29,441.00,457.00,435.00,438.90,443.68,"22,706.00",449.00,"10,074,220.00",195,-10.10,22.00,-2.25,5.06,-1.09,436.93,363.43,618.00,145.00,11_18_2021
SINDU,56.34,441.00,457.00,435.00,438.90,443.68,"22,706.00",449.00,"10,074,220.00",195,-10.10,22.00,-2.25,5.06,-1.09,436.93,363.43,618.00,145.00,11_19_2021
SINDU,56.34,441.00,457.00,435.00,438.90,443.68,"22,706.00",449.00,"10,074,220.00",195,-10.10,22.00,-2.25,5.06,-1.09,436.93,363.43,618.00,145.00,11_20_2021
SINDU,51.64,447.00,447.60,433.00,435.10,436.30,"16,903.00",438.90,"7,374,795.70",104,-3.80,14.60,-0.87,3.37,-0.28,438.11,364.78,618.00,145.00,11_21_2021
SINDU,40.29,439.00,446.90,428.10,437.90,438.45,"15,163.00",435.10,"6,648,246.10",106,2.80,18.80,0.64,4.39,-0.13,439.43,366.14,618.00,145.00,11_22_2021
SINDU,40.79,430.10,434.00,424.00,429.00,427.79,"11,730.00",437.90,"5,017,929.10",106,-8.90,10.00,-2.03,2.36,0.28,440.62,367.42,618.00,145.00,11_23_2021
SINDU,40.05,420.80,451.00,415.10,439.90,426.90,"12,416.00",429.00,"5,300,438.90",119,10.90,35.90,2.54,8.65,2.95,441.72,368.78,618.00,145.00,11_24_2021
SINDU,46.22,448.60,448.60,424.00,432.90,429.75,"13,872.00",439.90,"5,961,423.80",96,-7.00,24.60,-1.59,5.80,0.73,442.86,370.11,618.00,145.00,11_25_2021
SINDU,42.42,448.60,448.60,424.00,432.90,429.75,"13,872.00",439.90,"5,961,423.80",96,-7.00,24.60,-1.59,5.80,0.73,442.86,370.11,618.00,145.00,11_26_2021
SINDU,42.42,448.60,448.60,424.00,432.90,429.75,"13,872.00",439.90,"5,961,423.80",96,-7.00,24.60,-1.59,5.80,0.73,442.86,370.11,618.00,145.00,11_27_2021
SINDU,39.52,425.00,430.00,413.00,415.00,418.12,"15,338.00",432.90,"6,413,117.70",125,-17.90,17.00,-4.13,4.12,-0.75,443.85,371.35,618.00,145.00,11_28_2021
SINDU,41.14,410.00,429.40,407.00,412.00,416.29,"9,247.00",415.00,"3,849,420.00",73,-3.00,22.40,-0.72,5.50,-1.04,444.75,372.55,618.00,145.00,11_29_2021
SINDU,40.89,420.20,420.20,407.00,414.00,411.03,"13,163.00",412.00,"5,410,323.00",89,2.00,13.20,0.49,3.24,0.72,445.42,373.79,618.00,145.00,11_30_2021
SINDU,38.87,412.00,417.80,410.00,411.50,413.61,"7,847.00",414.00,"3,245,609.20",65,-2.50,7.80,-0.60,1.90,-0.51,446.14,375.05,618.00,145.00,12_01_2021
SINDU,43.66,412.00,418.00,386.20,396.00,398.72,"19,842.00",411.50,"7,911,433.60",167,-15.50,31.80,-3.77,8.23,-0.69,446.75,376.19,618.00,145.00,12_02_2021
SINDU,48.08,412.00,418.00,386.20,396.00,398.72,"19,842.00",411.50,"7,911,433.60",167,-15.50,31.80,-3.77,8.23,-0.69,446.75,376.19,618.00,145.00,12_03_2021
SINDU,48.08,412.00,418.00,386.20,396.00,398.72,"19,842.00",411.50,"7,911,433.60",167,-15.50,31.80,-3.77,8.23,-0.69,446.75,376.19,618.00,145.00,12_04_2021
SINDU,47.18,396.00,400.00,372.40,374.10,382.81,"14,746.00",396.00,"5,644,916.50",132,-21.90,27.60,-5.53,7.41,-2.33,447.01,377.25,618.00,145.00,12_05_2021
SINDU,40.90,381.50,408.00,357.00,397.80,379.45,"24,046.00",374.10,"9,124,149.40",178,23.70,51.00,6.34,14.29,4.61,447.36,378.44,618.00,145.00,12_06_2021
SINDU,48.27,405.70,410.00,378.00,378.00,391.55,"14,298.00",397.80,"5,598,349.90",135,-19.80,32.00,-4.98,8.47,-3.58,447.63,379.48,618.00,145.00,12_07_2021
SINDU,40.93,370.50,391.00,365.00,372.00,371.85,"18,107.00",378.00,"6,733,138.50",118,-6.00,26.00,-1.59,7.12,0.04,447.74,380.52,618.00,145.00,12_08_2021
SINDU,41.81,372.00,372.00,365.00,367.00,367.67,"7,349.00",372.00,"2,702,025.00",84,-5.00,7.00,-1.34,1.92,-0.18,447.51,381.53,618.00,145.00,12_09_2021
SINDU,41.54,372.00,372.00,365.00,367.00,367.67,"7,349.00",372.00,"2,702,025.00",84,-5.00,7.00,-1.34,1.92,-0.18,447.51,381.53,618.00,145.00,12_10_2021
SINDU,41.54,372.00,372.00,365.00,367.00,367.67,"7,349.00",372.00,"2,702,025.00",84,-5.00,7.00,-1.34,1.92,-0.18,447.51,381.53,618.00,145.00,12_11_2021
SINDU,40.89,362.00,362.00,341.00,342.00,347.61,"15,953.00",367.00,"5,545,418.60",130,-25.00,21.00,-6.81,6.16,-1.64,447.25,382.40,618.00,145.00,12_12_2021
SINDU,32.40,336.90,348.80,315.00,322.00,322.58,"16,032.00",342.00,"5,171,544.50",124,-20.00,33.80,-5.85,10.73,-0.18,446.68,383.20,618.00,145.00,12_13_2021
SINDU,37.26,328.40,350.00,321.50,350.00,338.88,"6,440.00",322.00,"2,182,358.00",64,28.00,28.50,8.70,8.86,3.18,446.02,384.14,618.00,145.00,12_14_2021
SINDU,39.93,357.00,375.00,338.00,350.00,356.46,"19,387.00",350.00,"6,910,679.00",176,0.00,37.00,0.00,10.95,-1.85,445.20,385.08,618.00,145.00,12_15_2021
SINDU,43.23,350.00,350.00,338.00,344.00,342.91,"4,411.00",350.00,"1,512,577.00",49,-6.00,12.00,-1.71,3.55,0.32,444.56,385.99,618.00,145.00,12_16_2021
SINDU,41.73,350.00,350.00,338.00,344.00,342.91,"4,411.00",350.00,"1,512,577.00",49,-6.00,12.00,-1.71,3.55,0.32,444.56,385.99,618.00,145.00,12_17_2021
SINDU,41.73,350.00,350.00,338.00,344.00,342.91,"4,411.00",350.00,"1,512,577.00",49,-6.00,12.00,-1.71,3.55,0.32,444.56,385.99,618.00,145.00,12_18_2021
SINDU,41.73,350.00,350.00,338.00,344.00,342.91,"4,411.00",350.00,"1,512,577.00",49,-6.00,12.00,-1.71,3.55,0.32,444.56,385.99,618.00,145.00,12_19_2021
SINDU,39.04,338.00,343.90,330.00,343.00,336.02,"3,500.00",344.00,"1,176,086.50",36,-1.00,13.90,-0.29,4.21,2.03,444.10,386.88,618.00,145.00,12_20_2021
SINDU,42.37,343.00,349.00,340.00,348.00,345.25,"5,860.00",343.00,"2,023,190.00",48,5.00,9.00,1.46,2.65,0.79,443.60,387.77,618.00,145.00,12_21_2021
SINDU,43.28,354.00,370.00,354.00,364.50,362.24,"12,722.00",348.00,"4,608,378.00",103,16.50,16.00,4.74,4.52,0.62,443.37,388.77,618.00,147.00,12_22_2021
SINDU,52.03,366.00,370.00,348.20,348.20,357.37,"11,009.00",364.50,"3,934,293.60",100,-16.30,21.80,-4.47,6.26,-2.63,443.24,389.67,618.00,147.00,12_23_2021
SINDU,50.54,366.00,370.00,348.20,348.20,357.37,"11,009.00",364.50,"3,934,293.60",100,-16.30,21.80,-4.47,6.26,-2.63,443.24,389.67,618.00,147.00,12_24_2021
