Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SINDUP,43.86,161.00,161.00,161.00,161.00,161.00,"8,096.00",161.00,"1,303,456.00",3,0.00,0.00,0.00,0.00,0.00,-,-,225.00,161.00,09_01_2022
SINDUP,41.05,161.00,161.00,161.00,161.00,161.00,"5,000.00",161.00,"805,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,225.00,161.00,09_06_2022
SINDUP,37.85,161.00,161.00,161.00,161.00,161.00,"5,000.00",161.00,"805,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,225.00,161.00,09_15_2022
SINDUP,36.53,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,09_29_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,09_30_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,10_01_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,10_02_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,10_03_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,10_04_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,10_05_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,10_06_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,10_07_2022
SINDUP,18.22,158.00,158.00,158.00,158.00,158.00,"3,097.00",161.00,"489,326.00",1,-3.00,0.00,-1.86,0.00,0.00,-,-,225.00,158.00,10_08_2022
SINDUP,21.51,155.00,155.00,155.00,155.00,155.00,"40,000.00",158.00,"6,200,000.00",1,-3.00,0.00,-1.90,0.00,0.00,-,-,225.00,155.00,10_10_2022
SINDUP,36.41,155.00,155.00,155.00,155.00,155.00,"9,000.00",155.00,"1,395,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,161.00,155.00,11_01_2022
SINDUP,33.00,152.00,152.00,152.00,152.00,152.00,"10,000.00",155.00,"1,520,000.00",1,-3.00,0.00,-1.94,0.00,0.00,-,-,161.00,152.00,11_27_2022
SINDUP,37.20,152.00,152.00,152.00,152.00,152.00,"10,695.00",152.00,"1,625,640.00",1,0.00,0.00,0.00,0.00,0.00,-,-,161.00,152.00,01_05_2023
SINDUP,39.88,152.00,152.00,152.00,152.00,152.00,"10,695.00",152.00,"1,625,640.00",1,0.00,0.00,0.00,0.00,0.00,-,-,161.00,152.00,01_06_2023
SINDUP,39.88,152.00,152.00,152.00,152.00,152.00,"10,695.00",152.00,"1,625,640.00",1,0.00,0.00,0.00,0.00,0.00,-,-,161.00,152.00,01_07_2023
SINDUP,36.04,150.00,150.00,150.00,150.00,150.00,"10,000.00",152.00,"1,500,000.00",1,-2.00,0.00,-1.32,0.00,0.00,0.00,0.00,161.00,150.00,02_01_2023
SINDUP,33.62,150.00,150.00,150.00,150.00,150.00,"10,000.00",150.00,"1,500,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.00,150.00,02_16_2023
SINDUP,34.06,150.00,150.00,150.00,150.00,150.00,"10,000.00",150.00,"1,500,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.00,150.00,02_17_2023
SINDUP,34.06,150.00,150.00,150.00,150.00,150.00,"10,000.00",150.00,"1,500,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.00,150.00,02_18_2023
SINDUP,34.06,150.00,150.00,150.00,150.00,150.00,"10,000.00",150.00,"1,500,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.00,150.00,02_19_2023
