Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SJCL,57.94,464.00,485.00,458.00,462.00,465.05,"37,610.00",465.00,"17,490,377.90",438,-3.00,27.00,-0.65,5.90,-0.66,437.16,387.99,550.00,140.00,09_01_2021
SJCL,61.33,417.00,417.00,402.00,406.00,408.81,"16,085.00",409.00,"6,575,679.20",174,-3.00,15.00,-0.73,3.73,-0.69,436.11,411.33,550.00,195.00,11_03_2021
SJCL,54.20,417.00,417.00,402.00,406.00,408.81,"16,085.00",409.00,"6,575,679.20",174,-3.00,15.00,-0.73,3.73,-0.69,436.11,411.33,550.00,195.00,11_05_2021
SJCL,54.20,417.00,417.00,402.00,406.00,408.81,"16,085.00",409.00,"6,575,679.20",174,-3.00,15.00,-0.73,3.73,-0.69,436.11,411.33,550.00,195.00,11_06_2021
SJCL,54.20,417.00,417.00,402.00,406.00,408.81,"16,085.00",409.00,"6,575,679.20",174,-3.00,15.00,-0.73,3.73,-0.69,436.11,411.33,550.00,195.00,11_07_2021
SJCL,54.98,414.00,414.00,397.00,399.00,401.77,"19,911.00",406.00,"7,999,555.00",158,-7.00,17.00,-1.72,4.28,-0.69,435.63,411.81,550.00,195.00,11_08_2021
SJCL,50.09,399.00,400.00,380.00,384.00,387.30,"28,941.00",399.00,"11,208,968.60",246,-15.00,20.00,-3.76,5.26,-0.86,435.10,412.18,550.00,195.00,11_09_2021
SJCL,48.57,399.00,400.00,380.00,384.00,387.30,"28,941.00",399.00,"11,208,968.60",246,-15.00,20.00,-3.76,5.26,-0.86,435.10,412.18,550.00,195.00,11_10_2021
SJCL,46.52,379.00,391.00,371.60,374.00,377.70,"24,482.00",384.00,"9,246,749.90",236,-10.00,19.40,-2.60,5.22,-0.99,434.48,412.52,550.00,195.00,11_11_2021
SJCL,45.39,379.00,391.00,371.60,374.00,377.70,"24,482.00",384.00,"9,246,749.90",236,-10.00,19.40,-2.60,5.22,-0.99,434.48,412.52,550.00,195.00,11_12_2021
SJCL,45.39,379.00,391.00,371.60,374.00,377.70,"24,482.00",384.00,"9,246,749.90",236,-10.00,19.40,-2.60,5.22,-0.99,434.48,412.52,550.00,195.00,11_13_2021
SJCL,43.34,374.00,381.00,369.00,372.00,373.85,"18,304.00",374.00,"6,842,881.10",209,-2.00,12.00,-0.53,3.25,-0.50,433.82,412.86,550.00,195.00,11_14_2021
SJCL,42.63,379.40,383.00,374.50,376.20,379.32,"18,210.00",372.00,"6,907,411.00",167,4.20,8.50,1.13,2.27,-0.83,433.20,413.23,550.00,195.00,11_15_2021
SJCL,43.24,378.00,406.00,378.00,402.00,398.71,"39,060.00",376.20,"15,573,553.80",449,25.80,28.00,6.86,7.41,0.82,432.76,413.77,550.00,195.00,11_16_2021
SJCL,55.34,410.00,412.00,396.90,396.90,404.29,"40,865.00",402.00,"16,521,275.20",312,-5.10,15.10,-1.27,3.80,-1.86,432.28,414.31,550.00,195.00,11_17_2021
SJCL,57.53,404.00,404.00,386.50,390.00,390.28,"15,523.00",396.90,"6,058,351.60",214,-6.90,17.50,-1.74,4.53,-0.07,431.69,414.75,550.00,195.00,11_18_2021
