Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SJLIC,0.00,379.00,408.70,379.00,408.70,407.37,"1,965.00",371.59,"800,489.60",86,37.11,29.70,9.99,7.84,0.32,0.00,0.00,408.70,379.00,01_25_2023
SJLIC,46.11,416.80,449.50,416.80,449.50,444.81,"1,160.00",408.70,"515,974.00",65,40.80,32.70,9.98,7.85,1.04,0.00,0.00,449.50,379.00,01_26_2023
SJLIC,61.42,416.80,449.50,416.80,449.50,444.81,"1,160.00",408.70,"515,974.00",65,40.80,32.70,9.98,7.85,1.04,0.00,0.00,449.50,379.00,01_27_2023
SJLIC,61.42,416.80,449.50,416.80,449.50,444.81,"1,160.00",408.70,"515,974.00",65,40.80,32.70,9.98,7.85,1.04,0.00,0.00,449.50,379.00,01_28_2023
SJLIC,60.29,458.40,494.40,458.40,494.40,492.65,"1,815.00",449.50,"894,162.10",112,44.90,36.00,9.99,7.85,0.35,0.00,0.00,494.40,379.00,01_29_2023
SJLIC,57.87,504.20,543.80,504.20,519.80,530.63,"332,697.00",494.40,"176,540,086.60","2,351",25.40,39.60,5.14,7.85,-2.08,0.00,0.00,543.80,379.00,01_30_2023
SJLIC,58.63,525.00,525.00,502.00,509.10,508.34,"132,067.00",519.80,"67,135,356.60",920,-10.70,23.00,-2.06,4.58,0.15,0.00,0.00,543.80,379.00,01_31_2023
SJLIC,56.66,503.50,512.90,500.20,505.00,505.27,"38,506.00",509.10,"19,455,974.10",386,-4.10,12.70,-0.81,2.54,-0.05,0.00,0.00,543.80,379.00,02_01_2023
SJLIC,50.37,512.00,512.00,490.20,495.00,496.39,"53,653.00",505.00,"26,632,738.30",545,-10.00,21.80,-1.98,4.45,-0.28,0.00,0.00,543.80,379.00,02_02_2023
SJLIC,40.24,512.00,512.00,490.20,495.00,496.39,"53,653.00",505.00,"26,632,738.30",545,-10.00,21.80,-1.98,4.45,-0.28,0.00,0.00,543.80,379.00,02_03_2023
SJLIC,40.24,512.00,512.00,490.20,495.00,496.39,"53,653.00",505.00,"26,632,738.30",545,-10.00,21.80,-1.98,4.45,-0.28,0.00,0.00,543.80,379.00,02_04_2023
SJLIC,38.89,500.00,503.00,490.00,490.30,495.61,"45,585.00",495.00,"22,592,256.70",379,-4.70,13.00,-0.95,2.65,-1.08,0.00,0.00,543.80,379.00,02_05_2023
SJLIC,35.16,490.00,491.90,481.20,483.00,485.39,"28,038.00",490.30,"13,609,416.70",320,-7.30,10.70,-1.49,2.22,-0.50,0.00,0.00,543.80,379.00,02_06_2023
SJLIC,31.14,480.00,509.40,480.00,507.00,498.38,"50,596.00",483.00,"25,216,231.80",502,24.00,29.40,4.97,6.13,1.70,0.00,0.00,543.80,379.00,02_07_2023
SJLIC,38.51,517.10,519.00,503.80,503.80,510.97,"51,613.00",507.00,"26,372,943.10",423,-3.20,15.20,-0.63,3.02,-1.42,0.00,0.00,543.80,379.00,02_08_2023
SJLIC,43.94,500.00,509.00,500.00,506.00,503.15,"27,221.00",503.80,"13,696,291.40",291,2.20,9.00,0.44,1.80,0.56,0.00,0.00,543.80,379.00,02_09_2023
SJLIC,39.09,500.00,509.00,500.00,506.00,503.15,"27,221.00",503.80,"13,696,291.40",291,2.20,9.00,0.44,1.80,0.56,0.00,0.00,543.80,379.00,02_10_2023
SJLIC,39.09,500.00,509.00,500.00,506.00,503.15,"27,221.00",503.80,"13,696,291.40",291,2.20,9.00,0.44,1.80,0.56,0.00,0.00,543.80,379.00,02_11_2023
SJLIC,37.36,495.90,504.00,487.00,491.30,493.98,"40,248.00",506.00,"19,881,638.00",329,-14.70,17.00,-2.91,3.49,-0.55,0.00,0.00,543.80,379.00,02_12_2023
