Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SKBBL,45.17,"1,907.00","1,920.00","1,850.00","1,875.00","1,885.22","20,173.00","1,870.00","38,030,584.30",239,5.00,70.00,0.27,3.78,-0.55,"1,706.65","1,687.70","2,184.00","1,320.00",09_01_2021
SKBBL,56.16,"1,755.00","1,800.00","1,753.00","1,780.00","1,782.26","12,047.00","1,787.00","21,470,856.00",90,-7.00,47.00,-0.39,2.68,-0.13,"1,739.33","1,709.64","2,184.00","1,403.00",11_03_2021
SKBBL,54.63,"1,755.00","1,800.00","1,753.00","1,780.00","1,782.26","12,047.00","1,787.00","21,470,856.00",90,-7.00,47.00,-0.39,2.68,-0.13,"1,739.33","1,709.64","2,184.00","1,403.00",11_05_2021
SKBBL,54.63,"1,755.00","1,800.00","1,753.00","1,780.00","1,782.26","12,047.00","1,787.00","21,470,856.00",90,-7.00,47.00,-0.39,2.68,-0.13,"1,739.33","1,709.64","2,184.00","1,403.00",11_06_2021
SKBBL,54.63,"1,755.00","1,800.00","1,753.00","1,780.00","1,782.26","12,047.00","1,787.00","21,470,856.00",90,-7.00,47.00,-0.39,2.68,-0.13,"1,739.33","1,709.64","2,184.00","1,403.00",11_07_2021
SKBBL,55.42,"1,814.00","1,814.00","1,735.00","1,751.00","1,743.25","9,450.00","1,780.00","16,473,697.70",89,-29.00,79.00,-1.63,4.55,0.44,"1,739.96","1,709.96","2,184.00","1,415.00",11_08_2021
SKBBL,48.97,"1,744.00","1,744.00","1,702.20","1,710.00","1,711.89","10,216.00","1,751.00","17,488,693.50",100,-41.00,41.80,-2.34,2.46,-0.11,"1,740.36","1,709.61","2,184.00","1,421.00",11_09_2021
SKBBL,46.56,"1,744.00","1,744.00","1,702.20","1,710.00","1,711.89","10,216.00","1,751.00","17,488,693.50",100,-41.00,41.80,-2.34,2.46,-0.11,"1,740.36","1,709.61","2,184.00","1,421.00",11_10_2021
SKBBL,44.51,"1,710.00","1,710.00","1,681.00","1,683.00","1,691.07","5,516.00","1,710.00","9,327,948.00",89,-27.00,29.00,-1.58,1.73,-0.48,"1,740.47","1,709.46","2,184.00","1,421.00",11_11_2021
SKBBL,41.60,"1,710.00","1,710.00","1,681.00","1,683.00","1,691.07","5,516.00","1,710.00","9,327,948.00",89,-27.00,29.00,-1.58,1.73,-0.48,"1,740.47","1,709.46","2,184.00","1,421.00",11_12_2021
SKBBL,41.60,"1,710.00","1,710.00","1,681.00","1,683.00","1,691.07","5,516.00","1,710.00","9,327,948.00",89,-27.00,29.00,-1.58,1.73,-0.48,"1,740.47","1,709.46","2,184.00","1,421.00",11_13_2021
SKBBL,39.55,"1,683.00","1,710.00","1,655.00","1,666.00","1,682.81","7,847.00","1,683.00","13,205,022.90",92,-17.00,55.00,-1.01,3.32,-1.01,"1,740.32","1,709.47","2,184.00","1,421.00",11_14_2021
SKBBL,42.03,"1,699.00","1,730.00","1,690.00","1,702.00","1,700.72","26,005.00","1,666.00","44,227,097.10",95,36.00,40.00,2.16,2.37,0.08,"1,740.53","1,709.61","2,184.00","1,421.00",11_15_2021
SKBBL,47.74,"1,730.00","1,775.00","1,720.00","1,775.00","1,749.43","13,570.00","1,702.00","23,739,775.90",125,73.00,55.00,4.29,3.20,1.44,"1,741.34","1,710.31","2,184.00","1,421.00",11_16_2021
SKBBL,61.82,"1,775.00","1,794.00","1,745.00","1,750.00","1,760.73","5,282.00","1,775.00","9,300,162.20",67,-25.00,49.00,-1.41,2.81,-0.61,"1,741.69","1,711.04","2,184.00","1,421.00",11_17_2021
SKBBL,58.17,"1,742.00","1,785.00","1,740.00","1,773.00","1,751.57","11,250.00","1,750.00","19,705,218.00",102,23.00,45.00,1.31,2.59,1.21,"1,742.31","1,711.08","2,184.00","1,421.00",11_18_2021
SKBBL,61.42,"1,742.00","1,785.00","1,740.00","1,773.00","1,751.57","11,250.00","1,750.00","19,705,218.00",102,23.00,45.00,1.31,2.59,1.21,"1,742.31","1,711.08","2,184.00","1,421.00",11_19_2021
SKBBL,61.42,"1,742.00","1,785.00","1,740.00","1,773.00","1,751.57","11,250.00","1,750.00","19,705,218.00",102,23.00,45.00,1.31,2.59,1.21,"1,742.31","1,711.08","2,184.00","1,421.00",11_20_2021
