Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SLBBL,44.67,"1,455.30","1,500.00","1,455.30","1,460.00","1,472.71","15,825.00","1,485.00","23,305,618.30",141,-25.00,44.70,-1.68,3.07,-0.87,"1,444.65","1,389.05","1,685.00",830.00,09_01_2021
SLBBL,46.69,"1,271.00","1,280.00","1,247.00","1,251.00","1,258.16","5,025.00","1,269.00","6,322,271.50",136,-18.00,33.00,-1.42,2.65,-0.57,"1,494.32","1,457.82","1,685.00",865.00,11_03_2021
SLBBL,46.12,"1,271.00","1,280.00","1,247.00","1,251.00","1,258.16","5,025.00","1,269.00","6,322,271.50",136,-18.00,33.00,-1.42,2.65,-0.57,"1,494.32","1,457.82","1,685.00",865.00,11_05_2021
SLBBL,46.12,"1,271.00","1,280.00","1,247.00","1,251.00","1,258.16","5,025.00","1,269.00","6,322,271.50",136,-18.00,33.00,-1.42,2.65,-0.57,"1,494.32","1,457.82","1,685.00",865.00,11_06_2021
SLBBL,46.12,"1,271.00","1,280.00","1,247.00","1,251.00","1,258.16","5,025.00","1,269.00","6,322,271.50",136,-18.00,33.00,-1.42,2.65,-0.57,"1,494.32","1,457.82","1,685.00",865.00,11_07_2021
SLBBL,46.91,"1,276.00","1,284.00","1,240.10","1,250.00","1,255.41","3,084.00","1,251.00","3,871,689.70",58,-1.00,43.90,-0.08,3.54,-0.43,"1,492.62","1,456.47","1,685.00",865.00,11_08_2021
SLBBL,52.53,"1,250.00","1,271.90","1,197.00","1,197.00","1,220.28","12,105.00","1,250.00","14,771,440.50",171,-53.00,74.90,-4.24,6.26,-1.94,"1,490.67","1,454.19","1,685.00",875.00,11_09_2021
SLBBL,54.17,"1,250.00","1,271.90","1,197.00","1,197.00","1,220.28","12,105.00","1,250.00","14,771,440.50",171,-53.00,74.90,-4.24,6.26,-1.94,"1,490.67","1,454.19","1,685.00",875.00,11_10_2021
SLBBL,52.12,"1,197.00","1,215.00","1,167.00","1,167.00","1,183.74","8,834.00","1,197.00","10,457,141.50",138,-30.00,48.00,-2.51,4.11,-1.43,"1,488.32","1,452.18","1,685.00",875.00,11_11_2021
SLBBL,50.07,"1,197.00","1,215.00","1,167.00","1,167.00","1,183.74","8,834.00","1,197.00","10,457,141.50",138,-30.00,48.00,-2.51,4.11,-1.43,"1,488.32","1,452.18","1,685.00",875.00,11_12_2021
SLBBL,50.07,"1,197.00","1,215.00","1,167.00","1,167.00","1,183.74","8,834.00","1,197.00","10,457,141.50",138,-30.00,48.00,-2.51,4.11,-1.43,"1,488.32","1,452.18","1,685.00",875.00,11_13_2021
SLBBL,48.02,"1,180.00","1,185.00","1,160.00","1,163.00","1,168.06","5,800.00","1,167.00","6,774,762.20",80,-4.00,25.00,-0.34,2.16,-0.44,"1,485.59","1,450.33","1,685.00",879.00,11_14_2021
SLBBL,48.03,"1,180.00","1,195.00","1,162.00","1,180.00","1,173.20","8,059.00","1,163.00","9,454,795.10",81,17.00,33.00,1.46,2.84,0.58,"1,483.08","1,448.72","1,685.00",879.00,11_15_2021
SLBBL,50.97,"1,199.00","1,220.00","1,180.00","1,205.00","1,200.30","4,263.00","1,180.00","5,116,875.20",71,25.00,40.00,2.12,3.39,0.39,"1,480.77","1,447.42","1,685.00",879.00,11_16_2021
SLBBL,51.89,"1,206.00","1,229.00","1,180.00","1,196.00","1,206.13","5,570.00","1,205.00","6,718,125.00",82,-9.00,49.00,-0.75,4.15,-0.85,"1,478.22","1,446.31","1,685.00",879.00,11_17_2021
SLBBL,54.63,"1,219.00","1,219.00","1,157.00","1,168.00","1,174.35","8,251.00","1,196.00","9,689,528.70",87,-28.00,62.00,-2.34,5.36,-0.54,"1,475.37","1,444.27","1,685.00",879.00,11_18_2021
SLBBL,55.95,"1,219.00","1,219.00","1,157.00","1,168.00","1,174.35","8,251.00","1,196.00","9,689,528.70",87,-28.00,62.00,-2.34,5.36,-0.54,"1,475.37","1,444.27","1,685.00",879.00,11_19_2021
SLBBL,55.95,"1,219.00","1,219.00","1,157.00","1,168.00","1,174.35","8,251.00","1,196.00","9,689,528.70",87,-28.00,62.00,-2.34,5.36,-0.54,"1,475.37","1,444.27","1,685.00",879.00,11_20_2021
SLBBL,51.25,"1,180.00","1,191.00","1,166.00","1,166.00","1,177.29","5,515.00","1,168.00","6,492,745.50",72,-2.00,25.00,-0.17,2.14,-0.97,"1,472.06","1,442.36","1,685.00",883.00,11_21_2021
SLBBL,49.11,"1,185.00","1,188.00","1,163.00","1,170.00","1,177.79","3,190.00","1,166.00","3,757,158.00",37,4.00,25.00,0.34,2.15,-0.67,"1,469.02","1,440.56","1,685.00",883.00,11_22_2021
SLBBL,46.91,"1,170.00","1,180.00","1,160.00","1,170.00","1,167.53","3,910.00","1,170.00","4,565,046.00",63,0.00,20.00,0.00,1.72,0.21,"1,465.95","1,438.82","1,685.00",883.00,11_23_2021
SLBBL,48.52,"1,170.00","1,180.00","1,150.00","1,170.00","1,164.36","3,133.00","1,170.00","3,647,927.20",43,0.00,30.00,0.00,2.61,0.48,"1,462.87","1,436.94","1,685.00",884.00,11_24_2021
SLBBL,51.10,"1,170.00","1,180.00","1,150.00","1,152.20","1,161.21","2,417.00","1,170.00","2,806,650.60",36,-17.80,30.00,-1.52,2.61,-0.78,"1,459.63","1,435.13","1,685.00",905.00,11_25_2021
SLBBL,50.06,"1,170.00","1,180.00","1,150.00","1,152.20","1,161.21","2,417.00","1,170.00","2,806,650.60",36,-17.80,30.00,-1.52,2.61,-0.78,"1,459.63","1,435.13","1,685.00",905.00,11_26_2021
SLBBL,50.06,"1,170.00","1,180.00","1,150.00","1,152.20","1,161.21","2,417.00","1,170.00","2,806,650.60",36,-17.80,30.00,-1.52,2.61,-0.78,"1,459.63","1,435.13","1,685.00",905.00,11_27_2021
SLBBL,47.16,"1,131.00","1,150.00","1,108.00","1,120.00","1,125.26","4,867.00","1,152.20","5,476,627.20",98,-32.20,42.00,-2.79,3.79,-0.47,"1,456.14","1,433.13","1,685.00",915.00,11_28_2021
SLBBL,49.05,"1,115.00","1,142.00","1,085.00","1,091.00","1,098.88","5,192.00","1,120.00","5,705,391.80",62,-29.00,57.00,-2.59,5.25,-0.72,"1,452.74","1,430.94","1,685.00",915.00,11_29_2021
SLBBL,47.51,"1,111.00","1,111.00","1,072.20","1,079.00","1,084.53","3,167.00","1,091.00","3,434,709.00",67,-12.00,38.80,-1.10,3.62,-0.51,"1,449.23","1,428.72","1,685.00",915.00,11_30_2021
SLBBL,43.78,"1,100.00","1,100.00","1,085.00","1,098.00","1,095.53","2,339.00","1,079.00","2,562,454.50",41,19.00,15.00,1.76,1.38,0.22,"1,446.12","1,427.93","1,685.00",915.00,12_01_2021
SLBBL,43.25,"1,100.00","1,100.00","1,063.00","1,070.00","1,076.22","3,248.00","1,098.00","3,495,560.40",62,-28.00,37.00,-2.55,3.48,-0.58,"1,442.86","1,426.87","1,685.00",915.00,12_02_2021
SLBBL,44.26,"1,100.00","1,100.00","1,063.00","1,070.00","1,076.22","3,248.00","1,098.00","3,495,560.40",62,-28.00,37.00,-2.55,3.48,-0.58,"1,442.86","1,426.87","1,685.00",915.00,12_03_2021
SLBBL,44.26,"1,100.00","1,100.00","1,063.00","1,070.00","1,076.22","3,248.00","1,098.00","3,495,560.40",62,-28.00,37.00,-2.55,3.48,-0.58,"1,442.86","1,426.87","1,685.00",915.00,12_04_2021
