Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SLBSL,51.01,"1,503.00","1,532.90","1,446.00","1,465.00","1,476.11","1,405.00","1,474.00","2,073,941.00",39,-9.00,86.90,-0.61,6.01,-0.76,"1,453.21","1,348.39","1,785.00",745.00,09_01_2021
SLBSL,61.54,"1,519.00","1,580.00","1,471.00","1,471.00","1,491.72","1,060.00","1,495.00","1,581,225.80",34,-24.00,109.00,-1.61,7.41,-1.41,"1,466.08","1,411.97","1,785.00",777.00,11_03_2021
SLBSL,55.22,"1,519.00","1,580.00","1,471.00","1,471.00","1,491.72","1,060.00","1,495.00","1,581,225.80",34,-24.00,109.00,-1.61,7.41,-1.41,"1,466.08","1,411.97","1,785.00",777.00,11_05_2021
SLBSL,55.22,"1,519.00","1,580.00","1,471.00","1,471.00","1,491.72","1,060.00","1,495.00","1,581,225.80",34,-24.00,109.00,-1.61,7.41,-1.41,"1,466.08","1,411.97","1,785.00",777.00,11_06_2021
SLBSL,55.22,"1,519.00","1,580.00","1,471.00","1,471.00","1,491.72","1,060.00","1,495.00","1,581,225.80",34,-24.00,109.00,-1.61,7.41,-1.41,"1,466.08","1,411.97","1,785.00",777.00,11_07_2021
SLBSL,56.00,"1,495.00","1,500.00","1,465.00","1,465.00","1,468.54",536.00,"1,471.00","787,140.00",19,-6.00,35.00,-0.41,2.39,-0.24,"1,466.58","1,412.95","1,785.00",777.00,11_08_2021
SLBSL,48.78,"1,450.00","1,450.00","1,365.00","1,365.00","1,423.55","1,458.00","1,465.00","2,075,533.60",29,-100.00,85.00,-6.83,6.23,-4.29,"1,466.45","1,412.66","1,785.00",777.00,11_09_2021
SLBSL,47.17,"1,450.00","1,450.00","1,365.00","1,365.00","1,423.55","1,458.00","1,465.00","2,075,533.60",29,-100.00,85.00,-6.83,6.23,-4.29,"1,466.45","1,412.66","1,785.00",777.00,11_10_2021
SLBSL,45.12,"1,390.00","1,440.00","1,338.10","1,412.00","1,370.31",967.00,"1,365.00","1,325,094.10",35,47.00,101.90,3.44,7.62,2.95,"1,466.63","1,412.93","1,785.00",777.00,11_11_2021
SLBSL,42.94,"1,390.00","1,440.00","1,338.10","1,412.00","1,370.31",967.00,"1,365.00","1,325,094.10",35,47.00,101.90,3.44,7.62,2.95,"1,466.63","1,412.93","1,785.00",777.00,11_12_2021
SLBSL,42.94,"1,390.00","1,440.00","1,338.10","1,412.00","1,370.31",967.00,"1,365.00","1,325,094.10",35,47.00,101.90,3.44,7.62,2.95,"1,466.63","1,412.93","1,785.00",777.00,11_13_2021
SLBSL,40.89,"1,384.00","1,439.00","1,356.30","1,402.00","1,394.11",466.00,"1,412.00","649,656.90",18,-10.00,82.70,-0.71,6.10,0.56,"1,466.58","1,413.39","1,785.00",777.00,11_14_2021
SLBSL,39.09,"1,430.00","1,485.00","1,400.00","1,477.50","1,417.40","2,729.00","1,402.00","3,868,072.60",60,75.50,85.00,5.39,6.07,4.07,"1,467.04","1,414.25","1,785.00",777.00,11_15_2021
SLBSL,53.38,"1,500.00","1,506.00","1,436.00","1,489.00","1,473.52",932.00,"1,477.50","1,373,318.00",24,11.50,70.00,0.78,4.87,1.04,"1,467.57","1,415.38","1,785.00",777.00,11_16_2021
SLBSL,59.16,"1,495.00","1,500.00","1,435.00","1,450.00","1,453.58","1,067.00","1,489.00","1,550,974.00",26,-39.00,65.00,-2.62,4.53,-0.25,"1,467.55","1,416.49","1,785.00",777.00,11_17_2021
SLBSL,54.01,"1,450.00","1,450.00","1,421.00","1,425.00","1,428.98",641.00,"1,450.00","915,974.70",18,-25.00,29.00,-1.72,2.04,-0.28,"1,467.11","1,416.77","1,785.00",777.00,11_18_2021
SLBSL,49.21,"1,450.00","1,450.00","1,421.00","1,425.00","1,428.98",641.00,"1,450.00","915,974.70",18,-25.00,29.00,-1.72,2.04,-0.28,"1,467.11","1,416.77","1,785.00",777.00,11_19_2021
SLBSL,49.21,"1,450.00","1,450.00","1,421.00","1,425.00","1,428.98",641.00,"1,450.00","915,974.70",18,-25.00,29.00,-1.72,2.04,-0.28,"1,467.11","1,416.77","1,785.00",777.00,11_20_2021
SLBSL,44.51,"1,400.00","1,405.00","1,388.00","1,388.00","1,393.68","1,231.00","1,425.00","1,715,626.00",24,-37.00,17.00,-2.60,1.22,-0.41,"1,465.72","1,417.01","1,785.00",783.00,11_21_2021
SLBSL,40.71,"1,370.00","1,433.00","1,370.00","1,375.00","1,403.29",843.00,"1,388.00","1,182,973.70",29,-13.00,63.00,-0.94,4.60,-2.06,"1,463.70","1,417.32","1,785.00",783.00,11_22_2021
SLBSL,39.87,"1,374.00","1,402.00","1,352.00","1,402.00","1,378.16",656.00,"1,375.00","904,070.50",26,27.00,50.00,1.96,3.70,1.70,"1,461.28","1,418.00","1,785.00",783.00,11_23_2021
SLBSL,39.11,"1,395.00","1,395.00","1,367.40","1,390.00","1,387.39",266.00,"1,402.00","369,046.20",5,-12.00,27.60,-0.86,2.02,0.19,"1,458.89","1,418.67","1,785.00",783.00,11_24_2021
SLBSL,37.83,"1,370.00","1,388.00","1,364.00","1,364.00","1,370.05",655.00,"1,390.00","897,382.00",24,-26.00,24.00,-1.87,1.76,-0.44,"1,456.68","1,419.27","1,785.00",785.00,11_25_2021
SLBSL,40.96,"1,370.00","1,388.00","1,364.00","1,364.00","1,370.05",655.00,"1,390.00","897,382.00",24,-26.00,24.00,-1.87,1.76,-0.44,"1,456.68","1,419.27","1,785.00",785.00,11_26_2021
SLBSL,40.96,"1,370.00","1,388.00","1,364.00","1,364.00","1,370.05",655.00,"1,390.00","897,382.00",24,-26.00,24.00,-1.87,1.76,-0.44,"1,456.68","1,419.27","1,785.00",785.00,11_27_2021
SLBSL,38.06,"1,364.00","1,364.00","1,300.00","1,300.00","1,329.61",903.00,"1,364.00","1,200,642.00",28,-64.00,64.00,-4.69,4.92,-2.28,"1,454.18","1,419.55","1,785.00",788.00,11_28_2021
SLBSL,39.91,"1,300.00","1,378.00","1,300.00","1,345.00","1,340.07",445.00,"1,300.00","596,332.70",24,45.00,78.00,3.46,6.00,0.37,"1,452.64","1,419.99","1,785.00",788.00,11_29_2021
SLBSL,36.13,"1,328.00","1,342.00","1,324.00","1,340.00","1,332.12",334.00,"1,345.00","444,928.90",14,-5.00,18.00,-0.37,1.36,0.59,"1,451.39","1,420.49","1,785.00",788.00,11_30_2021
SLBSL,34.46,"1,313.20","1,394.00","1,313.20","1,345.00","1,324.02",520.00,"1,340.00","688,492.60",14,5.00,80.80,0.37,6.15,1.56,"1,450.11","1,421.41","1,785.00",788.00,12_01_2021
SLBSL,47.12,"1,320.10","1,339.00","1,301.00","1,310.00","1,316.10",316.00,"1,345.00","415,888.30",18,-35.00,38.00,-2.60,2.92,-0.47,"1,448.61","1,421.82","1,785.00",788.00,12_02_2021
SLBSL,47.41,"1,320.10","1,339.00","1,301.00","1,310.00","1,316.10",316.00,"1,345.00","415,888.30",18,-35.00,38.00,-2.60,2.92,-0.47,"1,448.61","1,421.82","1,785.00",788.00,12_03_2021
SLBSL,47.41,"1,320.10","1,339.00","1,301.00","1,310.00","1,316.10",316.00,"1,345.00","415,888.30",18,-35.00,38.00,-2.60,2.92,-0.47,"1,448.61","1,421.82","1,785.00",788.00,12_04_2021
SLBSL,46.51,"1,284.00","1,290.00","1,234.00","1,280.00","1,271.28","1,003.00","1,310.00","1,275,095.00",23,-30.00,56.00,-2.29,4.54,0.68,"1,446.65","1,422.25","1,785.00",825.00,12_05_2021
SLBSL,43.31,"1,255.00","1,280.00","1,235.00","1,277.00","1,264.66",337.00,"1,280.00","426,191.00",16,-3.00,45.00,-0.23,3.64,0.97,"1,444.50","1,422.75","1,785.00",825.00,12_06_2021
SLBSL,39.48,"1,277.00","1,281.00","1,277.00","1,277.00","1,279.38",210.00,"1,277.00","268,670.00",9,0.00,4.00,0.00,0.31,-0.19,"1,442.29","1,422.99","1,785.00",825.00,12_07_2021
SLBSL,37.10,"1,277.00","1,277.00","1,150.00","1,168.00","1,185.36","3,757.00","1,277.00","4,453,410.50",79,-109.00,127.00,-8.54,11.04,-1.49,"1,439.27","1,422.76","1,785.00",825.00,12_08_2021
SLBSL,38.84,"1,144.70","1,144.70","1,067.00","1,100.00","1,102.57","3,887.00","1,168.00","4,285,698.00",89,-68.00,77.70,-5.82,7.28,-0.23,"1,436.02","1,422.21","1,785.00",825.00,12_09_2021
SLBSL,41.54,"1,144.70","1,144.70","1,067.00","1,100.00","1,102.57","3,887.00","1,168.00","4,285,698.00",89,-68.00,77.70,-5.82,7.28,-0.23,"1,436.02","1,422.21","1,785.00",825.00,12_10_2021
SLBSL,41.54,"1,144.70","1,144.70","1,067.00","1,100.00","1,102.57","3,887.00","1,168.00","4,285,698.00",89,-68.00,77.70,-5.82,7.28,-0.23,"1,436.02","1,422.21","1,785.00",825.00,12_11_2021
