Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SLCF,61.58,10.15,10.35,10.15,10.20,10.26,"61,380.00",10.24,"629,685.80",50,-0.04,0.20,-0.39,1.97,-0.58,10.11,-,11.40,9.52,09_01_2021
SLCF,67.95,9.77,9.85,9.58,9.62,9.74,"9,900.00",9.96,"96,471.00",18,-0.34,0.27,-3.41,2.82,-1.29,10.10,-,11.40,9.15,11_03_2021
SLCF,46.14,9.77,9.85,9.58,9.62,9.74,"9,900.00",9.96,"96,471.00",18,-0.34,0.27,-3.41,2.82,-1.29,10.10,-,11.40,9.15,11_05_2021
SLCF,46.14,9.77,9.85,9.58,9.62,9.74,"9,900.00",9.96,"96,471.00",18,-0.34,0.27,-3.41,2.82,-1.29,10.10,-,11.40,9.15,11_06_2021
SLCF,46.14,9.77,9.85,9.58,9.62,9.74,"9,900.00",9.96,"96,471.00",18,-0.34,0.27,-3.41,2.82,-1.29,10.10,-,11.40,9.15,11_07_2021
SLCF,46.93,9.61,9.81,9.61,9.64,9.73,"6,150.00",9.62,"59,835.00",18,0.02,0.20,0.21,2.08,-0.93,10.10,-,11.40,9.15,11_08_2021
SLCF,46.40,9.60,9.81,9.60,9.70,9.69,"5,800.00",9.64,"56,228.00",14,0.06,0.21,0.62,2.19,0.06,10.10,-,11.40,9.15,11_09_2021
SLCF,42.69,9.60,9.81,9.60,9.70,9.69,"5,800.00",9.64,"56,228.00",14,0.06,0.21,0.62,2.19,0.06,10.10,-,11.40,9.15,11_10_2021
SLCF,40.64,9.62,9.89,9.62,9.70,9.68,"18,900.00",9.70,"182,959.00",21,0.00,0.27,0.00,2.81,0.20,10.10,-,11.40,9.15,11_11_2021
SLCF,46.19,9.62,9.89,9.62,9.70,9.68,"18,900.00",9.70,"182,959.00",21,0.00,0.27,0.00,2.81,0.20,10.10,-,11.40,9.15,11_12_2021
SLCF,46.19,9.62,9.89,9.62,9.70,9.68,"18,900.00",9.70,"182,959.00",21,0.00,0.27,0.00,2.81,0.20,10.10,-,11.40,9.15,11_13_2021
SLCF,44.14,9.62,9.80,9.51,9.51,9.72,"36,899.00",9.70,"358,834.98",24,-0.19,0.29,-1.96,3.05,-2.26,10.09,-,11.40,9.15,11_14_2021
SLCF,53.53,9.50,9.69,9.50,9.55,9.65,"14,810.00",9.51,"142,936.90",22,0.04,0.19,0.42,2.00,-1.06,10.09,-,11.40,9.15,11_15_2021
