Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SLI,53.74,577.40,585.00,570.00,575.00,577.56,"14,706.00",571.00,"8,493,646.50",586,4.00,15.00,0.70,2.63,-0.45,-,-,787.80,309.00,11_03_2021
SLI,59.15,577.40,585.00,570.00,575.00,577.56,"14,706.00",571.00,"8,493,646.50",586,4.00,15.00,0.70,2.63,-0.45,-,-,787.80,309.00,11_05_2021
SLI,59.15,577.40,585.00,570.00,575.00,577.56,"14,706.00",571.00,"8,493,646.50",586,4.00,15.00,0.70,2.63,-0.45,-,-,787.80,309.00,11_06_2021
SLI,59.15,577.40,585.00,570.00,575.00,577.56,"14,706.00",571.00,"8,493,646.50",586,4.00,15.00,0.70,2.63,-0.45,-,-,787.80,309.00,11_07_2021
SLI,59.94,575.00,576.00,566.00,570.00,569.47,"11,528.00",575.00,"6,564,844.00",641,-5.00,10.00,-0.87,1.77,0.09,-,-,787.80,309.00,11_08_2021
SLI,52.39,558.60,565.00,537.10,543.10,549.58,"17,574.00",570.00,"9,658,255.90",873,-26.90,27.90,-4.72,5.19,-1.19,-,-,787.80,309.00,11_09_2021
SLI,49.16,558.60,565.00,537.10,543.10,549.58,"17,574.00",570.00,"9,658,255.90",873,-26.90,27.90,-4.72,5.19,-1.19,-,-,787.80,309.00,11_10_2021
SLI,47.11,543.00,543.00,520.10,529.50,527.17,"10,660.00",543.10,"5,619,624.00",849,-13.60,22.90,-2.50,4.40,0.44,-,-,787.80,309.00,11_11_2021
SLI,44.09,543.00,543.00,520.10,529.50,527.17,"10,660.00",543.10,"5,619,624.00",849,-13.60,22.90,-2.50,4.40,0.44,-,-,787.80,309.00,11_12_2021
SLI,44.09,543.00,543.00,520.10,529.50,527.17,"10,660.00",543.10,"5,619,624.00",849,-13.60,22.90,-2.50,4.40,0.44,-,-,787.80,309.00,11_13_2021
SLI,42.04,520.00,530.00,512.00,522.00,520.04,"14,682.00",529.50,"7,635,208.90",988,-7.50,18.00,-1.42,3.52,0.38,-,-,787.80,309.00,11_14_2021
SLI,44.61,511.70,530.00,511.70,528.00,524.59,"16,665.00",522.00,"8,742,282.50",989,6.00,18.30,1.15,3.58,0.65,-,-,787.80,309.00,11_15_2021
SLI,45.92,538.50,560.00,522.10,555.00,547.06,"25,677.00",528.00,"14,046,768.00","1,309",27.00,37.90,5.11,7.26,1.43,-,-,787.80,309.00,11_16_2021
SLI,64.60,545.00,565.00,545.00,546.10,553.82,"18,903.00",555.00,"10,468,773.00","1,058",-8.90,20.00,-1.60,3.67,-1.41,-,-,787.80,309.00,11_17_2021
SLI,62.51,545.00,555.00,534.90,543.00,539.24,"15,448.00",546.10,"8,330,200.10",891,-3.10,20.10,-0.57,3.76,0.69,-,-,787.80,309.00,11_18_2021
SLI,61.77,545.00,555.00,534.90,543.00,539.24,"15,448.00",546.10,"8,330,200.10",891,-3.10,20.10,-0.57,3.76,0.69,-,-,787.80,309.00,11_19_2021
SLI,61.77,545.00,555.00,534.90,543.00,539.24,"15,448.00",546.10,"8,330,200.10",891,-3.10,20.10,-0.57,3.76,0.69,-,-,787.80,309.00,11_20_2021
SLI,57.07,535.00,538.00,527.00,528.10,531.04,"12,375.00",543.00,"6,571,597.00",960,-14.90,11.00,-2.74,2.09,-0.56,-,-,787.80,309.00,11_21_2021
SLI,45.05,521.00,535.00,520.00,529.00,528.40,"13,136.00",528.10,"6,941,127.60","1,092",0.90,15.00,0.17,2.88,0.11,-,-,787.80,309.00,11_22_2021
SLI,41.79,521.00,529.00,518.20,520.00,521.53,"11,153.00",529.00,"5,816,655.00",871,-9.00,10.80,-1.70,2.08,-0.29,-,-,787.80,309.00,11_23_2021
SLI,41.11,511.00,523.00,506.20,520.00,516.46,"15,039.00",520.00,"7,766,996.90",844,0.00,16.80,0.00,3.32,0.68,-,-,787.80,309.00,11_24_2021
SLI,44.08,510.00,520.00,510.00,519.00,516.46,"9,434.00",520.00,"4,872,292.00",622,-1.00,10.00,-0.19,1.96,0.49,-,-,787.80,309.00,11_25_2021
SLI,41.89,510.00,520.00,510.00,519.00,516.46,"9,434.00",520.00,"4,872,292.00",622,-1.00,10.00,-0.19,1.96,0.49,-,-,787.80,309.00,11_26_2021
SLI,41.89,510.00,520.00,510.00,519.00,516.46,"9,434.00",520.00,"4,872,292.00",622,-1.00,10.00,-0.19,1.96,0.49,-,-,787.80,309.00,11_27_2021
SLI,38.99,508.70,520.00,495.00,507.00,503.97,"16,345.00",519.00,"8,237,416.00",741,-12.00,25.00,-2.31,5.05,0.60,-,-,787.80,309.00,11_28_2021
SLI,45.28,497.00,510.00,497.00,500.00,501.87,"12,780.00",507.00,"6,413,871.00",599,-7.00,13.00,-1.38,2.62,-0.37,-,-,787.80,309.00,11_29_2021
SLI,46.91,490.20,505.00,490.20,500.10,498.82,"8,776.00",500.00,"4,377,601.00",554,0.10,14.80,0.02,3.02,0.26,-,-,787.80,309.00,11_30_2021
SLI,43.79,500.10,510.00,498.00,503.00,501.27,"6,502.00",500.10,"3,259,279.00",496,2.90,12.00,0.58,2.41,0.34,-,-,787.80,309.00,12_01_2021
SLI,44.84,510.00,510.00,495.00,495.10,497.60,"7,894.00",503.00,"3,928,085.50",424,-7.90,15.00,-1.57,3.03,-0.51,-,-,787.80,309.00,12_02_2021
SLI,45.57,510.00,510.00,495.00,495.10,497.60,"7,894.00",503.00,"3,928,085.50",424,-7.90,15.00,-1.57,3.03,-0.51,-,-,787.80,309.00,12_03_2021
SLI,45.57,510.00,510.00,495.00,495.10,497.60,"7,894.00",503.00,"3,928,085.50",424,-7.90,15.00,-1.57,3.03,-0.51,-,-,787.80,309.00,12_04_2021
SLI,44.67,496.00,500.00,472.00,475.00,479.99,"13,407.00",495.10,"6,435,181.00",533,-20.10,28.00,-4.06,5.93,-1.05,-,-,787.80,309.00,12_05_2021
SLI,43.78,475.00,481.00,460.00,478.00,468.67,"12,284.00",475.00,"5,757,192.50",548,3.00,21.00,0.63,4.57,1.95,-,-,787.80,309.00,12_06_2021
SLI,44.93,470.00,494.00,470.00,480.00,484.26,"10,016.00",478.00,"4,850,337.40",429,2.00,24.00,0.42,5.11,-0.89,-,-,787.80,309.00,12_07_2021
SLI,42.75,485.00,485.00,468.00,471.00,472.71,"5,877.00",480.00,"2,778,124.30",312,-9.00,17.00,-1.88,3.63,-0.36,-,-,787.80,309.00,12_08_2021
SLI,37.75,463.00,470.00,457.00,464.90,461.27,"7,180.00",471.00,"3,311,904.00",367,-6.10,13.00,-1.30,2.84,0.78,-,-,787.80,309.00,12_09_2021
SLI,40.97,463.00,470.00,457.00,464.90,461.27,"7,180.00",471.00,"3,311,904.00",367,-6.10,13.00,-1.30,2.84,0.78,-,-,787.80,309.00,12_10_2021
SLI,40.97,463.00,470.00,457.00,464.90,461.27,"7,180.00",471.00,"3,311,904.00",367,-6.10,13.00,-1.30,2.84,0.78,-,-,787.80,309.00,12_11_2021
SLI,40.32,460.00,460.00,441.00,441.00,449.35,"9,765.00",464.90,"4,387,903.00",429,-23.90,19.00,-5.14,4.31,-1.89,-,-,787.80,309.00,12_12_2021
SLI,34.40,433.10,434.50,424.40,428.00,430.63,"10,004.00",441.00,"4,308,069.00",392,-13.00,10.10,-2.95,2.38,-0.62,-,-,787.80,309.00,12_13_2021
