Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SMATA,47.04,"1,541.00","1,559.00","1,526.00","1,527.00","1,540.25","3,443.00","1,543.00","5,303,082.10",64,-16.00,33.00,-1.04,2.16,-0.87,"1,317.18","1,068.37","2,048.00",561.00,09_01_2021
SMATA,63.14,"1,632.00","1,632.00","1,585.00","1,601.00","1,612.71","2,863.00","1,600.00","4,617,190.70",60,1.00,47.00,0.06,2.97,-0.73,"1,547.14","1,276.23","2,048.00",561.00,11_03_2021
SMATA,56.93,"1,632.00","1,632.00","1,585.00","1,601.00","1,612.71","2,863.00","1,600.00","4,617,190.70",60,1.00,47.00,0.06,2.97,-0.73,"1,547.14","1,276.23","2,048.00",561.00,11_05_2021
SMATA,56.93,"1,632.00","1,632.00","1,585.00","1,601.00","1,612.71","2,863.00","1,600.00","4,617,190.70",60,1.00,47.00,0.06,2.97,-0.73,"1,547.14","1,276.23","2,048.00",561.00,11_06_2021
SMATA,56.93,"1,632.00","1,632.00","1,585.00","1,601.00","1,612.71","2,863.00","1,600.00","4,617,190.70",60,1.00,47.00,0.06,2.97,-0.73,"1,547.14","1,276.23","2,048.00",561.00,11_07_2021
SMATA,57.71,"1,585.00","1,601.00","1,585.00","1,600.00","1,587.63",759.00,"1,601.00","1,205,013.00",15,-1.00,16.00,-0.06,1.01,0.77,"1,554.39","1,282.20","2,048.00",561.00,11_08_2021
SMATA,50.74,"1,571.00","1,571.00","1,506.00","1,508.00","1,526.21","2,379.00","1,600.00","3,630,847.50",44,-92.00,65.00,-5.75,4.32,-1.21,"1,560.25","1,287.72","2,048.00",561.00,11_09_2021
SMATA,52.47,"1,571.00","1,571.00","1,506.00","1,508.00","1,526.21","2,379.00","1,600.00","3,630,847.50",44,-92.00,65.00,-5.75,4.32,-1.21,"1,560.25","1,287.72","2,048.00",561.00,11_10_2021
SMATA,50.42,"1,480.00","1,500.00","1,480.00","1,487.00","1,487.91","1,474.00","1,508.00","2,193,179.00",38,-21.00,20.00,-1.39,1.35,-0.06,"1,565.28","1,293.12","2,048.00",561.00,11_11_2021
SMATA,47.91,"1,480.00","1,500.00","1,480.00","1,487.00","1,487.91","1,474.00","1,508.00","2,193,179.00",38,-21.00,20.00,-1.39,1.35,-0.06,"1,565.28","1,293.12","2,048.00",561.00,11_12_2021
SMATA,47.91,"1,480.00","1,500.00","1,480.00","1,487.00","1,487.91","1,474.00","1,508.00","2,193,179.00",38,-21.00,20.00,-1.39,1.35,-0.06,"1,565.28","1,293.12","2,048.00",561.00,11_13_2021
SMATA,45.86,"1,480.00","1,494.00","1,458.00","1,460.00","1,471.84","1,080.00","1,487.00","1,589,586.00",25,-27.00,36.00,-1.82,2.47,-0.81,"1,569.41","1,298.25","2,048.00",561.00,11_14_2021
SMATA,40.11,"1,489.00","1,500.00","1,431.00","1,500.00","1,459.30","1,677.00","1,460.00","2,447,248.10",40,40.00,69.00,2.74,4.82,2.71,"1,573.08","1,303.68","2,048.00",561.00,11_15_2021
