Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SMB,64.18,"2,700.00","2,753.00","2,597.00","2,650.00","2,639.19",690.00,"2,755.00","1,821,039.00",35,-105.00,156.00,-3.81,6.01,0.41,"2,428.62","2,143.06","2,900.00",790.00,09_01_2021
SMB,49.75,"2,612.00","2,699.00","2,608.00","2,608.00","2,642.04",955.00,"2,651.00","2,523,151.90",27,-43.00,91.00,-1.62,3.49,-1.31,"2,543.53","2,423.47","2,900.00",843.00,11_03_2021
SMB,46.91,"2,612.00","2,699.00","2,608.00","2,608.00","2,642.04",955.00,"2,651.00","2,523,151.90",27,-43.00,91.00,-1.62,3.49,-1.31,"2,543.53","2,423.47","2,900.00",843.00,11_05_2021
SMB,46.91,"2,612.00","2,699.00","2,608.00","2,608.00","2,642.04",955.00,"2,651.00","2,523,151.90",27,-43.00,91.00,-1.62,3.49,-1.31,"2,543.53","2,423.47","2,900.00",843.00,11_06_2021
SMB,46.91,"2,612.00","2,699.00","2,608.00","2,608.00","2,642.04",955.00,"2,651.00","2,523,151.90",27,-43.00,91.00,-1.62,3.49,-1.31,"2,543.53","2,423.47","2,900.00",843.00,11_07_2021
SMB,47.69,"2,650.00","2,650.00","2,400.50","2,400.50","2,468.07","11,119.00","2,608.00","27,442,458.80",210,-207.50,249.50,-7.96,10.39,-2.81,"2,542.36","2,423.50","2,900.00",843.00,11_08_2021
SMB,55.53,"2,440.00","2,537.00","2,275.00","2,422.50","2,374.26","6,892.00","2,400.50","16,363,385.00",157,22.00,262.00,0.92,11.52,1.99,"2,542.96","2,422.33","2,900.00",855.00,11_09_2021
SMB,52.61,"2,440.00","2,537.00","2,275.00","2,422.50","2,374.26","6,892.00","2,400.50","16,363,385.00",157,22.00,262.00,0.92,11.52,1.99,"2,542.96","2,422.33","2,900.00",855.00,11_10_2021
SMB,50.56,"2,422.50","2,422.50","2,320.00","2,377.00","2,375.59","1,736.00","2,422.50","4,124,019.90",48,-45.50,102.50,-1.88,4.42,0.06,"2,542.94","2,421.40","2,900.00",861.00,11_11_2021
SMB,44.36,"2,422.50","2,422.50","2,320.00","2,377.00","2,375.59","1,736.00","2,422.50","4,124,019.90",48,-45.50,102.50,-1.88,4.42,0.06,"2,542.94","2,421.40","2,900.00",861.00,11_12_2021
SMB,44.36,"2,422.50","2,422.50","2,320.00","2,377.00","2,375.59","1,736.00","2,422.50","4,124,019.90",48,-45.50,102.50,-1.88,4.42,0.06,"2,542.94","2,421.40","2,900.00",861.00,11_13_2021
SMB,42.31,"2,377.00","2,395.00","2,303.00","2,340.00","2,331.25","1,125.00","2,377.00","2,622,658.00",40,-37.00,92.00,-1.56,3.99,0.37,"2,542.29","2,420.82","2,900.00",861.00,11_14_2021
SMB,42.47,"2,300.00","2,433.00","2,300.00","2,348.00","2,353.78","1,543.00","2,340.00","3,631,886.00",56,8.00,133.00,0.34,5.78,-0.25,"2,541.85","2,420.81","2,900.00",861.00,11_15_2021
SMB,53.81,"2,389.00","2,389.00","2,350.00","2,375.00","2,362.54",490.00,"2,348.00","1,157,646.00",25,27.00,39.00,1.15,1.66,0.52,"2,541.65","2,422.25","2,900.00",861.00,11_16_2021
SMB,49.80,"2,400.00","2,401.00","2,365.00","2,370.00","2,387.98","1,154.00","2,375.00","2,755,728.00",31,-5.00,36.00,-0.21,1.52,-0.76,"2,541.30","2,424.76","2,900.00",861.00,11_17_2021
SMB,53.30,"2,326.00","2,415.00","2,326.00","2,400.00","2,389.48","1,507.00","2,370.00","3,600,940.00",49,30.00,89.00,1.27,3.83,0.44,"2,540.94","2,426.37","2,900.00",861.00,11_18_2021
SMB,60.07,"2,326.00","2,415.00","2,326.00","2,400.00","2,389.48","1,507.00","2,370.00","3,600,940.00",49,30.00,89.00,1.27,3.83,0.44,"2,540.94","2,426.37","2,900.00",861.00,11_19_2021
SMB,60.07,"2,326.00","2,415.00","2,326.00","2,400.00","2,389.48","1,507.00","2,370.00","3,600,940.00",49,30.00,89.00,1.27,3.83,0.44,"2,540.94","2,426.37","2,900.00",861.00,11_20_2021
SMB,55.37,"2,360.00","2,432.00","2,355.00","2,360.00","2,366.69",371.00,"2,400.00","878,041.00",11,-40.00,77.00,-1.67,3.27,-0.28,"2,539.44","2,427.51","2,900.00",861.00,11_21_2021
SMB,48.32,"2,361.10","2,408.00","2,361.10","2,370.00","2,382.63","1,312.00","2,360.00","3,126,016.80",27,10.00,46.90,0.42,1.99,-0.53,"2,538.61","2,428.85","2,900.00",861.00,11_22_2021
SMB,52.90,"2,340.00","2,340.00","2,325.00","2,325.00","2,333.05",512.00,"2,370.00","1,194,520.00",11,-45.00,15.00,-1.90,0.65,-0.35,"2,537.07","2,430.38","2,900.00",861.00,11_23_2021
SMB,42.88,"2,287.00","2,345.00","2,287.00","2,335.00","2,328.13",251.00,"2,325.00","584,361.30",15,10.00,58.00,0.43,2.54,0.29,"2,535.43","2,432.02","2,900.00",861.00,11_24_2021
SMB,45.17,"2,324.00","2,350.00","2,316.00","2,316.00","2,327.20",442.00,"2,335.00","1,028,622.00",17,-19.00,34.00,-0.81,1.47,-0.48,"2,533.89","2,433.78","2,900.00",865.00,11_25_2021
