Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SMBPO,0.00,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",600.00,0.00,"600,600.00",2,"1,001.00",0.00,0.00,0.00,0.00,-,-,"1,001.00","1,001.00",04_13_2022
SMBPO,38.81,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",600.00,0.00,"600,600.00",2,"1,001.00",0.00,0.00,0.00,0.00,-,-,"1,001.00","1,001.00",04_14_2022
SMBPO,38.81,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",600.00,0.00,"600,600.00",2,"1,001.00",0.00,0.00,0.00,0.00,-,-,"1,001.00","1,001.00",04_15_2022
SMBPO,38.81,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",600.00,0.00,"600,600.00",2,"1,001.00",0.00,0.00,0.00,0.00,-,-,"1,001.00","1,001.00",04_16_2022
SMBPO,41.39,981.00,981.00,981.00,981.00,981.00,400.00,"1,001.00","392,400.00",1,-20.00,0.00,-2.00,0.00,0.00,-,-,"1,001.00",981.00,04_17_2022
SMBPO,30.25,981.00,981.00,981.00,981.00,981.00,500.00,981.00,"490,500.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,001.00",981.00,04_18_2022
SMBPO,29.38,981.00,981.00,981.00,981.00,981.00,500.00,981.00,"490,500.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,001.00",981.00,04_19_2022
SMBPO,29.43,981.00,981.00,981.00,981.00,981.00,"1,300.00",981.00,"1,275,300.00",3,0.00,0.00,0.00,0.00,0.00,-,-,"1,001.00",981.00,04_20_2022
SMBPO,32.46,962.00,962.00,962.00,962.00,962.00,"1,200.00",981.00,"1,154,400.00",3,-19.00,0.00,-1.94,0.00,0.00,-,-,"1,001.00",962.00,04_26_2022
SMBPO,34.56,962.00,962.00,962.00,962.00,575.19,"3,100.00",962.00,"1,783,080.00",10,0.00,0.00,0.00,0.00,40.21,-,-,"1,001.00",962.00,05_08_2022
SMBPO,33.51,652.00,652.00,652.00,652.00,652.00,200.00,652.00,"130,400.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,001.00",652.00,09_28_2022
SMBPO,25.30,652.00,652.00,652.00,652.00,652.00,"1,000.00",652.00,"652,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,001.00",652.00,10_09_2022
SMBPO,37.44,512.00,512.00,512.00,512.00,512.00,"7,150.00",652.00,"3,660,800.00",1,-140.00,0.00,-21.47,0.00,0.00,0.00,0.00,652.00,512.00,05_30_2023
