Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SMFBS,44.15,"2,500.00","2,525.00","2,500.00","2,525.00","2,514.57",432.00,"2,487.00","1,086,296.00",25,38.00,25.00,1.53,1.00,0.41,"2,483.13","2,264.20","3,110.00",940.00,09_01_2021
SMFBS,50.10,"2,754.00","2,754.00","2,690.00","2,700.00","2,700.52",384.00,"2,700.00","1,036,999.80",21,0.00,64.00,0.00,2.38,-0.02,"2,552.32","2,481.17","3,110.00",990.00,11_03_2021
SMFBS,46.17,"2,754.00","2,754.00","2,690.00","2,700.00","2,700.52",384.00,"2,700.00","1,036,999.80",21,0.00,64.00,0.00,2.38,-0.02,"2,552.32","2,481.17","3,110.00",990.00,11_05_2021
SMFBS,46.17,"2,754.00","2,754.00","2,690.00","2,700.00","2,700.52",384.00,"2,700.00","1,036,999.80",21,0.00,64.00,0.00,2.38,-0.02,"2,552.32","2,481.17","3,110.00",990.00,11_06_2021
SMFBS,46.17,"2,754.00","2,754.00","2,690.00","2,700.00","2,700.52",384.00,"2,700.00","1,036,999.80",21,0.00,64.00,0.00,2.38,-0.02,"2,552.32","2,481.17","3,110.00",990.00,11_07_2021
SMFBS,46.95,"2,725.00","2,779.50","2,700.00","2,720.00","2,734.22",503.00,"2,700.00","1,375,314.00",20,20.00,79.50,0.74,2.94,-0.52,"2,553.53","2,480.72","3,110.00",990.00,11_08_2021
SMFBS,44.49,"2,675.00","2,680.00","2,613.00","2,660.00","2,640.64",853.00,"2,720.00","2,252,465.40",29,-60.00,67.00,-2.21,2.56,0.73,"2,554.50","2,478.53","3,110.00",990.00,11_09_2021
SMFBS,43.84,"2,675.00","2,680.00","2,613.00","2,660.00","2,640.64",853.00,"2,720.00","2,252,465.40",29,-60.00,67.00,-2.21,2.56,0.73,"2,554.50","2,478.53","3,110.00",990.00,11_10_2021
SMFBS,41.79,"2,607.00","2,659.10","2,557.00","2,648.00","2,625.02",279.00,"2,660.00","732,381.20",17,-12.00,102.10,-0.45,3.99,0.87,"2,555.61","2,477.19","3,110.00",990.00,11_11_2021
SMFBS,40.93,"2,607.00","2,659.10","2,557.00","2,648.00","2,625.02",279.00,"2,660.00","732,381.20",17,-12.00,102.10,-0.45,3.99,0.87,"2,555.61","2,477.19","3,110.00",990.00,11_12_2021
