Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SMFDBP,59.56,779.00,779.00,779.00,779.00,779.00,"22,000.00",779.00,"17,138,000.00",10,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,11_25_2021
SMFDBP,62.94,779.00,779.00,779.00,779.00,779.00,"22,000.00",779.00,"17,138,000.00",10,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,11_26_2021
SMFDBP,62.94,779.00,779.00,779.00,779.00,779.00,"22,000.00",779.00,"17,138,000.00",10,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,11_27_2021
SMFDBP,58.70,779.00,779.00,779.00,779.00,779.00,"9,000.00",779.00,"7,011,000.00",13,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,12_02_2021
SMFDBP,53.10,779.00,779.00,779.00,779.00,779.00,"9,000.00",779.00,"7,011,000.00",13,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,12_03_2021
SMFDBP,53.10,779.00,779.00,779.00,779.00,779.00,"9,000.00",779.00,"7,011,000.00",13,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,12_04_2021
SMFDBP,45.07,779.00,779.00,779.00,779.00,779.00,"2,000.00",779.00,"1,558,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,12_21_2021
SMFDBP,30.89,779.00,779.00,779.00,779.00,779.00,"5,215.00",779.00,"4,062,485.00",11,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,12_26_2021
SMFDBP,33.39,779.00,779.00,779.00,779.00,779.00,"4,500.00",779.00,"3,505,500.00",9,0.00,0.00,0.00,0.00,0.00,-,-,907.00,680.00,12_27_2021
SMFDBP,37.20,764.00,764.00,764.00,764.00,764.00,"5,000.00",779.00,"3,820,000.00",1,-15.00,0.00,-1.93,0.00,0.00,-,-,907.00,680.00,12_29_2021
SMFDBP,38.54,764.00,764.00,764.00,764.00,764.00,"5,000.00",779.00,"3,820,000.00",1,-15.00,0.00,-1.93,0.00,0.00,-,-,907.00,680.00,12_30_2021
SMFDBP,38.54,764.00,764.00,764.00,764.00,764.00,"5,000.00",779.00,"3,820,000.00",1,-15.00,0.00,-1.93,0.00,0.00,-,-,907.00,680.00,12_31_2021
SMFDBP,38.54,764.00,764.00,764.00,764.00,764.00,"5,000.00",779.00,"3,820,000.00",1,-15.00,0.00,-1.93,0.00,0.00,-,-,907.00,680.00,01_01_2022
SMFDBP,32.39,561.00,561.00,561.00,561.00,561.00,"2,504.00",561.00,"1,404,744.00",3,0.00,0.00,0.00,0.00,0.00,-,-,907.00,561.00,05_17_2022
SMFDBP,26.54,561.00,561.00,561.00,561.00,561.00,"3,000.00",561.00,"1,683,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,907.00,561.00,05_18_2022
SMFDBP,25.56,561.00,561.00,561.00,561.00,561.00,"5,000.00",561.00,"2,805,000.00",6,0.00,0.00,0.00,0.00,0.00,-,-,907.00,561.00,05_26_2022
SMFDBP,26.66,561.00,561.00,561.00,561.00,561.00,"6,132.00",561.00,"3,440,052.00",1,0.00,0.00,0.00,0.00,0.00,-,-,907.00,561.00,06_07_2022
SMFDBP,38.58,561.00,561.00,561.00,561.00,561.00,"5,000.00",561.00,"2,805,000.00",7,0.00,0.00,0.00,0.00,0.00,-,-,907.00,561.00,08_02_2022
SMFDBP,28.73,561.00,561.00,561.00,561.00,561.00,"2,000.00",561.00,"1,122,000.00",4,0.00,0.00,0.00,0.00,0.00,-,-,779.00,561.00,09_14_2022
SMFDBP,34.36,561.00,561.00,561.00,561.00,561.00,"19,000.00",561.00,"10,659,000.00",15,0.00,0.00,0.00,0.00,0.00,-,-,779.00,561.00,09_15_2022
SMFDBP,25.44,423.40,423.40,423.40,423.40,423.40,"5,000.00",432.00,"2,117,000.00",2,-8.60,0.00,-1.99,0.00,0.00,0.00,0.00,561.00,423.40,04_19_2023
SMFDBP,35.81,415.00,415.00,415.00,415.00,415.00,"6,900.00",423.40,"2,863,500.00",1,-8.40,0.00,-1.98,0.00,0.00,0.00,0.00,561.00,415.00,04_20_2023
SMFDBP,42.04,415.00,415.00,415.00,415.00,415.00,"6,900.00",423.40,"2,863,500.00",1,-8.40,0.00,-1.98,0.00,0.00,0.00,0.00,561.00,415.00,04_21_2023
SMFDBP,42.04,415.00,415.00,415.00,415.00,415.00,"6,900.00",423.40,"2,863,500.00",1,-8.40,0.00,-1.98,0.00,0.00,0.00,0.00,561.00,415.00,04_22_2023
SMFDBP,42.04,406.70,406.70,406.70,406.70,406.70,"9,000.00",415.00,"3,660,300.00",1,-8.30,0.00,-2.00,0.00,0.00,0.00,0.00,561.00,406.70,04_23_2023
SMFDBP,41.01,398.60,398.60,398.60,398.60,398.60,"10,000.00",406.70,"3,986,000.00",1,-8.10,0.00,-1.99,0.00,0.00,0.00,0.00,561.00,398.60,04_25_2023
SMFDBP,42.80,390.70,390.70,390.70,390.70,390.70,"10,000.00",398.60,"3,907,000.00",1,-7.90,0.00,-1.98,0.00,0.00,0.00,0.00,561.00,390.70,04_26_2023
