Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SMH,0.00,391.00,430.10,391.00,430.10,427.61,"1,220.00",391.00,"521,679.50",130,39.10,39.10,10.00,10.00,0.58,0.00,0.00,430.10,391.00,03_27_2023
SMH,34.88,438.70,473.10,438.70,473.10,472.34,"1,120.00",430.10,"529,026.00",112,43.00,34.40,10.00,7.84,0.16,0.00,0.00,473.10,391.00,03_28_2023
SMH,51.74,480.00,520.40,480.00,520.40,519.98,"2,500.00",473.10,"1,299,954.00",250,47.30,40.40,10.00,8.42,0.08,0.00,0.00,520.40,391.00,03_29_2023
SMH,51.88,530.80,572.40,530.80,572.40,572.02,"5,950.00",520.40,"3,403,512.00",595,52.00,41.60,9.99,7.84,0.07,0.00,0.00,572.40,391.00,03_30_2023
SMH,50.46,530.80,572.40,530.80,572.40,572.02,"5,950.00",520.40,"3,403,512.00",595,52.00,41.60,9.99,7.84,0.07,0.00,0.00,572.40,391.00,03_31_2023
SMH,50.46,530.80,572.40,530.80,572.40,572.02,"5,950.00",520.40,"3,403,512.00",595,52.00,41.60,9.99,7.84,0.07,0.00,0.00,572.40,391.00,04_01_2023
SMH,50.46,580.00,629.60,579.00,585.00,616.50,"37,769.00",572.40,"23,284,501.00","2,425",12.60,50.60,2.20,8.74,-5.38,0.00,0.00,629.60,391.00,04_02_2023
SMH,49.04,575.00,576.00,550.20,560.10,559.42,"26,213.00",585.00,"14,664,131.20","2,154",-24.90,25.80,-4.26,4.69,0.12,0.00,0.00,629.60,391.00,04_03_2023
SMH,30.55,563.10,580.00,563.10,575.00,574.19,"8,530.00",574.00,"4,897,826.00",175,1.00,16.90,0.17,3.00,0.14,0.00,0.00,629.60,391.00,04_17_2023
SMH,30.97,568.00,570.90,560.00,563.00,565.17,"1,830.00",569.80,"1,034,255.00",98,-6.80,10.90,-1.19,1.95,-0.38,0.00,0.00,629.60,391.00,04_19_2023
SMH,33.87,552.10,571.00,552.10,569.90,562.04,"8,395.00",563.00,"4,718,324.90",126,6.90,18.90,1.23,3.42,1.38,0.00,0.00,629.60,391.00,04_20_2023
SMH,35.71,552.10,571.00,552.10,569.90,562.04,"8,395.00",563.00,"4,718,324.90",126,6.90,18.90,1.23,3.42,1.38,0.00,0.00,629.60,391.00,04_21_2023
SMH,35.71,552.10,571.00,552.10,569.90,562.04,"8,395.00",563.00,"4,718,324.90",126,6.90,18.90,1.23,3.42,1.38,0.00,0.00,629.60,391.00,04_22_2023
SMH,35.71,559.10,568.90,550.10,568.90,556.83,"7,820.00",569.90,"4,354,383.00",210,-1.00,18.80,-0.18,3.42,2.12,0.00,0.00,629.60,391.00,04_23_2023
SMH,32.76,557.60,566.00,550.20,560.10,557.59,"2,552.00",568.90,"1,422,976.20",136,-8.80,15.80,-1.55,2.87,0.45,0.00,0.00,629.60,391.00,04_24_2023
SMH,26.63,552.00,569.80,542.30,569.80,551.38,"4,498.00",560.10,"2,480,087.80",161,9.70,27.50,1.73,5.07,3.23,0.00,0.00,629.60,391.00,04_25_2023
SMH,32.07,578.50,578.50,555.00,560.10,563.44,"6,570.00",569.80,"3,701,788.00",151,-9.70,23.50,-1.70,4.23,-0.60,0.00,0.00,629.60,391.00,04_26_2023
SMH,28.87,549.20,563.00,549.20,563.00,557.42,"2,935.00",560.10,"1,636,027.00",121,2.90,13.80,0.52,2.51,0.99,0.00,0.00,629.60,391.00,04_27_2023
SMH,24.86,549.20,563.00,549.20,563.00,557.42,"2,935.00",560.10,"1,636,027.00",121,2.90,13.80,0.52,2.51,0.99,0.00,0.00,629.60,391.00,04_28_2023
SMH,24.86,549.20,563.00,549.20,563.00,557.42,"2,935.00",560.10,"1,636,027.00",121,2.90,13.80,0.52,2.51,0.99,0.00,0.00,629.60,391.00,04_29_2023
