Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SPC,0.00,296.30,320.50,296.30,320.50,307.70,57.00,296.20,"17,539.10",9,24.20,24.20,8.17,8.17,3.99,-,-,320.50,296.30,11_25_2021
SPC,52.45,296.30,320.50,296.30,320.50,307.70,57.00,296.20,"17,539.10",9,24.20,24.20,8.17,8.17,3.99,-,-,320.50,296.30,11_26_2021
SPC,52.45,296.30,320.50,296.30,320.50,307.70,57.00,296.20,"17,539.10",9,24.20,24.20,8.17,8.17,3.99,-,-,320.50,296.30,11_27_2021
SPC,49.55,326.90,346.80,326.90,346.80,333.48,71.00,320.50,"23,677.20",13,26.30,19.90,8.21,6.09,3.84,-,-,346.80,296.30,11_28_2021
SPC,58.05,353.70,381.40,353.70,381.40,367.94,67.00,346.80,"24,651.70",8,34.60,27.70,9.98,7.83,3.53,-,-,381.40,296.30,11_29_2021
SPC,57.28,389.00,419.50,389.00,419.50,406.80,70.00,381.40,"28,476.00",15,38.10,30.50,9.99,7.84,3.03,-,-,419.50,296.30,11_30_2021
SPC,56.65,427.80,461.40,427.80,461.40,455.88,160.00,419.50,"72,941.20",17,41.90,33.60,9.99,7.85,1.20,-,-,461.40,296.30,12_01_2021
SPC,59.32,470.60,507.50,470.60,507.50,506.21,700.00,461.40,"354,345.00",70,46.10,36.90,9.99,7.84,0.25,-,-,507.50,296.30,12_02_2021
SPC,58.96,470.60,507.50,470.60,507.50,506.21,700.00,461.40,"354,345.00",70,46.10,36.90,9.99,7.84,0.25,-,-,507.50,296.30,12_03_2021
SPC,58.96,470.60,507.50,470.60,507.50,506.21,700.00,461.40,"354,345.00",70,46.10,36.90,9.99,7.84,0.25,-,-,507.50,296.30,12_04_2021
SPC,58.06,517.00,558.20,471.00,500.00,530.39,"33,698.00",507.50,"17,873,241.70","1,810",-7.50,87.20,-1.48,18.51,-6.08,-,-,558.20,296.30,12_05_2021
SPC,54.17,510.00,510.00,455.00,500.00,471.24,"10,801.00",500.00,"5,089,838.00",782,0.00,55.00,0.00,12.09,5.75,-,-,558.20,296.30,12_06_2021
SPC,50.63,510.00,519.00,471.60,475.00,488.65,"6,274.00",500.00,"3,065,806.00",297,-25.00,47.40,-5.00,10.05,-2.87,-,-,558.20,296.30,12_07_2021
SPC,42.25,467.00,467.00,427.50,441.00,439.79,"8,150.00",475.00,"3,584,326.00",246,-34.00,39.50,-7.16,9.24,0.27,-,-,558.20,296.30,12_08_2021
SPC,35.98,432.30,440.00,418.50,425.00,424.83,"5,381.00",441.00,"2,286,022.40",223,-16.00,21.50,-3.63,5.14,0.04,-,-,558.20,296.30,12_09_2021
