Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SPHL,0.00,194.80,214.20,194.80,214.20,213.46,950.00,194.80,"202,785.00",98,19.40,19.40,9.96,9.96,0.35,-,-,214.20,194.80,10_17_2022
SPHL,36.12,194.80,214.20,194.80,214.20,213.46,950.00,194.80,"202,785.00",98,19.40,19.40,9.96,9.96,0.35,-,-,214.20,194.80,10_18_2022
SPHL,35.31,218.40,235.60,218.40,235.60,235.40,"4,133.00",214.20,"972,922.80",175,21.40,17.20,9.99,7.88,0.08,-,-,235.60,194.80,10_19_2022
SPHL,46.01,240.30,259.10,240.30,259.10,258.86,"4,194.00",235.60,"1,085,641.40",196,23.50,18.80,9.97,7.82,0.09,-,-,259.10,194.80,10_20_2022
SPHL,46.11,240.30,259.10,240.30,259.10,258.86,"4,194.00",235.60,"1,085,641.40",196,23.50,18.80,9.97,7.82,0.09,-,-,259.10,194.80,10_21_2022
SPHL,46.11,240.30,259.10,240.30,259.10,258.86,"4,194.00",235.60,"1,085,641.40",196,23.50,18.80,9.97,7.82,0.09,-,-,259.10,194.80,10_22_2022
SPHL,46.11,264.20,285.00,264.20,285.00,284.06,"1,430.00",259.10,"406,202.00",96,25.90,20.80,10.00,7.87,0.33,-,-,285.00,194.80,10_23_2022
SPHL,41.42,264.20,285.00,264.20,285.00,284.06,"1,430.00",259.10,"406,202.00",96,25.90,20.80,10.00,7.87,0.33,-,-,285.00,194.80,10_24_2022
SPHL,41.42,264.20,285.00,264.20,285.00,284.06,"1,430.00",259.10,"406,202.00",96,25.90,20.80,10.00,7.87,0.33,-,-,285.00,194.80,10_25_2022
SPHL,41.42,264.20,285.00,264.20,285.00,284.06,"1,430.00",259.10,"406,202.00",96,25.90,20.80,10.00,7.87,0.33,-,-,285.00,194.80,10_26_2022
SPHL,41.42,264.20,285.00,264.20,285.00,284.06,"1,430.00",259.10,"406,202.00",96,25.90,20.80,10.00,7.87,0.33,-,-,285.00,194.80,10_27_2022
SPHL,41.42,264.20,285.00,264.20,285.00,284.06,"1,430.00",259.10,"406,202.00",96,25.90,20.80,10.00,7.87,0.33,-,-,285.00,194.80,10_28_2022
SPHL,41.42,264.20,285.00,264.20,285.00,284.06,"1,430.00",259.10,"406,202.00",96,25.90,20.80,10.00,7.87,0.33,-,-,285.00,194.80,10_29_2022
SPHL,41.42,264.20,285.00,264.20,285.00,284.06,"1,430.00",259.10,"406,202.00",96,25.90,20.80,10.00,7.87,0.33,-,-,285.00,194.80,10_30_2022
SPHL,41.56,290.70,313.50,290.70,313.50,313.44,"9,267.00",285.00,"2,904,644.50",436,28.50,22.80,10.00,7.84,0.02,-,-,313.50,194.80,10_31_2022
SPHL,51.31,319.70,326.00,284.20,312.00,298.47,"25,937.00",313.50,"7,741,304.10","1,369",-1.50,41.80,-0.48,14.71,4.34,-,-,326.00,194.80,11_01_2022
SPHL,49.06,318.20,324.00,301.00,314.90,306.75,"8,948.00",312.00,"2,744,784.00",500,2.90,23.00,0.93,7.64,2.59,-,-,326.00,194.80,11_02_2022
