Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SPIL,43.14,552.40,558.00,552.10,553.00,554.31,"9,853.00",557.00,"5,461,587.80",78,-4.00,5.90,-0.72,1.07,-0.24,0.00,0.00,638.00,534.00,04_17_2023
SPIL,27.40,560.00,571.00,555.00,571.00,564.18,"14,649.00",558.80,"8,264,714.50",114,12.20,16.00,2.18,2.88,1.19,0.00,0.00,638.00,534.00,04_19_2023
SPIL,50.59,577.90,585.00,571.00,579.00,579.63,"28,677.00",571.00,"16,622,133.40",193,8.00,14.00,1.40,2.45,-0.11,0.00,0.00,638.00,534.00,04_20_2023
SPIL,49.32,577.90,585.00,571.00,579.00,579.63,"28,677.00",571.00,"16,622,133.40",193,8.00,14.00,1.40,2.45,-0.11,0.00,0.00,638.00,534.00,04_21_2023
SPIL,49.32,577.90,585.00,571.00,579.00,579.63,"28,677.00",571.00,"16,622,133.40",193,8.00,14.00,1.40,2.45,-0.11,0.00,0.00,638.00,534.00,04_22_2023
SPIL,49.32,570.00,579.00,570.00,572.10,573.01,"5,153.00",579.00,"2,952,696.10",81,-6.90,9.00,-1.19,1.58,-0.16,0.00,0.00,638.00,534.00,04_23_2023
SPIL,40.42,570.00,577.00,563.00,576.00,571.77,"4,437.00",572.10,"2,536,954.50",71,3.90,14.00,0.68,2.49,0.73,0.00,0.00,638.00,534.00,04_24_2023
SPIL,39.08,566.80,606.00,566.80,602.00,578.78,"35,842.00",576.00,"20,744,455.50",174,26.00,39.20,4.51,6.92,3.86,0.00,0.00,638.00,534.00,04_25_2023
SPIL,48.00,612.90,612.90,590.00,590.00,595.99,"20,075.00",602.00,"11,964,524.30",172,-12.00,22.90,-1.99,3.88,-1.02,0.00,0.00,638.00,534.00,04_26_2023
SPIL,44.55,587.30,613.80,578.50,594.00,585.92,"11,143.00",590.00,"6,528,905.60",118,4.00,35.30,0.68,6.10,1.36,0.00,0.00,638.00,534.00,04_27_2023
SPIL,41.03,587.30,613.80,578.50,594.00,585.92,"11,143.00",590.00,"6,528,905.60",118,4.00,35.30,0.68,6.10,1.36,0.00,0.00,638.00,534.00,04_28_2023
SPIL,41.03,587.30,613.80,578.50,594.00,585.92,"11,143.00",590.00,"6,528,905.60",118,4.00,35.30,0.68,6.10,1.36,0.00,0.00,638.00,534.00,04_29_2023
SPIL,41.03,585.00,594.00,575.00,594.00,581.41,"12,512.00",594.00,"7,274,570.50",134,0.00,19.00,0.00,3.30,2.12,0.00,0.00,638.00,534.00,04_30_2023
SPIL,40.75,585.00,594.00,575.00,594.00,581.41,"12,512.00",594.00,"7,274,570.50",134,0.00,19.00,0.00,3.30,2.12,0.00,0.00,638.00,534.00,05_01_2023
SPIL,41.74,582.20,585.00,575.10,580.00,579.76,"2,154.00",594.00,"1,248,798.50",46,-14.00,9.90,-2.36,1.72,0.04,0.00,0.00,638.00,534.00,05_02_2023
SPIL,23.26,580.00,580.00,568.50,570.00,569.61,"10,962.00",580.00,"6,244,039.40",73,-10.00,11.50,-1.72,2.02,0.07,0.00,0.00,638.00,534.00,05_03_2023
SPIL,24.00,570.10,579.00,565.00,573.00,572.98,"5,359.00",570.00,"3,070,595.50",67,3.00,14.00,0.53,2.48,0.00,0.00,0.00,638.00,534.00,05_04_2023
SPIL,23.19,570.10,579.00,565.00,573.00,572.98,"5,359.00",570.00,"3,070,595.50",67,3.00,14.00,0.53,2.48,0.00,0.00,0.00,638.00,534.00,05_05_2023
SPIL,23.19,570.10,579.00,565.00,573.00,572.98,"5,359.00",570.00,"3,070,595.50",67,3.00,14.00,0.53,2.48,0.00,0.00,0.00,638.00,534.00,05_06_2023
SPIL,23.19,565.10,571.00,565.10,568.50,568.96,"4,228.00",573.00,"2,405,555.10",32,-4.50,5.90,-0.79,1.04,-0.08,0.00,0.00,638.00,534.00,05_07_2023
SPIL,20.36,568.00,570.00,562.20,569.00,565.54,"13,706.00",568.50,"7,751,230.10",66,0.50,7.80,0.09,1.39,0.61,0.00,0.00,638.00,534.00,05_08_2023
SPIL,25.54,558.10,580.30,558.10,569.00,566.17,"3,353.00",569.00,"1,898,378.30",45,0.00,22.20,0.00,3.98,0.50,0.00,0.00,638.00,534.00,05_09_2023
SPIL,25.18,579.90,579.90,564.00,577.80,571.24,"13,874.00",569.00,"7,925,370.60",76,8.80,15.90,1.55,2.82,1.14,0.00,0.00,638.00,534.00,05_10_2023
SPIL,32.99,589.00,589.00,568.00,575.00,574.86,"14,119.00",577.80,"8,116,471.60",65,-2.80,21.00,-0.48,3.70,0.02,0.00,0.00,638.00,534.00,05_11_2023
SPIL,36.57,589.00,589.00,568.00,575.00,574.86,"14,119.00",577.80,"8,116,471.60",65,-2.80,21.00,-0.48,3.70,0.02,0.00,0.00,638.00,534.00,05_12_2023
SPIL,36.57,589.00,589.00,568.00,575.00,574.86,"14,119.00",577.80,"8,116,471.60",65,-2.80,21.00,-0.48,3.70,0.02,0.00,0.00,638.00,534.00,05_13_2023
SPIL,36.57,586.00,586.00,564.00,567.60,570.91,"5,990.00",575.00,"3,419,723.60",52,-7.40,22.00,-1.29,3.90,-0.58,0.00,0.00,638.00,534.00,05_14_2023
SPIL,22.01,570.00,570.00,561.00,563.00,564.27,"13,421.00",567.60,"7,573,062.70",96,-4.60,9.00,-0.81,1.60,-0.23,0.00,0.00,638.00,534.00,05_15_2023
SPIL,26.81,563.00,570.00,552.10,569.00,563.26,"7,381.00",563.00,"4,157,414.40",75,6.00,17.90,1.07,3.24,1.01,0.00,0.00,638.00,534.00,05_16_2023
SPIL,25.57,569.00,604.00,565.00,603.90,579.39,"14,951.00",569.00,"8,662,478.20",118,34.90,39.00,6.13,6.90,4.06,0.00,0.00,638.00,534.00,05_17_2023
SPIL,48.87,614.00,615.00,587.00,603.10,602.70,"13,730.00",603.90,"8,275,036.50",159,-0.80,28.00,-0.13,4.77,0.07,0.00,0.00,638.00,534.00,05_18_2023
SPIL,49.02,614.00,615.00,587.00,603.10,602.70,"13,730.00",603.90,"8,275,036.50",159,-0.80,28.00,-0.13,4.77,0.07,0.00,0.00,638.00,534.00,05_19_2023
SPIL,49.02,614.00,615.00,587.00,603.10,602.70,"13,730.00",603.90,"8,275,036.50",159,-0.80,28.00,-0.13,4.77,0.07,0.00,0.00,638.00,534.00,05_20_2023
SPIL,49.02,602.00,614.90,597.00,614.00,605.14,"26,530.00",603.10,"16,054,464.30",161,10.90,17.90,1.81,3.00,1.44,0.00,0.00,638.00,534.00,05_21_2023
SPIL,51.01,619.00,630.00,598.00,622.00,612.14,"17,368.00",614.00,"10,631,609.30",147,8.00,32.00,1.30,5.35,1.59,0.00,0.00,638.00,534.00,05_22_2023
SPIL,50.33,633.00,644.00,621.50,644.00,633.83,"21,920.00",622.00,"13,893,611.00",187,22.00,22.50,3.54,3.62,1.58,0.00,0.00,644.00,534.00,05_23_2023
SPIL,51.70,644.00,669.00,637.00,668.00,656.63,"37,717.00",644.00,"24,766,300.60",211,24.00,32.00,3.73,5.02,1.70,0.00,0.00,669.00,534.00,05_24_2023
SPIL,57.69,644.00,669.00,637.00,668.00,656.63,"37,717.00",644.00,"24,766,300.60",211,24.00,32.00,3.73,5.02,1.70,0.00,0.00,669.00,534.00,05_25_2023
SPIL,57.69,644.00,669.00,637.00,668.00,656.63,"37,717.00",644.00,"24,766,300.60",211,24.00,32.00,3.73,5.02,1.70,0.00,0.00,669.00,534.00,05_26_2023
SPIL,57.69,644.00,669.00,637.00,668.00,656.63,"37,717.00",644.00,"24,766,300.60",211,24.00,32.00,3.73,5.02,1.70,0.00,0.00,669.00,534.00,05_27_2023
SPIL,60.44,668.00,672.00,641.00,653.00,654.97,"23,891.00",668.00,"15,647,931.80",176,-15.00,31.00,-2.25,4.84,-0.30,0.00,0.00,672.00,534.00,05_28_2023
SPIL,52.95,668.00,672.00,641.00,653.00,654.97,"23,891.00",668.00,"15,647,931.80",176,-15.00,31.00,-2.25,4.84,-0.30,0.00,0.00,672.00,534.00,05_29_2023
SPIL,53.25,640.00,643.00,621.00,622.90,625.88,"33,440.00",653.00,"20,929,434.80",161,-30.10,22.00,-4.61,3.54,-0.48,0.00,0.00,672.00,534.00,05_30_2023
SPIL,-,610.50,634.00,598.30,606.00,608.66,"22,279.00",622.90,"13,560,400.20",162,-16.90,35.70,-2.71,5.97,-0.44,0.00,0.00,672.00,534.00,05_31_2023
SPIL,-,609.00,620.00,597.20,614.90,607.50,"24,326.00",606.00,"14,778,108.70",141,8.90,22.80,1.47,3.82,1.20,0.00,0.00,672.00,534.00,06_01_2023
SPIL,37.72,609.00,620.00,597.20,614.90,607.50,"24,326.00",606.00,"14,778,108.70",141,8.90,22.80,1.47,3.82,1.20,0.00,0.00,672.00,534.00,06_02_2023
SPIL,37.72,609.00,620.00,597.20,614.90,607.50,"24,326.00",606.00,"14,778,108.70",141,8.90,22.80,1.47,3.82,1.20,0.00,0.00,672.00,534.00,06_03_2023
SPIL,-,627.00,649.90,625.00,647.00,634.88,"17,941.00",614.90,"11,390,427.70",141,32.10,24.90,5.22,3.98,1.87,0.00,0.00,672.00,534.00,06_04_2023
SPIL,-,647.00,649.00,635.30,637.00,640.42,"42,859.00",647.00,"27,447,702.10",130,-10.00,13.70,-1.55,2.16,-0.54,0.00,0.00,672.00,534.00,06_05_2023
SPIL,-,635.10,688.00,635.10,687.00,665.63,"61,375.00",637.00,"40,853,219.30",408,50.00,52.90,7.85,8.33,3.11,0.00,0.00,688.00,534.00,06_06_2023
SPIL,-,674.00,705.00,673.20,680.40,688.14,"38,855.00",687.00,"26,737,648.40",280,-6.60,31.80,-0.96,4.72,-1.14,0.00,0.00,705.00,534.00,06_07_2023
SPIL,-,684.00,730.00,678.00,715.00,711.27,"135,410.00",680.40,"96,313,509.70",361,34.60,52.00,5.09,7.67,0.52,0.00,0.00,730.00,534.00,06_08_2023
SPIL,51.15,684.00,730.00,678.00,715.00,711.27,"135,410.00",680.40,"96,313,509.70",361,34.60,52.00,5.09,7.67,0.52,0.00,0.00,730.00,534.00,06_09_2023
SPIL,51.15,684.00,730.00,678.00,715.00,711.27,"135,410.00",680.40,"96,313,509.70",361,34.60,52.00,5.09,7.67,0.52,0.00,0.00,730.00,534.00,06_10_2023
SPIL,-,728.00,728.00,708.00,723.00,716.08,"47,664.00",715.00,"34,131,158.70",252,8.00,20.00,1.12,2.82,0.96,0.00,0.00,730.00,534.00,06_11_2023
SPIL,-,729.00,758.30,703.00,758.00,715.49,"70,557.00",723.00,"50,483,048.80",327,35.00,55.30,4.84,7.87,5.61,0.00,0.00,758.30,534.00,06_12_2023
SPIL,-,743.00,805.00,729.00,760.00,756.39,"73,729.00",758.00,"55,767,926.70",451,2.00,76.00,0.26,10.43,0.47,0.00,0.00,805.00,534.00,06_13_2023
SPIL,-,750.00,769.90,742.90,767.00,758.45,"79,981.00",760.00,"60,661,816.90",433,7.00,27.00,0.92,3.63,1.11,0.00,0.00,805.00,534.00,06_14_2023
SPIL,-,751.70,775.00,751.70,773.50,761.82,"45,913.00",767.00,"34,977,322.00",266,6.50,23.30,0.85,3.10,1.51,0.00,0.00,805.00,534.00,06_15_2023
