Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SPL,0.00,265.00,291.50,265.00,291.50,285.83,200.00,265.00,"57,166.70",23,26.50,26.50,10.00,10.00,1.94,0.00,0.00,291.50,265.00,03_07_2023
SPL,32.88,265.00,291.50,265.00,291.50,285.83,200.00,265.00,"57,166.70",23,26.50,26.50,10.00,10.00,1.94,0.00,0.00,291.50,265.00,03_08_2023
SPL,31.32,297.30,320.60,297.30,320.60,319.40,480.00,291.50,"153,314.00",48,29.10,23.30,9.98,7.84,0.37,0.00,0.00,320.60,265.00,03_09_2023
SPL,53.00,297.30,320.60,297.30,320.60,319.40,480.00,291.50,"153,314.00",48,29.10,23.30,9.98,7.84,0.37,0.00,0.00,320.60,265.00,03_10_2023
SPL,53.00,297.30,320.60,297.30,320.60,319.40,480.00,291.50,"153,314.00",48,29.10,23.30,9.98,7.84,0.37,0.00,0.00,320.60,265.00,03_11_2023
SPL,53.00,327.00,352.60,327.00,352.60,351.60,700.00,320.60,"246,123.00",71,32.00,25.60,9.98,7.83,0.28,0.00,0.00,352.60,265.00,03_12_2023
SPL,46.37,359.60,387.80,359.60,387.80,387.66,"5,031.00",352.60,"1,950,322.80",227,35.20,28.20,9.98,7.84,0.04,0.00,0.00,387.80,265.00,03_13_2023
SPL,44.77,395.00,426.50,395.00,426.50,426.25,"3,160.00",387.80,"1,346,959.00",316,38.70,31.50,9.98,7.97,0.06,0.00,0.00,426.50,265.00,03_14_2023
SPL,47.55,435.00,469.10,435.00,469.10,468.98,"7,236.00",426.50,"3,393,570.60",437,42.60,34.10,9.99,7.84,0.02,0.00,0.00,469.10,265.00,03_15_2023
SPL,48.02,478.40,516.00,478.40,516.00,513.74,"19,555.00",469.10,"10,046,282.00","1,418",46.90,37.60,10.00,7.86,0.44,0.00,0.00,516.00,265.00,03_16_2023
SPL,49.89,478.40,516.00,478.40,516.00,513.74,"19,555.00",469.10,"10,046,282.00","1,418",46.90,37.60,10.00,7.86,0.44,0.00,0.00,516.00,265.00,03_17_2023
SPL,49.89,478.40,516.00,478.40,516.00,513.74,"19,555.00",469.10,"10,046,282.00","1,418",46.90,37.60,10.00,7.86,0.44,0.00,0.00,516.00,265.00,03_18_2023
SPL,49.89,526.30,567.60,510.00,567.60,540.25,"50,123.00",516.00,"27,078,955.80","3,155",51.60,57.60,10.00,11.29,4.82,0.00,0.00,567.60,265.00,03_19_2023
SPL,46.02,565.00,610.90,534.40,590.00,589.73,"20,723.00",567.60,"12,220,973.80","1,275",22.40,76.50,3.95,14.32,0.05,0.00,0.00,610.90,265.00,03_20_2023
SPL,42.00,565.00,610.90,534.40,590.00,589.73,"20,723.00",567.60,"12,220,973.80","1,275",22.40,76.50,3.95,14.32,0.05,0.00,0.00,610.90,265.00,03_21_2023
SPL,43.43,590.00,590.00,564.00,569.70,571.54,"13,780.00",590.00,"7,875,859.30","1,213",-20.30,26.00,-3.44,4.61,-0.32,0.00,0.00,610.90,265.00,03_22_2023
SPL,36.10,560.00,560.00,526.60,537.00,539.00,"24,690.00",569.70,"13,308,010.30",933,-32.70,33.40,-5.74,6.34,-0.37,0.00,0.00,610.90,265.00,03_23_2023
SPL,34.49,560.00,560.00,526.60,537.00,539.00,"24,690.00",569.70,"13,308,010.30",933,-32.70,33.40,-5.74,6.34,-0.37,0.00,0.00,610.90,265.00,03_24_2023
SPL,34.49,560.00,560.00,526.60,537.00,539.00,"24,690.00",569.70,"13,308,010.30",933,-32.70,33.40,-5.74,6.34,-0.37,0.00,0.00,610.90,265.00,03_25_2023
SPL,34.49,526.30,537.00,515.00,530.00,529.67,"8,215.00",537.00,"4,351,208.00",586,-7.00,22.00,-1.30,4.27,0.06,0.00,0.00,610.90,265.00,03_26_2023
SPL,28.40,535.00,537.10,515.00,535.00,524.57,"10,120.00",530.00,"5,308,599.00",387,5.00,22.10,0.94,4.29,1.95,0.00,0.00,610.90,265.00,03_27_2023
SPL,32.36,545.00,557.90,525.00,544.00,544.00,"8,314.00",535.00,"4,522,801.00",267,9.00,32.90,1.68,6.27,0.00,0.00,0.00,610.90,265.00,03_28_2023
SPL,32.75,533.30,566.00,531.10,550.00,548.35,"10,120.00",544.00,"5,549,275.80",367,6.00,34.90,1.10,6.57,0.30,0.00,0.00,610.90,265.00,03_29_2023
SPL,31.96,539.00,560.00,539.00,544.50,545.72,"5,787.00",550.00,"3,158,064.00",168,-5.50,21.00,-1.00,3.90,-0.22,0.00,0.00,610.90,265.00,03_30_2023
SPL,28.23,539.00,560.00,539.00,544.50,545.72,"5,787.00",550.00,"3,158,064.00",168,-5.50,21.00,-1.00,3.90,-0.22,0.00,0.00,610.90,265.00,03_31_2023
SPL,28.23,539.00,560.00,539.00,544.50,545.72,"5,787.00",550.00,"3,158,064.00",168,-5.50,21.00,-1.00,3.90,-0.22,0.00,0.00,610.90,265.00,04_01_2023
SPL,28.23,544.00,544.00,520.00,520.00,527.68,"6,780.00",544.50,"3,577,681.40",226,-24.50,24.00,-4.50,4.62,-1.48,0.00,0.00,610.90,265.00,04_02_2023
SPL,26.45,525.00,526.00,511.30,521.00,517.02,"9,223.00",520.00,"4,768,508.80",238,1.00,14.70,0.19,2.88,0.76,0.00,0.00,610.90,265.00,04_03_2023
SPL,38.39,565.00,565.00,535.00,550.00,543.07,"4,250.00",557.00,"2,308,064.00",116,-7.00,30.00,-1.26,5.61,1.26,0.00,0.00,610.90,265.00,04_17_2023
SPL,32.48,540.00,560.00,536.10,554.00,551.60,"3,770.00",550.00,"2,079,515.00",97,4.00,23.90,0.73,4.46,0.43,0.00,0.00,610.90,265.00,04_19_2023
SPL,40.50,550.00,565.00,538.10,549.80,551.35,"2,641.00",554.00,"1,456,125.50",87,-4.20,26.90,-0.76,5.00,-0.28,0.00,0.00,610.90,265.00,04_20_2023
SPL,26.90,550.00,565.00,538.10,549.80,551.35,"2,641.00",554.00,"1,456,125.50",87,-4.20,26.90,-0.76,5.00,-0.28,0.00,0.00,610.90,265.00,04_21_2023
