Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SRBL,48.75,355.00,365.00,350.20,356.00,357.00,"95,812.00",355.00,"34,205,051.50",388,1.00,14.80,0.28,4.23,-0.28,344.13,323.68,418.20,224.00,09_01_2021
SRBL,64.75,316.00,318.80,313.00,316.00,315.13,"53,872.00",319.20,"16,976,827.40",191,-3.20,5.80,-1.00,1.85,0.27,348.51,336.69,418.20,235.00,11_03_2021
SRBL,64.07,316.00,318.80,313.00,316.00,315.13,"53,872.00",319.20,"16,976,827.40",191,-3.20,5.80,-1.00,1.85,0.27,348.51,336.69,418.20,235.00,11_05_2021
SRBL,64.07,316.00,318.80,313.00,316.00,315.13,"53,872.00",319.20,"16,976,827.40",191,-3.20,5.80,-1.00,1.85,0.27,348.51,336.69,418.20,235.00,11_06_2021
SRBL,64.07,316.00,318.80,313.00,316.00,315.13,"53,872.00",319.20,"16,976,827.40",191,-3.20,5.80,-1.00,1.85,0.27,348.51,336.69,418.20,235.00,11_07_2021
SRBL,64.86,315.00,315.00,309.90,311.00,311.98,"36,503.00",316.00,"11,388,332.00",167,-5.00,5.10,-1.58,1.65,-0.32,348.57,336.80,418.20,235.00,11_08_2021
SRBL,47.94,304.80,305.00,292.00,293.00,297.24,"215,064.00",311.00,"63,924,751.10",876,-18.00,13.00,-5.79,4.45,-1.45,348.41,336.79,418.20,235.00,11_09_2021
SRBL,51.59,304.80,305.00,292.00,293.00,297.24,"215,064.00",311.00,"63,924,751.10",876,-18.00,13.00,-5.79,4.45,-1.45,348.41,336.79,418.20,235.00,11_10_2021
SRBL,49.54,290.10,295.00,287.00,287.10,288.89,"129,095.00",293.00,"37,294,838.30",367,-5.90,8.00,-2.01,2.79,-0.63,348.22,336.60,418.20,235.00,11_11_2021
SRBL,48.83,290.10,295.00,287.00,287.10,288.89,"129,095.00",293.00,"37,294,838.30",367,-5.90,8.00,-2.01,2.79,-0.63,348.22,336.60,418.20,235.00,11_12_2021
SRBL,48.83,290.10,295.00,287.00,287.10,288.89,"129,095.00",293.00,"37,294,838.30",367,-5.90,8.00,-2.01,2.79,-0.63,348.22,336.60,418.20,235.00,11_13_2021
SRBL,46.78,287.10,290.00,278.00,288.00,286.99,"39,691.00",287.10,"11,390,800.70",198,0.90,12.00,0.31,4.32,0.35,348.04,336.47,418.20,235.00,11_14_2021
SRBL,42.50,286.00,291.90,286.00,288.40,289.44,"38,929.00",288.00,"11,267,725.20",177,0.40,5.90,0.14,2.06,-0.36,347.88,336.27,418.20,235.00,11_15_2021
SRBL,43.05,292.00,297.80,287.00,297.00,293.70,"57,615.00",288.40,"16,921,431.70",208,8.60,10.80,2.98,3.76,1.11,347.78,336.11,418.20,235.00,11_16_2021
SRBL,60.28,301.00,301.00,291.10,295.00,295.09,"62,154.00",297.00,"18,340,819.60",199,-2.00,9.90,-0.67,3.40,-0.03,347.60,335.97,418.20,235.00,11_17_2021
SRBL,59.90,290.00,295.00,289.10,292.00,291.16,"33,589.00",295.00,"9,779,920.60",165,-3.00,5.90,-1.02,2.04,0.29,347.39,335.80,418.20,235.00,11_18_2021
SRBL,57.64,290.00,295.00,289.10,292.00,291.16,"33,589.00",295.00,"9,779,920.60",165,-3.00,5.90,-1.02,2.04,0.29,347.39,335.80,418.20,235.00,11_19_2021
SRBL,57.64,290.00,295.00,289.10,292.00,291.16,"33,589.00",295.00,"9,779,920.60",165,-3.00,5.90,-1.02,2.04,0.29,347.39,335.80,418.20,235.00,11_20_2021
SRBL,52.94,292.00,292.00,287.70,287.90,289.35,"27,857.00",292.00,"8,060,410.70",177,-4.10,4.30,-1.40,1.49,-0.50,347.13,335.58,418.20,235.00,11_21_2021
SRBL,48.51,291.00,293.00,287.10,288.00,289.84,"34,054.00",287.90,"9,870,258.00",159,0.10,5.90,0.03,2.06,-0.64,346.85,335.22,418.20,235.00,11_22_2021
