Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SRBLD83,47.65,"1,030.10","1,030.10","1,030.10","1,030.10","1,030.10",50.00,"1,040.00","51,505.00",1,-9.90,0.00,-0.95,0.00,0.00,"1,054.37",-,"1,090.00","1,005.00",09_01_2021
SRBLD83,51.06,"1,040.40","1,040.40","1,040.40","1,040.40","1,040.40",10.00,"1,020.00","10,404.00",1,20.40,0.00,2.00,0.00,0.00,"1,054.66",-,"1,090.00","1,007.00",11_14_2021
SRBLD83,38.30,"1,019.60","1,019.60",999.30,999.30,"1,009.45",20.00,"1,040.40","20,189.00",2,-41.10,20.30,-3.95,2.03,-1.02,"1,053.91",-,"1,090.00",999.30,12_20_2021
SRBLD83,39.46,999.00,999.00,999.00,999.00,999.00,700.00,999.30,"699,300.00",1,-0.30,0.00,-0.03,0.00,0.00,"1,053.30",-,"1,090.00",999.00,12_22_2021
SRBLD83,40.71,"1,018.90","1,018.90","1,018.90","1,018.90","1,018.90",75.00,999.00,"76,417.50",1,19.90,0.00,1.99,0.00,0.00,"1,052.96",-,"1,090.00",999.00,12_27_2021
SRBLD83,40.93,"1,020.00","1,020.00","1,020.00","1,020.00","1,020.00",120.00,"1,018.90","122,400.00",1,1.10,0.00,0.11,0.00,0.00,"1,052.96",-,"1,090.00",999.00,12_28_2021
SRBLD83,30.65,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,020.00","50,500.00",1,-10.00,0.00,-0.98,0.00,0.00,"1,052.82",-,"1,090.00",999.00,12_29_2021
SRBLD83,46.95,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,020.00","50,500.00",1,-10.00,0.00,-0.98,0.00,0.00,"1,052.82",-,"1,090.00",999.00,12_30_2021
SRBLD83,46.95,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,020.00","50,500.00",1,-10.00,0.00,-0.98,0.00,0.00,"1,052.82",-,"1,090.00",999.00,12_31_2021
SRBLD83,46.95,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",50.00,"1,020.00","50,500.00",1,-10.00,0.00,-0.98,0.00,0.00,"1,052.82",-,"1,090.00",999.00,01_01_2022
SRBLD83,51.01,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",100.00,"1,010.00","101,000.00",1,0.00,0.00,0.00,0.00,0.00,"1,052.57",-,"1,090.00",999.00,01_04_2022
SRBLD83,51.65,"1,010.00","1,010.00","1,010.00","1,010.00","1,010.00",25.00,"1,010.00","25,250.00",1,0.00,0.00,0.00,0.00,0.00,"1,052.23",-,"1,090.00",999.00,01_05_2022
SRBLD83,40.40,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",100.00,"1,010.00","102,500.00",1,15.00,0.00,1.49,0.00,0.00,"1,052.17",-,"1,090.00",999.00,01_06_2022
SRBLD83,54.97,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",100.00,"1,010.00","102,500.00",1,15.00,0.00,1.49,0.00,0.00,"1,052.17",-,"1,090.00",999.00,01_07_2022
SRBLD83,54.97,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",100.00,"1,010.00","102,500.00",1,15.00,0.00,1.49,0.00,0.00,"1,052.17",-,"1,090.00",999.00,01_08_2022
SRBLD83,55.44,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",50.00,"1,025.00","51,250.00",1,0.00,0.00,0.00,0.00,0.00,"1,052.01",-,"1,090.00",999.00,01_09_2022
SRBLD83,59.55,"1,004.50","1,004.50","1,004.50","1,004.50","1,004.50",25.00,"1,025.00","25,112.50",1,-20.50,0.00,-2.00,0.00,0.00,"1,051.50",-,"1,090.00",999.00,01_16_2022
