Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SRD80,63.87,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",50.00,"1,017.00","50,000.00",1,-17.00,0.00,-1.67,0.00,0.00,-,-,"1,086.00",990.00,11_08_2021
SRD80,59.74,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,11_09_2021
SRD80,45.76,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,11_10_2021
SRD80,42.55,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",25.00,"1,000.00","25,025.00",1,1.00,0.00,0.10,0.00,0.00,-,-,"1,086.00",990.00,11_25_2021
SRD80,42.67,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",25.00,"1,000.00","25,025.00",1,1.00,0.00,0.10,0.00,0.00,-,-,"1,086.00",990.00,11_26_2021
SRD80,42.67,"1,001.00","1,001.00","1,001.00","1,001.00","1,001.00",25.00,"1,000.00","25,025.00",1,1.00,0.00,0.10,0.00,0.00,-,-,"1,086.00",990.00,11_27_2021
SRD80,39.77,"1,005.00","1,005.00","1,000.00","1,000.00","1,002.40",25.00,"1,001.00","25,060.00",2,-1.00,5.00,-0.10,0.50,-0.24,-,-,"1,086.00",990.00,11_28_2021
SRD80,39.52,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",125.00,"1,000.00","125,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_02_2021
SRD80,50.62,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",125.00,"1,000.00","125,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_03_2021
SRD80,50.62,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",125.00,"1,000.00","125,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_04_2021
SRD80,49.72,"1,000.00","1,000.10","1,000.00","1,000.00","1,000.01","1,150.00","1,000.00","1,150,010.00",5,0.00,0.10,0.00,0.01,0.00,-,-,"1,086.00",990.00,12_05_2021
SRD80,53.72,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",100.00,"1,000.00","100,000.00",3,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_06_2021
SRD80,47.57,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",50.00,"1,000.00","50,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_08_2021
SRD80,45.65,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",96.00,"1,000.00","96,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_09_2021
SRD80,45.57,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",96.00,"1,000.00","96,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_10_2021
SRD80,45.57,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",96.00,"1,000.00","96,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_11_2021
SRD80,46.28,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",72.00,"1,000.00","72,000.00",3,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_22_2021
SRD80,45.84,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_23_2021
SRD80,42.66,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_24_2021
SRD80,42.66,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,12_25_2021
SRD80,50.75,"1,005.00","1,025.00","1,005.00","1,025.00","1,015.00",50.00,"1,000.00","50,750.00",2,25.00,20.00,2.50,1.99,0.98,-,-,"1,086.00",990.00,01_11_2022
SRD80,57.95,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",45.00,"1,025.00","46,125.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,01_13_2022
SRD80,59.23,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",45.00,"1,025.00","46,125.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,01_14_2022
SRD80,59.23,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",45.00,"1,025.00","46,125.00",2,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,01_15_2022
SRD80,62.58,"1,015.00","1,015.00","1,015.00","1,015.00","1,015.00","1,000.00","1,025.00","1,015,000.00",2,-10.00,0.00,-0.98,0.00,0.00,-,-,"1,086.00",990.00,01_19_2022
SRD80,61.89,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",632.00,"1,015.00","632,000.00",4,-15.00,0.00,-1.48,0.00,0.00,-,-,"1,086.00",990.00,01_20_2022
SRD80,68.18,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",632.00,"1,015.00","632,000.00",4,-15.00,0.00,-1.48,0.00,0.00,-,-,"1,086.00",990.00,01_21_2022
SRD80,68.18,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",632.00,"1,015.00","632,000.00",4,-15.00,0.00,-1.48,0.00,0.00,-,-,"1,086.00",990.00,01_22_2022
SRD80,68.95,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",368.00,"1,000.00","368,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,086.00",990.00,01_24_2022
