Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SRLI,0.00,399.70,414.00,399.70,404.80,407.57,"43,573.00",391.88,"17,758,873.50",615,12.92,14.30,3.30,3.58,-0.68,0.00,0.00,414.00,399.70,05_21_2023
SRLI,34.66,397.00,412.50,396.90,412.00,405.14,"20,116.00",404.80,"8,149,873.20",500,7.20,15.60,1.78,3.93,1.66,0.00,0.00,414.00,396.90,05_22_2023
SRLI,41.92,404.00,431.90,404.00,430.00,424.64,"24,766.00",412.00,"10,516,708.20",596,18.00,27.90,4.37,6.91,1.25,0.00,0.00,431.90,396.90,05_23_2023
SRLI,50.53,430.00,438.60,422.00,432.00,429.91,"26,171.00",430.00,"11,251,072.00",484,2.00,16.60,0.47,3.93,0.48,0.00,0.00,438.60,396.90,05_24_2023
SRLI,51.65,430.00,438.60,422.00,432.00,429.91,"26,171.00",430.00,"11,251,072.00",484,2.00,16.60,0.47,3.93,0.48,0.00,0.00,438.60,396.90,05_25_2023
SRLI,51.65,430.00,438.60,422.00,432.00,429.91,"26,171.00",430.00,"11,251,072.00",484,2.00,16.60,0.47,3.93,0.48,0.00,0.00,438.60,396.90,05_26_2023
SRLI,51.65,430.00,438.60,422.00,432.00,429.91,"26,171.00",430.00,"11,251,072.00",484,2.00,16.60,0.47,3.93,0.48,0.00,0.00,438.60,396.90,05_27_2023
SRLI,54.40,432.00,440.00,415.00,415.00,425.44,"30,792.00",432.00,"13,100,101.60",651,-17.00,25.00,-3.94,6.02,-2.52,0.00,0.00,440.00,396.90,05_28_2023
SRLI,53.43,432.00,440.00,415.00,415.00,425.44,"30,792.00",432.00,"13,100,101.60",651,-17.00,25.00,-3.94,6.02,-2.52,0.00,0.00,440.00,396.90,05_29_2023
SRLI,53.73,415.00,415.90,402.00,402.10,406.75,"26,241.00",415.00,"10,673,452.20",527,-12.90,13.90,-3.11,3.46,-1.16,0.00,0.00,440.00,396.90,05_30_2023
SRLI,-,400.00,410.00,389.00,390.10,398.72,"15,572.00",402.10,"6,208,803.90",340,-12.00,21.00,-2.98,5.40,-2.21,0.00,0.00,440.00,389.00,05_31_2023
SRLI,-,390.10,404.90,390.00,397.70,397.29,"17,526.00",390.10,"6,962,964.90",330,7.60,14.90,1.95,3.82,0.10,0.00,0.00,440.00,389.00,06_01_2023
SRLI,33.85,390.10,404.90,390.00,397.70,397.29,"17,526.00",390.10,"6,962,964.90",330,7.60,14.90,1.95,3.82,0.10,0.00,0.00,440.00,389.00,06_02_2023
SRLI,33.85,390.10,404.90,390.00,397.70,397.29,"17,526.00",390.10,"6,962,964.90",330,7.60,14.90,1.95,3.82,0.10,0.00,0.00,440.00,389.00,06_03_2023
SRLI,-,395.00,421.90,395.00,414.00,414.32,"20,073.00",397.70,"8,316,558.10",452,16.30,26.90,4.10,6.81,-0.08,0.00,0.00,440.00,389.00,06_04_2023
SRLI,-,410.00,423.40,407.80,423.40,413.77,"34,941.00",414.00,"14,457,402.40",585,9.40,15.60,2.27,3.83,2.28,0.00,0.00,440.00,389.00,06_05_2023
SRLI,-,415.00,438.00,410.10,433.00,427.54,"37,275.00",423.40,"15,936,414.20",588,9.60,27.90,2.27,6.80,1.26,0.00,0.00,440.00,389.00,06_06_2023
SRLI,-,433.00,445.00,427.00,435.00,437.94,"40,748.00",433.00,"17,845,098.10",648,2.00,18.00,0.46,4.22,-0.68,0.00,0.00,445.00,389.00,06_07_2023
SRLI,-,435.00,472.00,430.00,451.00,452.14,"82,220.00",435.00,"37,174,569.40",848,16.00,42.00,3.68,9.77,-0.25,0.00,0.00,472.00,389.00,06_08_2023
SRLI,55.89,435.00,472.00,430.00,451.00,452.14,"82,220.00",435.00,"37,174,569.40",848,16.00,42.00,3.68,9.77,-0.25,0.00,0.00,472.00,389.00,06_09_2023
SRLI,55.89,435.00,472.00,430.00,451.00,452.14,"82,220.00",435.00,"37,174,569.40",848,16.00,42.00,3.68,9.77,-0.25,0.00,0.00,472.00,389.00,06_10_2023
SRLI,-,460.00,496.00,453.00,483.00,475.38,"99,353.00",451.00,"47,230,785.80","1,166",32.00,43.00,7.10,9.49,1.58,0.00,0.00,496.00,389.00,06_11_2023
SRLI,-,485.00,492.00,476.50,485.00,482.11,"46,221.00",483.00,"22,283,832.10",756,2.00,15.50,0.41,3.25,0.59,0.00,0.00,496.00,389.00,06_12_2023
SRLI,-,475.30,511.80,475.10,495.00,496.08,"88,821.00",485.00,"44,062,062.00",934,10.00,36.70,2.06,7.72,-0.22,0.00,0.00,511.80,389.00,06_13_2023
SRLI,-,494.00,512.00,488.00,500.00,501.38,"105,570.00",495.00,"52,930,954.60","1,068",5.00,24.00,1.01,4.92,-0.28,0.00,0.00,512.00,389.00,06_14_2023
SRLI,-,490.00,532.60,490.00,529.00,512.76,"81,479.00",500.00,"41,778,901.00","1,130",29.00,42.60,5.80,8.69,3.07,0.00,0.00,532.60,389.00,06_15_2023
SRLI,51.66,490.00,532.60,490.00,529.00,512.76,"81,479.00",500.00,"41,778,901.00","1,130",29.00,42.60,5.80,8.69,3.07,0.00,0.00,532.60,389.00,06_16_2023
SRLI,51.66,490.00,532.60,490.00,529.00,512.76,"81,479.00",500.00,"41,778,901.00","1,130",29.00,42.60,5.80,8.69,3.07,0.00,0.00,532.60,389.00,06_17_2023
SRLI,-,529.00,560.60,527.00,560.00,550.06,"111,573.00",529.00,"61,371,848.40","1,307",31.00,33.60,5.86,6.38,1.77,0.00,0.00,560.60,389.00,06_18_2023
SRLI,-,571.20,571.20,534.30,551.00,546.94,"120,933.00",560.00,"66,143,138.20","1,091",-9.00,36.90,-1.61,6.91,0.74,0.00,0.00,571.20,389.00,06_19_2023
SRLI,-,550.00,560.00,530.00,531.00,541.77,"58,249.00",551.00,"31,557,547.50",618,-20.00,30.00,-3.63,5.66,-2.03,0.00,0.00,571.20,389.00,06_20_2023
SRLI,-,520.50,549.00,520.50,535.00,538.17,"61,832.00",531.00,"33,276,175.80",853,4.00,28.50,0.75,5.48,-0.59,0.00,0.00,571.20,389.00,06_21_2023
