Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
STC,51.54,"9,375.00","9,448.90","9,250.00","9,380.00","9,348.25","1,032.00","9,300.00","9,647,393.00",60,80.00,198.90,0.86,2.15,0.34,"10,555.93","9,457.05","13,780.00","2,870.00",09_01_2021
STC,62.74,"7,000.00","7,191.00","6,875.60","6,949.00","6,949.52","1,061.00","6,912.00","7,373,439.90",50,37.00,315.40,0.54,4.59,-0.01,"9,495.08","9,712.55","13,780.00","3,799.00",11_03_2021
STC,61.74,"7,000.00","7,191.00","6,875.60","6,949.00","6,949.52","1,061.00","6,912.00","7,373,439.90",50,37.00,315.40,0.54,4.59,-0.01,"9,495.08","9,712.55","13,780.00","3,799.00",11_05_2021
STC,61.74,"7,000.00","7,191.00","6,875.60","6,949.00","6,949.52","1,061.00","6,912.00","7,373,439.90",50,37.00,315.40,0.54,4.59,-0.01,"9,495.08","9,712.55","13,780.00","3,799.00",11_06_2021
STC,61.74,"7,000.00","7,191.00","6,875.60","6,949.00","6,949.52","1,061.00","6,912.00","7,373,439.90",50,37.00,315.40,0.54,4.59,-0.01,"9,495.08","9,712.55","13,780.00","3,799.00",11_07_2021
STC,62.53,"7,084.00","7,191.00","6,900.00","6,900.00","6,985.91",559.00,"6,949.00","3,905,122.00",37,-49.00,291.00,-0.71,4.22,-1.25,"9,469.25","9,703.67","13,780.00","3,888.00",11_08_2021
STC,54.31,"6,810.10","6,810.10","6,675.00","6,790.00","6,736.32","1,488.00","6,900.00","10,023,651.00",78,-110.00,135.10,-1.59,2.02,0.79,"9,442.62","9,692.99","13,780.00","4,273.00",11_09_2021
STC,56.40,"6,810.10","6,810.10","6,675.00","6,790.00","6,736.32","1,488.00","6,900.00","10,023,651.00",78,-110.00,135.10,-1.59,2.02,0.79,"9,442.62","9,692.99","13,780.00","4,273.00",11_10_2021
STC,54.35,"6,700.00","6,764.00","6,600.00","6,682.00","6,666.05",748.00,"6,790.00","4,986,204.50",55,-108.00,164.00,-1.59,2.48,0.24,"9,413.31","9,682.05","13,780.00","4,799.00",11_11_2021
STC,50.34,"6,700.00","6,764.00","6,600.00","6,682.00","6,666.05",748.00,"6,790.00","4,986,204.50",55,-108.00,164.00,-1.59,2.48,0.24,"9,413.31","9,682.05","13,780.00","4,799.00",11_12_2021
STC,50.34,"6,700.00","6,764.00","6,600.00","6,682.00","6,666.05",748.00,"6,790.00","4,986,204.50",55,-108.00,164.00,-1.59,2.48,0.24,"9,413.31","9,682.05","13,780.00","4,799.00",11_13_2021
STC,48.29,"6,575.00","6,650.00","6,575.00","6,640.00","6,598.66",520.00,"6,682.00","3,431,302.00",37,-42.00,75.00,-0.63,1.14,0.62,"9,376.90","9,671.78","13,780.00","4,799.00",11_14_2021
STC,47.48,"6,660.00","6,772.00","6,660.00","6,735.00","6,735.13",892.00,"6,640.00","6,007,738.00",45,95.00,112.00,1.43,1.68,0.00,"9,343.36","9,663.68","13,780.00","4,799.00",11_15_2021
STC,52.55,"6,650.00","6,900.00","6,650.00","6,825.00","6,814.71","1,259.00","6,735.00","8,579,714.00",64,90.00,250.00,1.34,3.76,0.15,"9,311.94","9,656.77","13,780.00","4,799.00",11_16_2021
STC,57.34,"6,950.00","7,000.00","6,900.00","6,900.00","6,957.96","1,057.00","6,825.00","7,354,569.00",74,75.00,100.00,1.10,1.45,-0.84,"9,281.02","9,650.67","13,780.00","4,799.00",11_17_2021
STC,60.33,"6,762.00","7,034.00","6,750.00","6,760.00","6,813.81","1,131.00","6,900.00","7,706,424.00",75,-140.00,284.00,-2.03,4.21,-0.80,"9,248.27","9,642.58","13,780.00","4,799.00",11_18_2021
STC,58.95,"6,762.00","7,034.00","6,750.00","6,760.00","6,813.81","1,131.00","6,900.00","7,706,424.00",75,-140.00,284.00,-2.03,4.21,-0.80,"9,248.27","9,642.58","13,780.00","4,799.00",11_19_2021
STC,58.95,"6,762.00","7,034.00","6,750.00","6,760.00","6,813.81","1,131.00","6,900.00","7,706,424.00",75,-140.00,284.00,-2.03,4.21,-0.80,"9,248.27","9,642.58","13,780.00","4,799.00",11_20_2021
STC,54.25,"6,625.80","6,695.00","6,500.00","6,629.00","6,558.87","2,285.00","6,760.00","14,987,017.00",142,-131.00,195.00,-1.94,3.00,1.06,"9,213.85","9,634.41","13,780.00","4,799.00",11_21_2021
STC,44.78,"6,625.00","6,655.00","6,552.00","6,650.00","6,599.42",435.00,"6,629.00","2,870,749.00",22,21.00,103.00,0.32,1.57,0.76,"9,179.51","9,625.36","13,780.00","4,799.00",11_22_2021
