Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SWBBL,46.50,"1,800.00","1,800.00","1,765.00","1,770.00","1,783.67","14,458.00","1,780.00","25,788,278.70",170,-10.00,35.00,-0.56,1.98,-0.77,"1,766.32","1,792.42","2,275.00","1,215.00",09_01_2021
SWBBL,63.22,"1,616.00","1,630.00","1,616.00","1,627.00","1,621.17","3,881.00","1,624.00","6,291,744.70",91,3.00,14.00,0.18,0.87,0.36,"1,720.23","1,767.47","2,275.00","1,295.00",11_03_2021
SWBBL,45.16,"1,616.00","1,630.00","1,616.00","1,627.00","1,621.17","3,881.00","1,624.00","6,291,744.70",91,3.00,14.00,0.18,0.87,0.36,"1,720.23","1,767.47","2,275.00","1,295.00",11_05_2021
SWBBL,45.16,"1,616.00","1,630.00","1,616.00","1,627.00","1,621.17","3,881.00","1,624.00","6,291,744.70",91,3.00,14.00,0.18,0.87,0.36,"1,720.23","1,767.47","2,275.00","1,295.00",11_06_2021
SWBBL,45.16,"1,616.00","1,630.00","1,616.00","1,627.00","1,621.17","3,881.00","1,624.00","6,291,744.70",91,3.00,14.00,0.18,0.87,0.36,"1,720.23","1,767.47","2,275.00","1,295.00",11_07_2021
SWBBL,45.94,"1,612.00","1,639.90","1,605.30","1,606.00","1,619.00","2,408.00","1,627.00","3,898,548.70",57,-21.00,34.60,-1.29,2.16,-0.81,"1,719.03","1,765.41","2,275.00","1,307.00",11_08_2021
SWBBL,44.26,"1,638.00","1,638.00","1,568.00","1,568.00","1,580.34","9,475.00","1,606.00","14,973,744.90",159,-38.00,70.00,-2.37,4.46,-0.79,"1,718.07","1,762.16","2,275.00","1,345.00",11_09_2021
SWBBL,46.73,"1,638.00","1,638.00","1,568.00","1,568.00","1,580.34","9,475.00","1,606.00","14,973,744.90",159,-38.00,70.00,-2.37,4.46,-0.79,"1,718.07","1,762.16","2,275.00","1,345.00",11_10_2021
SWBBL,44.68,"1,540.00","1,560.00","1,509.30","1,535.10","1,538.62","6,406.00","1,568.00","9,856,401.40",109,-32.90,50.70,-2.10,3.36,-0.23,"1,716.85","1,758.94","2,275.00","1,352.00",11_11_2021
SWBBL,43.89,"1,540.00","1,560.00","1,509.30","1,535.10","1,538.62","6,406.00","1,568.00","9,856,401.40",109,-32.90,50.70,-2.10,3.36,-0.23,"1,716.85","1,758.94","2,275.00","1,352.00",11_12_2021
SWBBL,43.89,"1,540.00","1,560.00","1,509.30","1,535.10","1,538.62","6,406.00","1,568.00","9,856,401.40",109,-32.90,50.70,-2.10,3.36,-0.23,"1,716.85","1,758.94","2,275.00","1,352.00",11_13_2021
