Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SWMF,0.00,"1,346.00","1,346.00","1,236.10","1,236.10","1,256.54","1,339.00","1,373.40","1,682,504.10",48,-137.30,109.90,-10.00,8.89,-1.65,-,-,"1,346.00","1,236.10",05_12_2022
SWMF,33.76,"1,346.00","1,346.00","1,236.10","1,236.10","1,256.54","1,339.00","1,373.40","1,682,504.10",48,-137.30,109.90,-10.00,8.89,-1.65,-,-,"1,346.00","1,236.10",05_13_2022
SWMF,33.76,"1,346.00","1,346.00","1,236.10","1,236.10","1,256.54","1,339.00","1,373.40","1,682,504.10",48,-137.30,109.90,-10.00,8.89,-1.65,-,-,"1,346.00","1,236.10",05_14_2022
SWMF,33.76,"1,346.00","1,346.00","1,236.10","1,236.10","1,256.54","1,339.00","1,373.40","1,682,504.10",48,-137.30,109.90,-10.00,8.89,-1.65,-,-,"1,346.00","1,236.10",05_15_2022
SWMF,33.76,"1,346.00","1,346.00","1,236.10","1,236.10","1,256.54","1,339.00","1,373.40","1,682,504.10",48,-137.30,109.90,-10.00,8.89,-1.65,-,-,"1,346.00","1,236.10",05_16_2022
SWMF,35.11,"1,212.00","1,212.00","1,112.50","1,112.50","1,119.03","1,298.00","1,236.10","1,452,498.00",34,-123.60,99.50,-10.00,8.94,-0.59,-,-,"1,346.00","1,112.50",05_17_2022
SWMF,27.11,"1,090.30","1,090.30","1,001.30","1,001.30","1,013.74","1,371.00","1,112.50","1,389,833.30",44,-111.20,89.00,-10.00,8.89,-1.24,-,-,"1,346.00","1,001.30",05_18_2022
SWMF,27.63,982.00,985.00,925.20,950.00,964.23,"16,061.00","1,001.30","15,486,469.20",305,-51.30,59.80,-5.12,6.46,-1.50,-,-,"1,346.00",925.20,05_19_2022
SWMF,29.40,960.00,985.00,930.00,930.00,947.32,"4,580.00",950.00,"4,338,707.00",123,-20.00,55.00,-2.11,5.91,-1.86,-,-,"1,346.00",925.20,05_20_2022
SWMF,25.74,960.00,985.00,930.00,930.00,947.32,"4,580.00",950.00,"4,338,707.00",123,-20.00,55.00,-2.11,5.91,-1.86,-,-,"1,346.00",925.20,05_21_2022
SWMF,25.74,960.00,985.00,930.00,930.00,947.32,"4,580.00",950.00,"4,338,707.00",123,-20.00,55.00,-2.11,5.91,-1.86,-,-,"1,346.00",925.20,05_22_2022
SWMF,25.49,911.40,911.40,885.00,895.00,893.68,"3,626.00",930.00,"3,240,491.20",114,-35.00,26.40,-3.76,2.98,0.15,-,-,"1,346.00",885.00,05_23_2022
SWMF,25.37,912.50,915.00,841.10,857.00,874.70,"10,440.00",895.00,"9,131,820.70",206,-38.00,73.90,-4.25,8.79,-2.06,-,-,"1,346.00",841.10,05_24_2022
SWMF,39.27,874.10,889.00,842.80,878.00,860.94,"6,856.00",857.00,"5,902,604.60",130,21.00,46.20,2.45,5.48,1.94,-,-,"1,346.00",841.10,05_25_2022
SWMF,39.47,878.00,884.90,860.00,870.00,866.94,"3,286.00",878.00,"2,848,771.70",83,-8.00,24.90,-0.91,2.90,0.35,-,-,"1,346.00",841.10,05_26_2022
SWMF,35.97,879.00,879.00,850.10,868.00,860.51,"3,085.00",870.00,"2,654,684.80",82,-2.00,28.90,-0.23,3.40,0.86,-,-,"1,346.00",841.10,05_27_2022
SWMF,37.38,879.00,879.00,850.10,868.00,860.51,"3,085.00",870.00,"2,654,684.80",82,-2.00,28.90,-0.23,3.40,0.86,-,-,"1,346.00",841.10,05_28_2022
SWMF,37.38,879.00,879.00,850.10,868.00,860.51,"3,085.00",870.00,"2,654,684.80",82,-2.00,28.90,-0.23,3.40,0.86,-,-,"1,346.00",841.10,05_29_2022
SWMF,36.86,868.00,868.00,830.00,835.00,848.02,"5,166.00",868.00,"4,380,894.50",53,-33.00,38.00,-3.80,4.58,-1.56,-,-,"1,346.00",830.00,05_30_2022
SWMF,38.58,835.00,835.00,804.00,809.00,815.58,"3,811.00",835.00,"3,108,193.00",105,-26.00,31.00,-3.11,3.86,-0.81,-,-,"1,346.00",804.00,05_31_2022
SWMF,35.55,825.00,841.50,794.00,794.00,807.54,"6,105.00",809.00,"4,930,016.70",115,-15.00,47.50,-1.85,5.98,-1.70,-,-,"1,346.00",794.00,06_01_2022
SWMF,39.19,794.00,809.00,785.00,785.10,791.06,"5,935.00",794.00,"4,694,964.40",73,-8.90,24.00,-1.12,3.06,-0.76,-,-,"1,346.00",785.00,06_02_2022
SWMF,37.82,775.00,784.00,755.00,757.00,768.58,"10,284.00",785.10,"7,904,095.70",117,-28.10,29.00,-3.58,3.84,-1.53,-,-,"1,346.00",755.00,06_03_2022
SWMF,40.36,775.00,784.00,755.00,757.00,768.58,"10,284.00",785.10,"7,904,095.70",117,-28.10,29.00,-3.58,3.84,-1.53,-,-,"1,346.00",755.00,06_04_2022
SWMF,40.36,775.00,784.00,755.00,757.00,768.58,"10,284.00",785.10,"7,904,095.70",117,-28.10,29.00,-3.58,3.84,-1.53,-,-,"1,346.00",755.00,06_05_2022
SWMF,39.94,772.10,772.10,751.00,758.00,756.10,"4,105.00",757.00,"3,103,803.20",86,1.00,21.10,0.13,2.81,0.25,-,-,"1,346.00",751.00,06_06_2022
SWMF,36.63,768.90,769.00,743.00,754.00,756.47,"4,257.00",758.00,"3,220,312.20",79,-4.00,26.00,-0.53,3.50,-0.33,-,-,"1,346.00",743.00,06_07_2022
SWMF,36.66,763.00,801.00,750.00,790.00,779.14,"4,832.00",754.00,"3,764,788.60",92,36.00,51.00,4.77,6.80,1.38,-,-,"1,346.00",743.00,06_08_2022
SWMF,41.98,805.80,820.00,760.00,778.00,778.83,"3,424.00",790.00,"2,666,699.70",106,-12.00,60.00,-1.52,7.89,-0.11,-,-,"1,346.00",743.00,06_09_2022
SWMF,40.86,765.00,784.00,755.00,770.00,768.73,879.00,778.00,"675,710.70",32,-8.00,29.00,-1.03,3.84,0.17,-,-,"1,346.00",743.00,06_10_2022
SWMF,34.98,765.00,784.00,755.00,770.00,768.73,879.00,778.00,"675,710.70",32,-8.00,29.00,-1.03,3.84,0.17,-,-,"1,346.00",743.00,06_11_2022
SWMF,34.98,765.00,784.00,755.00,770.00,768.73,879.00,778.00,"675,710.70",32,-8.00,29.00,-1.03,3.84,0.17,-,-,"1,346.00",743.00,06_12_2022
SWMF,34.71,770.00,770.00,750.00,750.00,755.74,"1,772.00",770.00,"1,339,170.50",46,-20.00,20.00,-2.60,2.67,-0.77,-,-,"1,346.00",743.00,06_13_2022
SWMF,36.04,755.00,755.00,722.00,722.00,733.81,"3,264.00",750.00,"2,395,151.20",84,-28.00,33.00,-3.73,4.57,-1.64,-,-,"1,346.00",722.00,06_14_2022
SWMF,32.36,722.00,750.00,710.00,730.00,731.84,"2,240.00",722.00,"1,639,319.60",56,8.00,40.00,1.11,5.63,-0.25,-,-,"1,346.00",710.00,06_15_2022
SWMF,33.18,720.10,755.00,720.10,738.90,744.68,"1,819.00",730.00,"1,354,576.30",43,8.90,34.90,1.22,4.85,-0.78,-,-,"1,346.00",710.00,06_16_2022
SWMF,34.39,750.00,750.00,740.00,747.40,744.51,565.00,738.90,"420,648.00",12,8.50,10.00,1.15,1.35,0.39,-,-,"1,346.00",710.00,06_17_2022
SWMF,32.17,750.00,750.00,740.00,747.40,744.51,565.00,738.90,"420,648.00",12,8.50,10.00,1.15,1.35,0.39,-,-,"1,346.00",710.00,06_18_2022
SWMF,31.67,746.00,746.00,713.00,715.10,721.05,"3,746.00",747.40,"2,701,055.70",85,-32.30,33.00,-4.32,4.63,-0.83,-,-,"1,346.00",710.00,06_19_2022
SWMF,37.85,702.00,702.00,675.00,678.00,683.76,"5,036.00",715.10,"3,443,415.50",129,-37.10,27.00,-5.19,4.00,-0.85,-,-,"1,346.00",675.00,06_20_2022
SWMF,33.38,691.50,711.00,686.10,700.00,699.24,"3,718.00",678.00,"2,599,759.20",68,22.00,24.90,3.24,3.63,0.11,-,-,"1,346.00",675.00,06_21_2022
SWMF,35.30,692.00,705.00,690.00,701.00,697.08,"2,221.00",700.00,"1,548,222.00",29,1.00,15.00,0.14,2.17,0.56,-,-,"1,346.00",675.00,06_22_2022
SWMF,29.63,690.00,699.00,666.00,698.00,677.57,"3,285.00",701.00,"2,225,833.80",75,-3.00,33.00,-0.43,4.95,2.93,-,-,"1,346.00",666.00,06_23_2022
SWMF,55.66,797.00,831.00,786.00,800.00,797.81,"6,610.00",812.00,"5,273,521.70",116,-12.00,45.00,-1.48,5.73,0.27,-,-,"1,346.00",666.00,07_05_2022
SWMF,30.42,786.00,805.00,780.00,797.00,789.45,"4,085.00",800.00,"3,224,885.80",68,-3.00,25.00,-0.38,3.21,0.95,-,-,"1,346.00",666.00,07_06_2022
SWMF,31.54,812.90,815.00,778.00,778.00,796.42,"3,003.00",797.00,"2,391,663.90",79,-19.00,37.00,-2.38,4.76,-2.37,-,-,"1,346.00",666.00,07_07_2022
SWMF,32.24,767.00,775.00,752.00,775.00,763.84,"3,732.00",778.00,"2,850,634.70",66,-3.00,23.00,-0.39,3.06,1.44,-,-,"1,346.00",666.00,07_08_2022
SWMF,31.93,767.00,775.00,752.00,775.00,763.84,"3,732.00",778.00,"2,850,634.70",66,-3.00,23.00,-0.39,3.06,1.44,-,-,"1,346.00",666.00,07_09_2022
SWMF,31.93,767.00,775.00,752.00,775.00,763.84,"3,732.00",778.00,"2,850,634.70",66,-3.00,23.00,-0.39,3.06,1.44,-,-,"1,346.00",666.00,07_10_2022
SWMF,29.72,760.10,770.00,726.00,734.00,734.96,"5,163.00",775.00,"3,794,596.40",97,-41.00,44.00,-5.29,6.06,-0.13,-,-,"1,346.00",666.00,07_11_2022
SWMF,30.71,734.00,754.70,730.00,751.80,740.50,"3,933.00",734.00,"2,912,390.10",80,17.80,24.70,2.43,3.38,1.50,-,-,"1,346.00",666.00,07_12_2022
SWMF,27.90,750.00,785.40,750.00,785.00,772.63,"6,079.00",751.80,"4,696,802.00",79,33.20,35.40,4.42,4.72,1.58,-,-,"1,346.00",666.00,07_13_2022
SWMF,-,791.00,796.00,773.00,783.00,784.52,"2,218.00",785.00,"1,740,066.20",44,-2.00,23.00,-0.25,2.98,-0.19,-,-,"1,346.00",666.00,07_14_2022
SWMF,34.64,775.00,790.00,770.00,783.00,775.80,879.00,783.00,"681,928.40",23,0.00,20.00,0.00,2.60,0.92,-,-,"1,346.00",666.00,07_15_2022
SWMF,39.29,775.00,790.00,770.00,783.00,775.80,879.00,783.00,"681,928.40",23,0.00,20.00,0.00,2.60,0.92,-,-,"1,346.00",666.00,07_16_2022
SWMF,36.52,770.00,794.70,770.00,788.00,781.50,"2,018.00",783.00,"1,577,066.20",55,5.00,24.70,0.64,3.21,0.82,-,-,"1,346.00",666.00,07_17_2022
SWMF,34.97,773.20,802.00,772.30,786.00,783.38,"2,371.00",788.00,"1,857,391.40",48,-2.00,29.70,-0.25,3.85,0.33,-,-,"1,346.00",666.00,07_18_2022
SWMF,29.60,801.70,813.00,790.00,800.00,802.26,"5,094.00",786.00,"4,086,690.10",93,14.00,23.00,1.78,2.91,-0.28,-,-,"1,346.00",666.00,07_19_2022
SWMF,35.71,797.00,808.00,788.00,788.00,796.52,"3,790.00",800.00,"3,018,797.00",75,-12.00,20.00,-1.50,2.54,-1.08,-,-,"1,346.00",666.00,07_20_2022
SWMF,37.59,800.00,800.00,784.00,790.00,791.50,"3,144.00",788.00,"2,488,490.40",63,2.00,16.00,0.25,2.04,-0.19,-,-,"1,346.00",666.00,07_21_2022
SWMF,34.60,787.00,788.00,754.00,754.00,768.40,"5,533.00",790.00,"4,251,572.20",97,-36.00,34.00,-4.56,4.51,-1.91,-,-,"1,346.00",666.00,07_22_2022
SWMF,32.90,787.00,788.00,754.00,754.00,768.40,"5,533.00",790.00,"4,251,572.20",97,-36.00,34.00,-4.56,4.51,-1.91,-,-,"1,346.00",666.00,07_23_2022
SWMF,30.10,769.00,805.00,768.50,805.00,795.19,"9,872.00",754.00,"7,850,069.10",145,51.00,36.50,6.76,4.75,1.22,-,-,"1,346.00",666.00,07_24_2022
SWMF,39.15,811.00,885.50,811.00,885.50,862.19,"29,103.00",805.00,"25,092,440.70",376,80.50,74.50,10.00,9.19,2.63,-,-,"1,346.00",666.00,07_25_2022
SWMF,57.53,885.00,972.00,885.00,945.00,940.91,"33,007.00",885.50,"31,056,602.90",627,59.50,87.00,6.72,9.83,0.43,-,-,"1,346.00",666.00,07_26_2022
SWMF,54.36,930.00,963.90,910.50,958.00,943.61,"13,309.00",945.00,"12,558,482.40",235,13.00,53.40,1.38,5.86,1.50,-,-,"1,346.00",666.00,07_27_2022
SWMF,54.05,977.00,983.90,937.90,945.00,953.30,"18,929.00",958.00,"18,045,025.40",265,-13.00,46.00,-1.36,4.90,-0.88,-,-,"1,346.00",666.00,07_28_2022
SWMF,53.82,937.00,945.00,930.00,938.00,935.09,"4,018.00",945.00,"3,757,201.60",65,-7.00,15.00,-0.74,1.61,0.31,-,-,"1,346.00",666.00,07_29_2022
SWMF,42.03,937.00,945.00,930.00,938.00,935.09,"4,018.00",945.00,"3,757,201.60",65,-7.00,15.00,-0.74,1.61,0.31,-,-,"1,346.00",666.00,07_30_2022
SWMF,39.60,938.00,951.00,906.50,928.00,925.34,"14,700.00",938.00,"13,602,449.50",202,-10.00,44.50,-1.07,4.91,0.29,-,-,"1,346.00",666.00,07_31_2022
SWMF,38.09,910.00,910.00,879.00,890.00,893.90,"18,500.00",928.00,"16,537,130.10",353,-38.00,31.00,-4.09,3.53,-0.44,-,-,"1,346.00",666.00,08_01_2022
SWMF,43.50,885.00,894.90,867.00,888.00,876.95,"9,251.00",890.00,"8,112,627.30",183,-2.00,27.90,-0.22,3.22,1.24,-,-,"1,346.00",666.00,08_02_2022
SWMF,38.31,873.00,914.00,871.00,900.00,896.23,"9,749.00",888.00,"8,737,319.90",157,12.00,43.00,1.35,4.94,0.42,-,-,"1,346.00",666.00,08_03_2022
SWMF,39.40,899.00,899.00,872.10,875.10,882.01,"4,349.00",900.00,"3,835,855.20",91,-24.90,26.90,-2.77,3.08,-0.79,-,-,"1,346.00",666.00,08_04_2022
SWMF,35.18,865.00,870.00,843.00,849.00,855.09,"6,438.00",875.10,"5,505,094.20",126,-26.10,27.00,-2.98,3.20,-0.72,-,-,"1,346.00",666.00,08_05_2022
SWMF,34.01,865.00,870.00,843.00,849.00,855.09,"6,438.00",875.10,"5,505,094.20",126,-26.10,27.00,-2.98,3.20,-0.72,-,-,"1,346.00",666.00,08_06_2022
