Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SWMFPO,-,443.00,443.00,443.00,443.00,443.00,"8,906.00",0.00,"3,945,358.00",1,443.00,0.00,0.00,0.00,0.00,-,-,443.00,443.00,08_22_2022
SWMFPO,42.46,402.00,402.00,394.00,394.00,396.00,"5,535.00",402.00,"2,191,854.00",2,-8.00,8.00,-1.99,2.03,-0.51,-,-,443.00,394.00,01_02_2023
SWMFPO,38.58,447.70,447.70,447.70,447.70,447.70,"25,947.00",439.00,"11,616,471.90",1,8.70,0.00,1.98,0.00,0.00,-,-,447.70,394.00,01_05_2023
SWMFPO,61.02,447.70,447.70,447.70,447.70,447.70,"25,947.00",439.00,"11,616,471.90",1,8.70,0.00,1.98,0.00,0.00,-,-,447.70,394.00,01_06_2023
SWMFPO,61.02,447.70,447.70,447.70,447.70,447.70,"25,947.00",439.00,"11,616,471.90",1,8.70,0.00,1.98,0.00,0.00,-,-,447.70,394.00,01_07_2023
SWMFPO,61.77,447.70,447.70,447.70,447.70,447.70,"3,000.00",447.70,"1,343,100.00",1,0.00,0.00,0.00,0.00,0.00,-,-,447.70,394.00,01_12_2023
SWMFPO,55.55,447.70,447.70,447.70,447.70,447.70,"3,000.00",447.70,"1,343,100.00",1,0.00,0.00,0.00,0.00,0.00,-,-,447.70,394.00,01_13_2023
SWMFPO,55.55,447.70,447.70,447.70,447.70,447.70,"3,000.00",447.70,"1,343,100.00",1,0.00,0.00,0.00,0.00,0.00,-,-,447.70,394.00,01_14_2023
SWMFPO,55.55,447.70,447.70,447.70,447.70,447.70,"3,000.00",447.70,"1,343,100.00",1,0.00,0.00,0.00,0.00,0.00,-,-,447.70,394.00,01_15_2023
SWMFPO,55.55,447.70,447.70,447.70,447.70,447.70,"3,000.00",447.70,"1,343,100.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,01_16_2023
SWMFPO,52.54,447.70,447.70,447.70,447.70,447.70,"7,050.00",447.70,"3,156,285.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,01_24_2023
SWMFPO,44.01,447.70,447.70,447.70,447.70,447.70,"35,552.00",447.70,"15,916,630.40",8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,02_28_2023
SWMFPO,50.01,447.70,447.70,447.70,447.70,447.70,338.00,447.70,"151,322.60",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_02_2023
SWMFPO,26.93,447.70,447.70,447.70,447.70,447.70,338.00,447.70,"151,322.60",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_03_2023
SWMFPO,26.93,447.70,447.70,447.70,447.70,447.70,338.00,447.70,"151,322.60",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_04_2023
SWMFPO,26.82,447.70,447.70,447.70,447.70,447.70,"4,949.00",447.70,"2,215,667.30",4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_09_2023
SWMFPO,30.59,447.70,447.70,447.70,447.70,447.70,"4,949.00",447.70,"2,215,667.30",4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_10_2023
SWMFPO,30.59,447.70,447.70,447.70,447.70,447.70,"4,949.00",447.70,"2,215,667.30",4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_11_2023
SWMFPO,28.25,447.70,447.70,447.70,447.70,447.70,"34,279.00",447.70,"15,346,708.30",6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_16_2023
SWMFPO,38.77,447.70,447.70,447.70,447.70,447.70,"34,279.00",447.70,"15,346,708.30",6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_17_2023
SWMFPO,38.77,447.70,447.70,447.70,447.70,447.70,"34,279.00",447.70,"15,346,708.30",6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_18_2023
SWMFPO,34.35,447.70,447.70,447.70,447.70,447.70,"1,342.00",447.70,"600,813.40",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.70,394.00,03_27_2023
SWMFPO,30.33,447.00,447.00,447.00,447.00,447.00,"43,000.00",447.70,"19,221,000.00",2,-0.70,0.00,-0.16,0.00,0.00,0.00,0.00,447.70,394.00,04_25_2023
