Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
TAMOR,25.55,304.00,315.00,304.00,314.60,310.49,"41,883.00",309.00,"13,004,246.00","2,430",5.60,11.00,1.81,3.62,1.31,0.00,0.00,342.00,295.00,04_17_2023
TAMOR,25.64,315.00,323.30,311.00,322.00,319.59,"51,534.00",320.00,"16,469,743.00","2,297",2.00,12.30,0.63,3.95,0.75,0.00,0.00,342.00,295.00,04_19_2023
TAMOR,50.47,316.10,323.90,313.00,313.00,317.28,"38,607.00",322.00,"12,249,347.00","1,248",-9.00,10.90,-2.80,3.48,-1.37,0.00,0.00,342.00,295.00,04_20_2023
TAMOR,44.62,316.10,323.90,313.00,313.00,317.28,"38,607.00",322.00,"12,249,347.00","1,248",-9.00,10.90,-2.80,3.48,-1.37,0.00,0.00,342.00,295.00,04_21_2023
TAMOR,44.62,316.10,323.90,313.00,313.00,317.28,"38,607.00",322.00,"12,249,347.00","1,248",-9.00,10.90,-2.80,3.48,-1.37,0.00,0.00,342.00,295.00,04_22_2023
TAMOR,44.62,306.80,315.00,306.80,309.10,311.33,"51,344.00",313.00,"15,984,788.40","1,947",-3.90,8.20,-1.25,2.67,-0.72,0.00,0.00,342.00,295.00,04_23_2023
TAMOR,34.06,309.00,310.00,304.60,310.00,306.85,"43,827.00",309.10,"13,448,217.90","1,903",0.90,5.40,0.29,1.77,1.02,0.00,0.00,342.00,295.00,04_24_2023
TAMOR,26.59,303.90,316.00,303.90,314.00,308.36,"49,440.00",310.00,"15,245,344.10","1,825",4.00,12.10,1.29,3.98,1.80,0.00,0.00,342.00,295.00,04_25_2023
TAMOR,27.93,310.00,313.00,305.30,309.10,307.14,"37,495.00",314.00,"11,516,238.00","1,103",-4.90,7.70,-1.56,2.52,0.63,0.00,0.00,342.00,295.00,04_26_2023
TAMOR,34.72,304.50,308.00,303.30,304.10,305.34,"19,920.00",309.10,"6,082,346.00","1,040",-5.00,4.70,-1.62,1.55,-0.41,0.00,0.00,342.00,295.00,04_27_2023
TAMOR,30.64,304.50,308.00,303.30,304.10,305.34,"19,920.00",309.10,"6,082,346.00","1,040",-5.00,4.70,-1.62,1.55,-0.41,0.00,0.00,342.00,295.00,04_28_2023
